# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SEGMENTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
29336	Tibetan_Batang	BONE	ʐupa	bone	OLD	ʐ u p a	2	2	ʐ u p a	3 7 1 7	AXBZ	SYPA	3	3.S.C 3.Y.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0
30949	Tibetan_Lhasa	BONE	rypə	bone	OLD	r y p ə	2	2	r y p ə	5 7 1 7	AXBZ	RYPE	4	4.R.C 4.Y.V 4.P.C 4.E.V	2.0 1.5 1.75 0.8	0
33257	Tibetan_Xiahe	BONE	rəpa	bone	OLD	r ə p a	2	2	r ə p a	5 7 1 7	AXBZ	REPA	5	5.R.C 5.E.V 5.P.C 5.A.V	2.0 1.5 1.75 0.8	0
#
27600	rGyalrong_Maerkang	BRANCH	tijg	branch / twig	OLD	t i j g	681	681	t i j g	1 7 6 1	AXLN	TIJK	1	1.T.C 1.I.V 1.J.c 1.K.c	2.0 1.5 1.1 0.8	0
27915	Tibetan_Lhasa	BRANCH	jɛka	branch / twig	OLD	j ɛ k a	10265	10265	j ɛ k a	6 7 1 7	AXBZ	JEKA	4	4.J.C 4.E.V 4.K.C 4.A.V	2.0 1.5 1.75 0.8	0
29541	Tibetan_Batang	BRANCH	lɑʔ	branch / twig	OLD	l ɑ ʔ	1479	1479	l ɑ ʔ	5 7 1	AXN	LAH	3	3.L.C 3.A.V 3.H.c	2.0 1.5 0.8	0
32154	Tibetan_Xiahe	BRANCH	raʁa	branch / twig	OLD	r a ʁ a	10265	10265	r a ʁ a	5 7 5 7	AXBZ	RARA	5	5.R.C 5.A.V 5.R.C 5.A.V	2.0 1.5 1.75 0.8	0
35490	Tibetan_Alike	BRANCH	raɣa	branch / twig	OLD	r a ɣ a	10265	10265	r a ɣ a	5 7 3 7	AXBZ	RAGA	2	2.R.C 2.A.V 2.G.C 2.A.V	2.0 1.5 1.75 0.8	0
#
27689	Tibetan_Lhasa	BREAST	oma	breast	OLD	o m a	862	862	o m a	7 4 7	XBZ	UMA	4	4.U.V 4.M.C 4.A.V	1.5 1.75 0.8	0
27393	rGyalrong_Maerkang	BREAST	tənu	breast	OLD	t ə n u	10186	10186	t ə n u	1 7 4 7	AXBZ	TENY	1	1.T.C 1.E.V 1.N.C 1.Y.V	2.0 1.5 1.75 0.8	0
31466	Tibetan_Batang	BREAST	ȵɑȵɑʔ	breast	OLD	ȵ ɑ ȵ ɑ ʔ	10186	10186	ȵ ɑ ȵ ɑ ʔ	4 7 4 7 1	AXBYN	NANAH	3	3.N.C 3.A.V 3.N.C 3.A.V 3.H.c	2.0 1.5 1.75 1.3 0.8	0
31966	Tibetan_Xiahe	BREAST	nəma	breast	OLD	n ə m a	10186	10186	n ə m a	4 7 4 7	AXBZ	NEMA	5	5.N.C 5.E.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	0
34104	Tibetan_Alike	BREAST	nəmæ	breast	OLD	n ə m æ	10186	10186	n ə m æ	4 7 4 7	AXBZ	NEME	2	2.N.C 2.E.V 2.M.C 2.E.V	2.0 1.5 1.75 0.8	0
#
28191	rGyalrong_Maerkang	BURNING	kənɑt	burn	OLD	k ə n ɑ t	3198	3198	k ə n ɑ t	1 7 4 7 1	AXBYN	KENAT	1	1.K.C 1.E.V 1.N.C 1.A.V 1.T.c	2.0 1.5 1.75 1.3 0.8	0
28735	Tibetan_Lhasa	BURNING	par	burn	OLD	p a r	2751	2751	p a r	1 7 5	AXN	PAR	4	4.P.C 4.A.V 4.R.c	2.0 1.5 0.8	1
33837	Tibetan_Xiahe	BURNING	mbar	burn	OLD	m b a r	2751	2751	m b a r	4 1 7 5	ACYN	MPAR	5	5.M.C 5.P.C 5.A.V 5.R.c	2.0 1.5 1.3 0.8	0
34684	Tibetan_Batang	BURNING	mbɑ	burn	OLD	m b ɑ	2751	2751	m b ɑ	4 1 7	ACZ	MPA	3	3.M.C 3.P.C 3.A.V	2.0 1.5 0.8	0
#
30354	Tibetan_Batang	BUY	ȵo	buy	OLD	ȵ o	2122	2122	ȵ o	4 7	AX	NU	3	3.N.C 3.U.V	2.0 1.5	0
31324	Tibetan_Alike	BUY	ȵo	buy	OLD	ȵ o	2122	2122	ȵ o	4 7	AX	NU	2	2.N.C 2.U.V	2.0 1.5	0
32827	Tibetan_Xiahe	BUY	ȵo	buy	OLD	ȵ o	2122	2122	ȵ o	4 7	AX	NU	5	5.N.C 5.U.V	2.0 1.5	0
33310	Tibetan_Lhasa	BUY	ȵo	buy	OLD	ȵ o	2122	2122	ȵ o	4 7	AX	NU	4	4.N.C 4.U.V	2.0 1.5	0
33930	rGyalrong_Maerkang	BUY	kɑki	buy	OLD	k ɑ k i	2778	2778	k ɑ k i	1 7 1 7	AXBZ	KAKI	1	1.K.C 1.A.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	0
#
25626	Tibetan_Xiahe	CHEW	dal	chew	OLD	d a l	2960	2960	d a l	1 7 5	AXN	TAL	5	5.T.C 5.A.V 5.L.c	2.0 1.5 0.8	0
26028	Tibetan_Lhasa	CHEW	mur	chew	OLD	m u r	2448	2448	m u r	4 7 5	AXN	MYR	4	4.M.C 4.Y.V 4.R.c	2.0 1.5 0.8	0
34536	rGyalrong_Maerkang	CHEW	kɑwɑŋkᴇi	chew	OLD	k ɑ w ɑ ŋ k ᴇ i	1534	1534	k ɑ w ɑ ŋ k ᴇi	1 7 6 7 4 1 7	AXBYMBZ	KAWANKE	1	1.K.C 1.A.V 1.W.C 1.A.V 1.N.c 1.K.C 1.E.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0
34639	Tibetan_Batang	CHEW	a	chew	OLD	a	2742	2742	a	7	X	A	3	3.A.V	1.5	1
