ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE	GLOSS
36187	Xingning		above	ʂɔŋ⁵⁵pɔɛ⁵³	ʂ ɔ ŋ ⁵⁵ p ɔ ɛ ⁵³	suffix is < Jieyang Min. ʂɔŋ⁵⁵ is regular for 上.			20	NA	上背			above
36188	Xingning		above	hɔŋ⁵³	h ɔ ŋ ⁵³				1619	NA	囗			above
37554	Ukhrul	over ?	above	kə-kan	k ə + k a n				3313	525899				above
37760	Hayu	up, above (adv loc)	above	ani	a n i				2156	120114				above
37761	Hayu	above (pp)	above	ani	a n i				2156	120115				above
38141	Tangut		above	tɕhjaa	tɕʰ j aː				10178	NA				above
38469	Mikir		above	angsong	a ng s o ng	from :cite:Walker1925<br>page in :cite:Walker1925 180			0	NA		Walker1925, Konnerth2014	angsong, athak; (one -- another) pangchap, pacherop.	above
16971	Motuo_Menba	over / above	above	ga ten	g a _ t e n				431	382653		STEDT/TBL	ga ten	above
18154	Tibetan_Lhasa	over / above	above	jɛ̃¹³tɕhɛ⁵²	j ɛ̃ ∼ ¹³ + tɕʰ ɛ ⁵²				198	382648		STEDT/TBL	jɛ̃¹³tɕhɛ⁵²	above
18155	Tibetan_Lhasa	over / above	above	khoŋ¹³la	kʰ o ŋ ¹³ + l a				1035	382697		STEDT/TBL	khoŋ¹³la	above
19109	Daofu	over / above	above	rə nkhvɛ	r ə + n kʰ v ɛ				1310	382658		STEDT/TBL	rə nkhvɛ	above
19539	Dulong	over / above	above	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵				1265	382666		STEDT/TBL	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	above
19810	Tibetan_Batang	over / above	above	ja¹³tɕøʔ⁵³	j a ¹³ + tɕ ø ʔ ⁵³				198	382649		STEDT/TBL	ja¹³tɕøʔ⁵³	above
20363	Jingpho	over / above	above	n³¹tsa̱³³	n ³¹ + ts a̠ ³³				1765	382665		STEDT/TBL	n³¹tsa̱³³	above
21603	Zhaba_Daofu_County	over / above	above	ʌ¹³tʂhɿ³³	ʌ ¹³ + ʈʂʰ ɿ ³³				2262	382660		STEDT/TBL	ʌ¹³tʂhɿ³³	above
21766	rGyalrong_Maerkang	over / above	above	wu prɐi	w u _ p r ɐ i				2290	382657		STEDT/TBL	wu prɐi	above
22401	Tibetan_Xiahe	over / above	above	jan tɕhar	j a n _ tɕʰ a r				198	382650		STEDT/TBL	jan tɕhar	above
23503	Lisu	over / above	above	gɑ̱³¹si̱³³	g ɑ̠ ³¹ + s i̠ ³³				2668	382686		STEDT/TBL	gɑ̱³¹si̱³³	above
23962	Bokar	over / above	above	jan dap	j a n + d a p		tib[jan]		198	382670		STEDT/TBL	jan dap	above
30319	Khaling		above	tūŋ	t u ŋ				3493	NA				above
30320	Limbu		above	ɛtthaŋ	ɛ t tʰ a ŋ				20	NA				above
30756	Old_Chinese		above	daŋʔ←s	d a ŋ ʔ + s			上面	20	NA	上	SagartMa2016	*daŋʔ-s	above
31055	Old_Burmese		above	ʔa◦thak	ʔ a + tʰ a k				49	NA		Hill2016		above
31552	Wobzi_Khroskyabs		above	tʰɑ	tʰ ɑ				49	NA		Lai2016		above
31804	Chepang	upper part, above, overhead	above	puh.ʔə	p u h + ʔ ə				3791	483716		Caughley2000		above
32071	Garo	above; beyond; on top (pp)	above	sak-a-o	s a k a o				3915	467587		Burling2003		above
32395	Thulung		above	ɖʌ:la	ɖ ʌː l a				4050	NA				above
32629	Thulung		above	gele	g e l e				4111	NA				above
32641	Hakha_Chin	above (prep.)	above	cunglei;	ts ù ŋ	[full entry: e.g. We flew above the cloud = Khuadawm cungin kan zuang.]			744	NA		VanBik2014		above
72	Old_Tibetan	all	all	tʰams.tɕad	tʰ a m s + tɕ a d			全部	3682	NA	凡		tʰams.tɕad	all
85	Khaling	all	all	kʰøle	kʰ ø l e			全部	1273	NA	凡		kʰøle	all
86	Limbu	all	all	kak	k a k			全部	1320	NA	凡		kak	all
101	Japhug	all	all	tʰamtɕɤt	tʰ a m tɕ ɤ t		tib[tʰams.tɕad]	全部	3682	NA	凡		%tʰamtɕɤt	all
105	Tangut	all	all	zji¹	z j i ¹			全部	0	NA	凡		zji¹	all
33145	Bunan	all	all	tsʰaŋi	tsʰ a ŋ i	Comment (by Widmer2014): «WT tshang / ZZ tha-ts(h)an»	tib[tsʰaŋ]		5663	NA		Widmer2014		all
33180	Byangsi	all	all	lairi	l a i r i				6208	541979		Sharma2003		all
33398	Rongpo	all	all	ruoko, ruəko	r u o k o				6209	547338		Sharma2003a		all
33632	Kulung	all (adv.)	all	tɔ:tɔ	t ɔː t ɔ	Nepali: jammai. (Tolsma1999)			6288	NA		Tolsma1999		all
33633	Kulung	all, every (adv.)	all	khɔ:lɔ	kʰ ɔː l ɔ	Nepali: sab. (Tolsma1999)			1273	NA		Tolsma1999		all
33858	Bantawa	all, every	all	jamm@y	dz a m m ə j		IA		6522	NA		Jongens2009:		all
34097	Achang_Longchuan	all 1	all	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	bad concept			8001	NA		Huang1992		all
34099	Lashi	all 1	all	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	bad concept			8003	NA		Huang1992		all
34100	Maru	all 1	all	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	bad concept			8003	NA		Huang1992		all
34101	Xiandao	all 4	all	chot⁵⁵	cʰ o t ⁵⁵	bad concept			8004	NA		Huang1992		all
34102	Atsi	all 2	all	lu̱ŋ⁵⁵la̱ŋ⁵⁵	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	bad concept			8005	NA		Huang1992		all
34103	Bola	all 2	all	a³¹la̱p⁵⁵	a ³¹ + l a̰ p ⁵⁵	bad concept			8006	NA		Huang1992		all
34741	Rangoon		all	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	bad concept			8340	NA		Huang1992		all
35707	Old_Tibetan		all	kun	k u n				3899	NA				all
33399	Rongpo	all	all	səb	s ə b		IA		6207	547421		Sharma2003a		all
38176	Tangut		all	zji	z j i				0	NA	皆			all
38196	Tangut		all	rjur	r j u r				0	NA	諸			all
38507	Mikir		all	thài	tʰ ài	from :cite:Konnerth2014<br>:cite:Walker1925 entry: «kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]» (page: 187)			0	NA		Walker1925, Konnerth2014	kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]	all
16978	Jingpho	all / everything	all	ŋa³¹mă⁵⁵ŋa⁵¹	ŋ a ³¹ + m ă ⁵⁵ + ŋ a ⁵¹				1274	394543		STEDT/TBL	ŋa³¹mă⁵⁵ŋa⁵¹	all
17146	Motuo_Menba	all / everything	all	tham tɕeʔ	tʰ a m _ tɕ e ʔ		tib[tʰams.tɕad]		3682	394531		STEDT/TBL	tham tɕeʔ	all
17455	Tibetan_Xiahe	all / everything	all	ha no	h a _ n o				5662	394528		STEDT/TBL	ha no	all
17994	rGyalrong_Maerkang	all / everything	all	kə tʃᴇt	k ə _ tʃ ᴇ/e t				3969	394535		STEDT/TBL	kə tʃᴇt	all
18332	Tibetan_Lhasa	all / everything	all	tshaŋ⁵⁵ma⁵⁵	tsʰ a ŋ ⁵⁵ + m a ⁵⁵				5663	394526		STEDT/TBL	tshaŋ⁵⁵ma⁵⁵	all
19256	Daofu	all / everything	all	thəm tɕɛ	tʰ ə m _ tɕ ɛ		tib[tʰams.tɕad]		3682	394536		STEDT/TBL	thəm tɕɛ	all
19712	Dulong	all / everything	all	sɯ³¹nɑʔ⁵⁵	s ɯ ³¹ + n ɑ ʔ ⁵⁵				1276	394544		STEDT/TBL	sɯ³¹nɑʔ⁵⁵	all
19950	Tibetan_Batang	all / everything	all	jø¹³tshɛʔ⁵³	j ø ¹³ + tsʰ ɛ ʔ ⁵³				5664	394527		STEDT/TBL	jø¹³tshɛʔ⁵³	all
21326	Tibetan_Lhasa	all / everything	all	kaŋ¹³ka⁵⁵	k a ŋ ¹³ + k a ⁵⁵				5665	394576		STEDT/TBL	kaŋ¹³ka⁵⁵	all
21749	Zhaba_Daofu_County	all / everything	all	jo³³dzo⁵⁵	j o ³³ + dz o ⁵⁵				4514	394538		STEDT/TBL	jo³³dzo⁵⁵	all
23668	Lisu	all / everything	all	hɑ̃³³ŋɑ̱³³ mɑ̱³³	h ɑ̃ ∼ ³³ + ŋ ɑ̠ ³³ _ m ɑ̠ ³³				3683	394564		STEDT/TBL	hɑ̃³³ŋɑ̱³³ mɑ̱³³	all
23761	Bokar	all / everything	all	kə baŋ	k ə _ b a ŋ				1321	394548		STEDT/TBL	kə baŋ	all
24717	Tibetan_Alike	all / everything	all	tshaŋ mæ	tsʰ a ŋ _ m æ				5663	394529		STEDT/TBL	tshaŋ mæ	all
25848	Japhug	all	all	lonba	l o n mb a		tib[lon.pa]		1275	NA				all
30757	Old_Chinese		all	brom	b r o m			都	1186	NA	凡	SagartMa2016	*[b]rom	all
30758	Old_Chinese		all	gˤrəm	gˤ r ə m			都	3684	NA	咸	SagartMa2016	*[g]ˤr[ə]m	all
31056	Old_Burmese		all	ʔa◦kun	ʔ a + k u n				3899	NA		Hill2016		all
31553	Wobzi_Khroskyabs		all	pâ	p â/a				5037	NA		Lai2016		all
31805	Chepang	all, completely (<H jəmma all + -ʔəy emphatic)	all	jəm.bay	dʒ ə m + b a y				5140	481476		Caughley2000		all
31806	Chepang	all, completely	all	ju-	dʒ u				5141	481559		Caughley2000		all
32072	Garo	all (n)	all	be-bak	b e b a k				5308	465402		Burling2003		all
32396	Thulung		all	khotle	kʰ o t l e				1273	NA				all
32642	Hakha_Chin	all (adj.)	all	a dihlak	z ǎa/a t êe/eː				5779	NA		VanBik2014		all
284	Old_Tibetan		bad	ŋan-	ŋ a n			坏	245	NA				bad
33053	Bunan	bad	bad	marap	m a r a p	Comment (by Widmer2014): «WT ma rabs»	tib[ma.rabs]		246	NA		Widmer2014		bad
313	Japhug		bad	ŋɤn	ŋ ɤ n		tib[ŋan]	坏	245	NA			%ŋɤn	bad
33181	Byangsi	bad	bad	yaddɛ	j a d d ɛ				329	542623		Sharma2003		bad
33400	Rongpo	bad	bad	khəra:b	kʰ ə r aː b		IA		246	546968		Sharma2003a		bad
33634	Kulung	bad, useless, worthless. (adj.)	bad	mannǝpa	m a n n ə p a				613	NA		Tolsma1999		bad
33860	Bantawa	to be bad	bad	ɨma (ɨsa)	ɨ s				745	NA		Jongens2009:		bad
33861	Bantawa	bad, evil	bad	ɨssawa	ɨ s s a w a				745	NA		Jongens2009:		bad
34136	Achang_Longchuan	bad	bad	tɕa⁵⁵	tɕ a ⁵⁵				889	NA		Huang1992		bad
34138	Atsi	bad	bad	then²¹	tʰ e n ²¹				486	NA		Huang1992		bad
34139	Bola	bad	bad	a³¹kai⁵⁵	a ³¹ + k a i ⁵⁵				890	NA		Huang1992		bad
34141	Lashi	bad	bad	pjɔːʔ³¹	p j ɔː ʔ ³¹				892	NA		Huang1992		bad
34142	Maru	bad	bad	kɔi³⁵	k ɔ i ³⁵				890	NA		Huang1992		bad
34143	Xiandao	bad	bad	n³¹cɛ⁵⁵	n ³¹ + c ɛ ⁵⁵				893	NA		Huang1992		bad
34567	Rangoon		bad	sho⁵⁵	sʰ o ⁵⁵				1044	NA		Huang1992		bad
34568	Rangoon		bad	ȵɑ̃⁵³	nʲ ɑ̃ ∼ ⁵³				1045	NA		Huang1992		bad
35901	Lushai	bad	bad	t̥ha◦lo	ʈʰ a + l o				1462	236794				bad
35902	Lushai	bad	bad	chhia	tʃʰ i a				1463	236795				bad
36189	Beijing	bad	bad	xuæi⁵¹	x u æ i ⁵¹			壞	1623	NA	壞	BeijingDaxue1964		bad
36190	Beijing	bad	bad	læi⁵¹	l æ i ⁵¹			賴	1620	NA	賴	BeijingDaxue1964		bad
36191	Guangzhou	bad	bad	søy⁵³	s ø y ⁵³	衰		壞	10263	NA	壞	BeijingDaxue1964		bad
36192	Chaozhou		bad	pʰai⁵³	pʰ a i ⁵³				1622	NA	囗			bad
36193	Longgang		bad	sɔi³³	s ɔ i ³³				10263	NA	衰			bad
36194	Jieyang		bad	huai³⁵	h u a i ³⁵	壞 is very recent (HYDZD)	< Mand.		1623	NA	壞			bad
36195	Xingning		bad	fai⁵³	f a i ⁵³	壞 is very recent (HYDZD)	< Mand.		1623	NA	囗			bad
36196	Jieyang		bad	mɔ³¹	m ɔ ³¹	< m¹¹ hɔ⁵³ (not-good). Tone is yinshang. Other Min dialects use other forms. contraction of m¹¹ hɔ⁵³ (not-good). Tone is yinshang	< Cant.		1625	NA	不好			bad
36197	Jieyang		bad	pʰai³¹	pʰ a i ³¹				1622	NA	囗			bad
36198	Chaozhou		bad	mɔ⁵³	m ɔ ⁵³	< m¹¹ hɔ⁵³ (not-good). Tone is yinshang. Other Min dialects use other forms.	< Cant.		1625	NA	不好			bad
38078	Tangut		bad	niow	n i o w				10179	NA	惡			bad
38397	Mikir		bad	henō	h e n ō/oː	from :cite:Konnerth2014<br>:cite:Walker1925 entry: «hingo» (page: 199)			0	NA		Walker1925, Konnerth2014	hingo	bad
17052	Jingpho	bad	bad	then³¹	tʰ e n ³¹				486	399191		STEDT/TBL	then³¹	bad
17204	Motuo_Menba	bad	bad	duk pin	d u k _ p i n		tib[sdug]		579	399179		STEDT/TBL	duk pin	bad
17241	Yidu	bad	bad	e⁵⁵lieŋ⁵⁵	e ⁵⁵ + l i e ŋ ⁵⁵				606	399197		STEDT/TBL	e⁵⁵lieŋ⁵⁵	bad
18052	rGyalrong_Maerkang	bad	bad	mɑ kə snɑ	m ɑ _ k ə _ s n ɑ				999	399183		STEDT/TBL	mɑ kə snɑ	bad
18407	Tibetan_Lhasa	bad	bad	ŋɛ̃¹³po⁵⁵	ŋ ɛ̃ ∼ ¹³ + p o ⁵⁵				245	399174		STEDT/TBL	ŋɛ̃¹³po⁵⁵	bad
18408	Tibetan_Lhasa	bad	bad	tu¹³ko⁵⁵	t u ¹³ + k o ⁵⁵				579	399223		STEDT/TBL	tu¹³ko⁵⁵	bad
18948	Daofu	bad	bad	qhə mɛ	qʰ ə + m ɛ				1271	399184		STEDT/TBL	qhə mɛ	bad
19360	Daofu	bad	bad	gɛ qhə mɛ	g ɛ + qʰ ə + m ɛ				1271	399227		STEDT/TBL	gɛ qhə mɛ	bad
19776	Dulong	bad	bad	mɑʔ⁵⁵	m ɑ ʔ ⁵⁵				1608	399192		STEDT/TBL	mɑʔ⁵⁵	bad
20028	Tibetan_Batang	bad	bad	du⁵⁵pᴜ⁵³	d u ⁵⁵ + p u ⁵³				579	399175		STEDT/TBL	du⁵⁵pᴜ⁵³	bad
20029	Tibetan_Batang	bad	bad	ɕɑu⁵⁵dɛʔ⁵³	ɕ ɑ u ⁵⁵ + d ɛ ʔ ⁵³				2316	399224		STEDT/TBL	ɕɑu⁵⁵dɛʔ⁵³	bad
21824	Zhaba_Daofu_County	bad	bad	ʂtʂu⁵⁵tʂu³³	ʂ ʈʂ u ⁵⁵ + ʈʂ u ³³	!			2303	399186		STEDT/TBL	ʂtʂu⁵⁵tʂu³³	bad
21912	Darang_Taraon	bad	bad	pɹɑ⁵⁵jim⁵⁵	p ɹ ɑ ⁵⁵ + j i m ⁵⁵				2327	399194		STEDT/TBL	pɹɑ⁵⁵jim⁵⁵	bad
22606	Tibetan_Xiahe	bad	bad	a χa ma	a _ χ a _ m a				2482	399176		STEDT/TBL	a χa ma	bad
22607	Tibetan_Xiahe	bad	bad	ŋan	ŋ a n				245	399225		STEDT/TBL	ŋan	bad
23741	Lisu	bad	bad	ma³¹dʑi³³	m a ³¹ + dʑ i ³³				2716	399212		STEDT/TBL	ma³¹dʑi³³	bad
23833	Bokar	bad	bad	po moŋ	p o + m o ŋ				2749	399196		STEDT/TBL	po moŋ	bad
25353	Bokar	bad	bad	ka ru	k a + r u				3052	399229		STEDT/TBL	ka ru	bad
25418	Tibetan_Alike	bad	bad	ŋan bæ	ŋ a n _ b æ				245	399177		STEDT/TBL	ŋan bæ	bad
30762	Old_Chinese		bad	ʔˤak	ʔˤ a k	WT ag-po 'bad'		坏	3616	NA	惡	SagartMa2016	*ʔˤak	bad
31057	Old_Burmese		bad	chuiwḥ	ch ui w h				1044	NA		Hill2016		bad
31298	Limbu		bad	tɛp_phɛːm-ba	t ɛ p _ pʰ ɛː m + b a				3702	NA				bad
31312	Khaling		bad	mʌbʌ̄ŋpɛ	m ʌ b ʌ ŋ p ɛ				3704	NA				bad
31556	Wobzi_Khroskyabs		bad	mə-tsʰâ	m ə + tsʰ â/a				3733	NA		Lai2016		bad
31809	Chepang	evil or bad (esp. speech, description), unpleasant, call by bad name	bad	hal-	h a l				3793	487260		Caughley2000		bad
31810	Chepang	ugly, bad, evil (esp. talk), be corrupted, in bad condition, be unlucky, ruined	bad	rew-	r e w				3186	485693		Caughley2000		bad
31811	Chepang	ugly, inauspicious, bad, evil	bad	ryəw-	r j ə w				3186	485762		Caughley2000		bad
32397	Thulung		bad	medzɵpa	m e dz ɵ p a				4051	NA				bad
32646	Hakha_Chin	bad (adj.)	bad	a ttha lo , a thu a tlolmi	tsʰ ì/i a + tsʰ i a t				1463	NA		VanBik2014		bad
33156	Bunan	under, below	below, under	tʰildok	tʰ i l d o k	Comment (by Widmer2014): «WT mthil "bottom, lowest part"»	tib[mtʰil]		315	NA		Widmer2014		below, under
33182	Byangsi	below, down	below, under	yikho	j i kʰ o				330	542651		Sharma2003		below, under
496	Old_Tibetan		below, under	gɕam	g ɕ a m				380	NA				below, under
525	Japhug		below, under	ɯ-pa	ɯ + p a				396	NA			ɯ-pa	below, under
33401	Rongpo	under, below	below, under	thiŋcɔ	tʰ i ŋ tʃ ɔ				463	547526		Sharma2003a		below, under
33402	Rongpo	under, below	below, under	thɔrɔ	tʰ ɔ r ɔ				463	547530		Sharma2003a		below, under
33866	Bantawa	deictic expression meaning ‘that below’,;	below, under	hyu	h j u				330	NA		Jongens2009:433		below, under
35053	Atsi	below / under	below, under	o̱⁵¹mai²¹	o̰ ⁵¹ + m a i ²¹				1202	NA		Huang1992		below, under
35154	Bola	below / under	below, under	a³¹a⁵⁵	a ³¹ + a ⁵⁵				1230	NA		Huang1992		below, under
