SAGARTGLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
the mother	1216	MOTHER	1
the mountain	639	MOUNTAIN	1
the mouse or rat	2139	MUROID (MOUSE OR RAT)	1
the mouth	674	MOUTH	1
the mud	640	MUD	1
the nail (fingernail or claw)	2128	CLAW OR NAIL	1
the name	1405	NAME	1
the neck	1333	NECK	1
the needle (for sewing)	1382	NEEDLE (FOR SEWING)	1
the nit	267	NIT	1
the nose	1221	NOSE	1
the otter	15	OTTER	1
the pig	1337	PIG	1
the rain	658	RAIN (PRECIPITATION)	1
the rainbow	1733	RAINBOW	1
the rice plant	2026	RICE PLANT	1
the river	666	RIVER	1
the road	667	ROAD	1
the root	670	ROOT	1
the rope	1218	ROPE	1
the salt	1274	SALT	1
the sand	671	SAND	1
the sea	1474	SEA	1
the seed	714	SEED	1
the sheep	1331	SHEEP	1
the shit	676	SHIT (DEFECATE)	1
the shoulder	1482	SHOULDER	1
the sickle	341	SICKLE	1
the skin	763	SKIN	1
the sky	1732	SKY	1
the smoke	778	SMOKE (EXHAUST)	1
the snake	730	SNAKE	1
the snow	784	SNOW	1
the son	1620	SON	1
the sparrow	1854	SPARROW	1
the spider	843	SPIDER	1
the star	1430	STAR	1
the stick	1295	STICK	1
the stone (a piece of)	857	STONE	1
the sun	1343	SUN	1
the tail	1220	TAIL	1
the thigh	800	THIGH	1
the thunder	1150	THUNDER	1
the tiger	846	TIGER	1
the tongue	1205	TONGUE	1
the tooth (front)	1380	TOOTH	1
the tree	906	TREE	1
the water	948	WATER	1
the wheat	1077	WHEAT	1
the wife	1199	WIFE	1
the wind	960	WIND	1
the wing	1257	WING	1
the wolf	522	WOLF	1
the woman	962	WOMAN	1
the wood (material)	1803	WOOD	1
the year	1226	YEAR	1
there	1937	THERE	2
thick	1244	THICK	2
thick	2239	DENSE	2
thin (object)	2249	THIN (OF SHAPE OF OBJECT)	2
this	1214	THIS	2
thou [second person singular]	1215	THOU	2
three	492	THREE	2
to be alive	1422	BE ALIVE	1
to bite	1403	BITE	1
to blow (of wind)	175	BLOW (OF WIND)	1
to burn [intransitive]	1428	BURNING	1
to buy	1869	BUY	1
to chew	321	CHEW	1
to come	1446	COME	1
to count	1420	COUNT	1
to cry (weep)	1839	CRY	1
to die	1494	DIE	1
to dig	1418	DIG	1
to drink	1401	DRINK	1
to eat	1336	EAT	1
to fight	1423	FIGHT	1
to float	1574	FLOAT	1
to flow	2003	FLOW	1
to fly (move through air)	1441	FLY (MOVE THROUGH AIR)	1
to forget	1523	FORGET	1
to give	1447	GIVE	1
to hear	1608	LISTEN	1
to hide (conceal)	602	HIDE (CONCEAL)	1
to hold	1448	HOLD	1
to hunt	1435	HUNT	1
to kill	1417	KILL	1
to knead	274	KNEAD	1
to know (something)	1410	KNOW (SOMETHING)	1
to laugh	1355	LAUGH	1
to learn	504	LEARN	1
to lick	319	LICK	1
to lie down	215	LIE DOWN	1
to marry (a man marries a woman)	2164	MARRY (AS MAN)	1
to plant (vegetals, rice)	1486	PLANT (SOMETHING)	1
to play	1413	PLAY	1
to pull	1455	PULL	1
to push	1452	PUSH	1
to reside (live)	363	DWELL (LIVE, RESIDE)	1
to run	1519	RUN	1
to scratch	1436	SCRATCH	1
to see	1409	SEE	1
to shoot (an arrow)	1172	SHOOT	1
to sing	1261	SING	1
to sleep	1585	SLEEP	1
to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)	1
to sow (broadcast, scatter seeds)	748	SOW SEEDS	1
to spit	1440	SPIT	1
to stand	1442	STAND	1
to steal	713	STEAL	1
to think (reflect)	1415	THINK (REFLECT)	1
to throw	1456	THROW	1
to vomit	1278	VOMIT	1
to walk	1443	WALK	1
to wipe	1454	WIPE	1
today	1283	TODAY	2
tomorrow	1329	TOMORROW	2
twenty	1710	TWENTY	2
two	1498	TWO	2
we [first person plural inclusive]	1131	WE (INCLUSIVE)	2
wet	1726	WET	2
what	1236	WHAT	2
where	1237	WHERE	2
white	1335	WHITE	2
who	1235	WHO	2
yellow	1424	YELLOW	2
yesterday	1174	YESTERDAY	2
you [second person plural]	1213	YOU	2
young	1207	YOUNG	2


