"num","GLOSS","CONCEPT","CONCEPTID"
96,"snake","SNAKE","730"
97,"monkey","MONKEY","1350"
98,"mosquito","MOSQUITO","1509"
99,"ant","ANT","587"
100,"spider","SPIDER","843"
101,"name","NAME","1405"
102,"man","MAN","1554"
103,"woman","WOMAN","962"
104,"child","CHILD","2099"
105,"father","FATHER","1217"
106,"mother","MOTHER","1216"
107,"older brother","OLDER BROTHER","1759"
108,"younger brother","YOUNGER BROTHER","1760"
109,"older sister","OLDER SISTER","1758"
110,"younger sister","YOUNGER SISTER","1761"
111,"son","SON","1620"
112,"daughter","DAUGHTER","1357"
113,"husband","HUSBAND","1200"
114,"wife","WIFE","1199"
115,"boy","BOY","1366"
116,"girl","GIRL","1646"
117,"day","DAY (NOT NIGHT)","1225"
118,"night","NIGHT","1233"
119,"morning","MORNING","1339"
120,"noon","NOON","2490"
121,"evening","EVENING","1629"
122,"yesterday","YESTERDAY","1174"
123,"today","TODAY","1283"
124,"tomorrow","TOMORROW","1329"
125,"week","WEEK","1469"
126,"month","MONTH","1370"
127,"year","YEAR","1226"
128,"old","OLD","1229"
129,"new","NEW","1231"
130,"good","GOOD","1035"
131,"bad","BAD","1292"
132,"wet","WET","1726"
133,"dry","DRY","1398"
134,"long","LONG","1203"
135,"short","SHORT","1645"
136,"hot","HOT","1286"
137,"cold","COLD","1287"
138,"right","RIGHT","1019"
139,"left","LEFT","244"
140,"near","NEAR","1942"
141,"far","FAR","1406"
142,"big","BIG","1202"
143,"small","SMALL","1246"
144,"heavy","HEAVY","1210"
145,"light","LIGHT (WEIGHT)","1052"
146,"above","ABOVE","1741"
147,"below","DOWN OR BELOW","2094"
148,"white","WHITE","1335"
149,"black","BLACK","163"
150,"red","RED","156"
151,"one","ONE","1493"
152,"two","TWO","1498"
153,"three","THREE","492"
154,"four","FOUR","1500"
155,"five","FIVE","493"
156,"six","SIX","1703"
157,"seven","SEVEN","1704"
158,"eight","EIGHT","1705"
159,"nine","NINE","1483"
160,"ten","TEN","1515"
161,"eleven","ELEVEN","1706"
162,"twelve","TWELVE","1707"
163,"twenty","TWENTY","1710"
164,"one hundred","HUNDRED","1634"
165,"who","WHO","1235"
166,"what","WHAT","1236"
167,"where","WHERE","1237"
168,"when","WHEN","1238"
169,"how many","HOW MANY","822"
170,"which","WHICH","727"
171,"this","THIS","1214"
172,"that","THAT","78"
173,"these","THIS","1214"
174,"those","THAT","78"
175,"same","SAME","200"
176,"different","DIFFERENT","2504"
177,"whole","WHOLE","2277"
178,"broken","BROKEN","588"
179,"few","FEW","1242"
180,"many","MANY","1198"
181,"all","ALL","98"
182,"to eat","EAT","1336"
183,"to bite","BITE","1403"
184,"to be hungry","BE HUNGRY","1533"
185,"to drink","DRINK","1401"
186,"to be thirsty","THIRSTY","847"
187,"to sleep","SLEEP","1585"
188,"to lie","LIE (REST)","1411"
189,"to sit","SIT","1416"
190,"to give ","GIVE","1447"
191,"to burn","BURN","2102"
192,"to die","DIE","1494"
193,"to kill ","KILL","1417"
194,"to fly","FLY (MOVE THROUGH AIR)","1441"
195,"to walk ","WALK","1443"
196,"to run/ run","RUN","1519"
197,"to go /go","GO","695"
198,"to come","COME","1446"
199,"to speak/ speak","SPEAK","1623"
200,"to hear/hear/listen","LISTEN","1608"
201,"to look/look","LOOK","1819"
202,"I ","I","1209"
203,"you (informal)","THOU","1215"
204,"you (formal)","YOU (FORMAL ADDRESS)","2844"
205,"he","HE","1211"
206,"she","SHE","1834"
207,"we (inclusive)","WE (INCLUSIVE)","1131"
208,"we (exclusive)","WE (EXCLUSIVE)","1130"
209,"you (plural)","YOU","1213"
210,"they","THEY","817"
211,"load","LOAD","1679"
212,"flour (eaten as food)","FLOUR","1594"
213,"hailstone","HAIL","609"
214,"intestine","INTESTINES","1991"
215,"yard","YARD","736"
216,"to uproot","","9991"
217,"oven","OVEN","1143"
218,"heel","HEEL","980"
219,"spade","SPADE","1176"
220,"horse","HORSE","615"
221,"wound","WOUND","1109"
222,"to plough","PLOUGH","1921"
223,"bond","TIE","1917"
224,"beam (main wooden beam)","BEAM","1132"
225,"rope used to tie animals","ROPE","1218"
226,"beard","BEARD","678"
227,"to measure","MEASURE","1506"
228,"plank","BOARD","1227"
229,"hole","HOLE","1667"
230,"plough (noun)","PLOUGH (INSTRUMENT)","2154"
231,"lid (cover)","LID (COVER, CAP)","2319"
232,"handle","HANDLE","1254"
233,"bear","BEAR","1820"
234,"ghost","GHOST","1175"
235,"manure","DUNG (ANIMAL FAECES)","2057"
236,"bread","BREAD","1368"
237,"corpse","CORPSE","767"
238,"pig","PIG","1337"
239,"grains","GRAIN","605"
240,"stick","STICK","1295"
241,"sweat","SWEAT (SUBSTANCE)","125"
242,"to chew","CHEW","321"
243,"to swallow","SWALLOW","897"
244,"to throw","THROW","1456"
245,"cave","CAVE","1155"
246,"moustache","MOUSTACHE","1165"
