ID	X	ID.1	DOCULECT	CONCEPT	IPA	COUNTERPART	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SOURCE	TOKENS	OLDCOG	ALIGNMENT
37	NA	46184	S_Chaozhou	ABOVE	teŋ⁵³₃₅põĩ⁵⁵	NA	101618	t e ŋ ₃₅ p õ ĩ ∼				0			NA	OLD	t e ŋ ₃₅ p õ ĩ ∼	101618	t e ŋ -₃₅ ( p õ ĩ ∼ - - - - - )
38	NA	46186	S_Jieyang	ABOVE	teŋ³¹₃₅pãĩ⁵⁵	NA	101618	t e ŋ ₃₅ p ã ĩ ∼				0			NA	OLD	t e ŋ ₃₅ p ã ĩ ∼	101618	t e ŋ -₃₅ ( p ã ĩ ∼ - - - - - )
39	NA	46185	S_Longgang	ABOVE	taŋ³³kau³³	NA	101618	t a ŋ k a u				0			NA	OLD	t a ŋ k a u	101618	t a ŋ - ( - - - - - k a u - )
40	NA	46188	S_Xingning	ABOVE	hɔŋ⁵³	NA	101619	h ɔ ŋ				0			NA	OLD	h ɔ ŋ	101619	h ɔ ŋ -
41	NA	30363	S_Jingpho	ABOVE	n³¹tsa̱³³	NA	101765	n ts a̱				0			NA	OLD	n ts a̱	101765	n - - ts a̱ -
42	NA	47760	S_Hayu	ABOVE	ani	NA	102156	a n i				0			NA	OLD	a n i	102156	a n i
43	NA	47761	S_Hayu	ABOVE	ani	NA	102156	a n i				0			NA	OLD	a n i	102156	a n i
44	NA	31603	S_Zhaba_Daofu_County	ABOVE	ʌ¹³tʂhɿ³³	NA	102262	ʌ tʂh ɿ				0			NA	OLD	ʌ tʂh ɿ	102262	ʌ - - tʂh ɿ -
45	NA	31766	S_rGyalrong_Maerkang	ABOVE	wu prɐi	NA	102290	w u p r ɐ i				0			NA	OLD	w u p r ɐ i	102290	w u - p r ɐ i
46	NA	33503	S_Lisu	ABOVE	gɑ̱³¹si̱³³	NA	102668	g ɑ̱ s i̱				0			NA	OLD	g ɑ̱ s i̱	102668	g ɑ̱ - - s i̱ -
47	NA	45712	S_Bahing	ABOVE	hati, haty	NA	102769	h a t i				0			NA	OLD	h a t i	102769	h a t i
48	NA	45214	S_Achang_Longchuan	ABOVE	a³¹lum³¹	NA	103049	a l u m				0			NA	OLD	a l u m	103049	a - - l u m -
49	NA	47554	S_Ukhrul	ABOVE	kə-kan	NA	103313	k ə k a n				0			NA	OLD	k ə k a n	103313	k ə - k a n
50	NA	40319	S_Khaling	ABOVE	tūŋ	NA	103493	t u ŋ				0			NA	OLD	t u ŋ	103493	t u ŋ
51	NA	41804	S_Chepang	ABOVE	puh.ʔə	NA	103791	p u h ʔ ə				0			NA	OLD	p u h ʔ ə	103791	p u h - ʔ ə
52	NA	42071	S_Garo	ABOVE	sak-a-o	NA	103915	s a k a o				0			NA	OLD	s a k a o	103915	s a k a o
53	NA	42395	S_Thulung	ABOVE	ɖʌ:la	NA	104050	ɖ ʌː l a				0			NA	OLD	ɖ ʌː l a	104050	ɖ ʌː l a
54	NA	42629	S_Thulung	ABOVE	gele	NA	104111	g e l e				0			NA	OLD	g e l e	104111	g e l e
55	NA	48141	S_Tangut	ABOVE	tɕhjaa	NA	110178	tɕh jaa				0			NA	OLD	tɕh jaa	110178	
56	10	715	Kagate	ALL	t̪ʰamdzer	All:	1	t̪ʰ a m d z e r	1 7 4 1 3 7 5	AXMBCYN	TAMTSER	3	3.T.C 3.A.V 3.M.c 3.T.C 3.S.C 3.E.V 3.R.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	1			NA	t̪ʰ - - a m d - z
57	12	1223	Nubri	ALL	tɕjapt̪a	All:	1	t ɕ j a p t̪ a	1 3 6 7 1 1 7	ACCXMBZ	TSJAPTA	5	5.T.C 5.S.C 5.J.C 5.A.V 5.P.c 5.T.C 5.A.V	2.0 1.5 1.5 1.5 1.1 1.75 0.8	1			NA	t ɕ j a p t̪ a -
58	14	1718	Tsum	ALL	tɕjop	All:	1	t ɕ j o p	1 3 6 7 1	ACCXN	TSJUP	7	7.T.C 7.S.C 7.J.C 7.U.V 7.P.c	2.0 1.5 1.5 1.5 0.8	1			NA	t ɕ j o p - - -
59	NA	48507	S_Mikir	ALL	thài	NA	100000	th ài				0			NA	OLD	th ài	100000	
60	NA	10105	S_Tangut	ALL	zji¹	NA	100000	z j i				0			NA	OLD	z j i	100000	
61	NA	48176	S_Tangut	ALL	zji	NA	100000	z ji				0			NA	OLD	z ji	100000	
62	NA	48196	S_Tangut	ALL	rjur	NA	100000	r ju r				0			NA	OLD	r ju r	100000	
63	NA	40757	S_Old_Chinese	ALL	brom	NA	101186	b r o m				0			NA	OLD	b r o m	101186	
64	NA	10085	S_Khaling	ALL	kʰøle	NA	101273	kʰ ø l e				0			NA	OLD	kʰ ø l e	101273	
65	NA	43633	S_Kulung	ALL	khɔ:lɔ	NA	101273	kʰ ɔ: l ɔ				0			NA	OLD	kʰ ɔ: l ɔ	101273	
66	NA	42396	S_Thulung	ALL	khotle	NA	101273	kh o t l e				0			NA	OLD	kh o t l e	101273	
67	8	198	Gyalsumdo	ALL	t̪aɡɹaŋ	All:	101274	t̪ a ɡ ɹ a ŋ	1 7 1 5 7 4	AXBCYN	TAKRAN	1	1.T.C 1.A.V 1.K.C 1.R.C 1.A.V 1.N.c	2.0 1.5 1.75 1.5 1.3 0.8	1			NA	- t̪ - a ɡ - ɹ a ŋ -
68	9	456	Jirel	ALL	ŋɡaŋe	All:	101274	ŋ ɡ a ŋ e	4 1 7 4 7	ACYBZ	NKANE	2	2.N.C 2.K.C 2.A.V 2.N.C 2.E.V	2.0 1.5 1.3 1.75 0.8	1			NA	ŋ - - - ɡ - - a ŋ e
69	15	1984	Yolmo	ALL	ndzamaɹaŋ	All:	101274	n d z a m a ɹ a ŋ	4 1 3 7 4 7 5 7 4	ACCYBYBYN	NTSAMARAN	8	8.N.C 8.T.C 8.S.C 8.A.V 8.M.C 8.A.V 8.R.C 8.A.V 8.N.c	2.0 1.5 1.5 1.3 1.75 1.3 1.75 1.3 0.8	0			NA	n d z a m a ɹ a ŋ -
70	NA	26978	S_Jingpho	ALL	ŋa³¹mă⁵⁵ŋa⁵¹	NA	101274	ŋ a m ă ŋ a				0			NA	OLD	ŋ a m ă ŋ a	101274	ŋ - - a m ă - - ŋ a
71	NA	35848	S_Japhug	ALL	lonba	NA	101275	l o n mb a				0			NA	OLD	l o n mb a	101275	
72	NA	29712	S_Dulong	ALL	sɯ³¹nɑʔ⁵⁵	NA	101276	s ɯ n ɑ ʔ				0			NA	OLD	s ɯ n ɑ ʔ	101276	
73	NA	10086	S_Limbu	ALL	kak	NA	101320	k a k				0			NA	OLD	k a k	101320	
74	NA	33761	S_Bokar	ALL	kə baŋ	NA	101321	k ə b a ŋ				0			NA	OLD	k ə b a ŋ	101321	
75	NA	29256	S_Daofu	ALL	thəm tɕɛ	NA	103682	th ə m tɕ ɛ				0			NA	OLD	th ə m tɕ ɛ	103682	
76	NA	10101	S_Japhug	ALL	tʰamtɕɤt	NA	103682	tʰ a m tɕ ɤ t				0			NA	OLD	tʰ a m tɕ ɤ t	103682	tʰ a m - - tɕ ɤ t
77	NA	27146	S_Motuo_Menba	ALL	tham tɕeʔ	NA	103682	th a m tɕ e ʔ				0			NA	OLD	th a m tɕ e ʔ	103682	
78	NA	10072	S_Old_Tibetan	ALL	tʰams.tɕad	NA	103682	tʰ a m s tɕ a d				0			NA	OLD	tʰ a m s tɕ a d	103682	
79	NA	33668	S_Lisu	ALL	hɑ̃³³ŋɑ̱³³ mɑ̱³³	NA	103683	h ɑ̃ ∼ ŋ ɑ̱ m ɑ̱				0			NA	OLD	h ɑ̃ ∼ ŋ ɑ̱ m ɑ̱	103683	
80	NA	40758	S_Old_Chinese	ALL	gˤrəm	NA	103684	gˤ r ə m				0			NA	OLD	gˤ r ə m	103684	
81	NA	41056	S_Old_Burmese	ALL	ʔa◦kun	NA	103899	ʔ a k u n				0			NA	OLD	ʔ a k u n	103899	
82	NA	45707	S_Old_Tibetan	ALL	kun	NA	103899	k u n				0			NA	OLD	k u n	103899	
83	NA	27994	S_rGyalrong_Maerkang	ALL	kə tʃᴇt	NA	103969	k ə tʃ ᴇ t				0			NA	OLD	k ə tʃ ᴇ t	103969	
84	NA	31749	S_Zhaba_Daofu_County	ALL	jo³³dzo⁵⁵	NA	104514	j o dz o				0			NA	OLD	j o dz o	104514	
85	NA	41553	S_Wobzi_Khroskyabs	ALL	pâ	NA	105037	p â				0			NA	OLD	p â	105037	
86	NA	41805	S_Chepang	ALL	jəm.bay	NA	105140	dʒ ə m b a y				0			NA	OLD	dʒ ə m b a y	105140	
87	NA	41806	S_Chepang	ALL	ju-	NA	105141	dʒ u				0			NA	OLD	dʒ u	105141	
88	NA	42072	S_Garo	ALL	be-bak	NA	105308	b e b a k				0			NA	OLD	b e b a k	105308	
89	NA	27455	S_Tibetan_Xiahe	ALL	ha no	NA	105662	h a n o				0			NA	OLD	h a n o	105662	
90	NA	43145	S_Bunan	ALL	tsʰaŋi	NA	105663	tsʰ a ŋ i				0			NA	OLD	tsʰ a ŋ i	105663	
91	NA	34717	S_Tibetan_Alike	ALL	tshaŋ mæ	NA	105663	tsh a ŋ m æ				0			NA	OLD	tsh a ŋ m æ	105663	
92	NA	28332	S_Tibetan_Lhasa	ALL	tshaŋ⁵⁵ma⁵⁵	NA	105663	tsh a ŋ m a				0			NA	OLD	tsh a ŋ m a	105663	
93	13	1475	Sherpa	ALL	jukəj	All:	105664	j u k ə j	6 7 1 7 6	AXBYN	JYKEJ	6	6.J.C 6.Y.V 6.K.C 6.E.V 6.J.c	2.0 1.5 1.75 1.3 0.8	0			NA	j u k ə j
94	2058	29950	S_Tibetan_Batang	ALL	jɛʔ	all / everything	105664	j ɛ ʔ	6 7 1	AXN	JEH	3	3.J.C 3.E.V 3.H.c	2.0 1.5 0.8	0	OLD	j ɛ ʔ	105664	j ɛ ʔ - -
95	NA	31326	S_Tibetan_Lhasa	ALL	kaŋ¹³ka⁵⁵	NA	105665	k a ŋ k a				0			NA	OLD	k a ŋ k a	105665	
96	NA	42642	S_Hakha_Chin	ALL	a dihlak	NA	105779	z ǎa t êe				0			NA	OLD	z ǎa t êe	105779	
97	NA	43399	S_Rongpo	ALL	səb	NA	106207	s ə b				0			NA	OLD	s ə b	106207	
98	11	975	Lowa	ALL	kiɾi	All:	106208	k i ɾ i	1 7 5 7	AXBZ	KIRI	4	4.K.C 4.I.V 4.R.C 4.I.V	2.0 1.5 1.75 0.8	1			NA	k i ɾ i
99	NA	43180	S_Byangsi	ALL	lairi	NA	106208	l a i r i				0			NA	OLD	l a i r i	106208	
100	NA	43398	S_Rongpo	ALL	ruoko, ruəko	NA	106209	r u o k o				0			NA	OLD	r u o k o	106209	
101	NA	43632	S_Kulung	ALL	tɔ:tɔ	NA	106288	t ɔ: t ɔ				0			NA	OLD	t ɔ: t ɔ	106288	
102	NA	43858	S_Bantawa	ALL	jamm@y	NA	106522	dz a m m ə j				0			NA	OLD	dz a m m ə j	106522	
103	NA	44097	S_Achang_Longchuan	ALL	pʐa⁵⁵pʐa⁵⁵	NA	108001	p ʐ a p ʐ a				0			NA	OLD	p ʐ a p ʐ a	108001	p ʐ a - - p ʐ a -
104	NA	44099	S_Lashi	ALL	pan³¹ʃɔ̱ʔ⁵⁵	NA	108003	p a n ʃ ɔ̰ ʔ				0			NA	OLD	p a n ʃ ɔ̰ ʔ	108003	p a n - - ʃ ɔ̰ ʔ -
105	NA	44100	S_Maru	ALL	pəŋ³¹ʃɔʔ⁵⁵	NA	108003	p ə ŋ ʃ ɔ ʔ				0			NA	OLD	p ə ŋ ʃ ɔ ʔ	108003	p ə ŋ - - ʃ ɔ ʔ -
106	NA	44101	S_Xiandao	ALL	chot⁵⁵	NA	108004	cʰ o t				0			NA	OLD	cʰ o t	108004	cʰ o t -
107	NA	44102	S_Atsi	ALL	lu̱ŋ⁵⁵la̱ŋ⁵⁵	NA	108005	l ṵ ŋ l a̰ ŋ				0			NA	OLD	l ṵ ŋ l a̰ ŋ	108005	l ṵ ŋ - - l a̰ ŋ -
108	NA	44103	S_Bola	ALL	a³¹la̱p⁵⁵	NA	108006	a l a̰ p				0			NA	OLD	a l a̰ p	108006	a - - l a̰ p -
109	NA	44741	S_Rangoon	ALL	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³	NA	108340	m̥ ɑ̃ ∼ tθ ɑ m̥ j ɑ				0			NA	OLD	m̥ ɑ̃ ∼ tθ ɑ m̥ j ɑ	108340	m̥ ɑ̃ ∼ - - tθ ɑ - - m̥ j ɑ -
110	16	110	Gyalsumdo	ANT	tomaɹ	Ant:Low-Rise	3	t o m a ɹ	1 7 4 7 5	AXBYN	TUMAR	1	1.T.C 1.U.V 1.M.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0			NA	t - o - - m a ɹ - - -
111	17	372	Jirel	ANT	tʰoŋmatsi	Ant:	3	tʰ o ŋ m a t s i	1 7 4 4 7 1 3 7	AXMBYBCZ	TUNMATSI	2	2.T.C 2.U.V 2.N.c 2.M.C 2.A.V 2.T.C 2.S.C 2.I.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	0			NA	tʰ - o ŋ - m a t s - i
112	18	629	Kagate	ANT	tomak	Ant:Mid	3	t o m a k	1 7 4 7 1	AXBYN	TUMAK	3	3.T.C 3.U.V 3.M.C 3.A.V 3.K.c	2.0 1.5 1.75 1.3 0.8	0			NA	t - o - - m a k - - -
113	20	1139	Nubri	ANT	hɹomo	Ant:(Low-)Rise	3	h ɹ o m o	3 5 7 4 7	ACXBZ	HRUMU	5	5.H.C 5.R.C 5.U.V 5.M.C 5.U.V	2.0 1.5 1.5 1.75 0.8	0			NA	h ɹ o - - m o - - - -
114	21	1393	Sherpa	ANT	tʰəksəŋma	Ant:	3	tʰ ə k s ə ŋ m a	1 7 1 3 7 4 4 7	AXBCYMBZ	TEKSENMA	6	6.T.C 6.E.V 6.K.C 6.S.C 6.E.V 6.N.c 6.M.C 6.A.V	2.0 1.5 1.75 1.5 1.3 1.1 1.75 0.8	0			NA	tʰ - ə k s - ə ŋ - m a
115	22	1636	Tsum	ANT	tɹomu	Ant:Low-Rise	3	t ɹ o m u	1 5 7 4 7	ACXBZ	TRUMY	7	7.T.C 7.R.C 7.U.V 7.M.C 7.Y.V	2.0 1.5 1.5 1.75 0.8	0			NA	t ɹ o - - m u - - - -
116	23	1900	Yolmo	ANT	tomaŋ	Ant:Mid-Rise	3	t o m a ŋ	1 7 4 7 4	AXBYN	TUMAN	8	8.T.C 8.U.V 8.M.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0			NA	t - o - - m a ŋ - - -
117	19	886	Lowa	ANT	mbudaɲa	Ant:	4	m b u d a ɲ a	4 1 7 1 7 4 7	ACYBYBZ	MPYTANA	4	4.M.C 4.P.C 4.Y.V 4.T.C 4.A.V 4.N.C 4.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0			NA	m b u d a ɲ a
118	NA	26608	S_Jingpho	ANT	kă³³kjin³³	NA	100195	k ă k j i n				0			NA	OLD	k ă k j i n	100195	k ă - - k j i n -
119	NA	43013	S_Bunan	ANT	kurkuʈik	NA	100214	k u r k u ʈ i k				0			NA	OLD	k u r k u ʈ i k	100214	k u r k u ʈ i k - - - -
120	NA	43456	S_Rongpo	ANT	kirməla	NA	100214	k i r m ə l a				0			NA	OLD	k i r m ə l a	100214	k i r - - - - - m ə l a
121	NA	40503	S_Khaling	ANT	khelem	NA	100648	kh e l e m				0			NA	OLD	kh e l e m	100648	kh e - l e m
122	NA	43682	S_Kulung	ANT	khalem	NA	100648	kʰ a l e m				0			NA	OLD	kʰ a l e m	100648	kʰ a - l e m
123	NA	42452	S_Thulung	ANT	khalem	NA	100648	kh a l e m				0			NA	OLD	kh a l e m	100648	kh a - l e m
124	NA	44111	S_Lashi	ANT	la³¹jɛt³¹	NA	100879	l a j ɛ t				0			NA	OLD	l a j ɛ t	100879	l a - - j ɛ t -
125	NA	44113	S_Xiandao	ANT	chaŋ³¹m̥an⁵⁵	NA	100880	cʰ a ŋ m̥ a n				0			NA	OLD	cʰ a ŋ m̥ a n	100880	cʰ a ŋ - - m̥ a n -
126	NA	44140	S_Achang_Longchuan	ANT	tɕhi⁵⁵man⁵⁵	NA	100891	tɕʰ i m a n				0			NA	OLD	tɕʰ i m a n	100891	tɕʰ i - - m a n -
127	NA	45750	S_Bahing	ANT	gatsiŋma, gaːtsiŋma	NA	100943	g a ts i ŋ m a				0			NA	OLD	g a ts i ŋ m a	100943	g a ts i ŋ m a
128	NA	45975	S_Lushai	ANT	fanghmir	NA	101508	f a ŋ hm i r				0			NA	OLD	f a ŋ hm i r	101508	f a ŋ hm i r
129	NA	45976	S_Lushai	ANT	tlûng◦pi	NA	101509	t l û ŋ p i				0			NA	OLD	t l û ŋ p i	101509	t l û ŋ - p i
130	NA	46523	S_Beijing	ANT	ma²¹⁴₃₅ji²¹⁴	NA	101705	m a ₃₅ j i				0			NA	OLD	m a ₃₅ j i	101705	m a -₃₅ - - j - i - ( - - - - )
131	NA	46525	S_Chaozhou	ANT	hia³⁵	NA	101705	h i a				0			NA	OLD	h i a	101705	- - - - - h i a - ( - - - - )
132	NA	46524	S_Guangzhou	ANT	ŋɐi²³	NA	101705	ŋ ɐ i				0			NA	OLD	ŋ ɐ i	101705	- - - - - ŋ ɐ i - ( - - - - )
133	NA	46527	S_Jieyang	ANT	hia³⁵	NA	101705	h i a				0			NA	OLD	h i a	101705	- - - - - h i a - ( - - - - )
134	NA	40759	S_Old_Chinese	ANT	m→qʰajʔ	NA	101705	m qʰ a j ʔ				0			NA	OLD	m qʰ a j ʔ	101705	m - - - - qʰ a j ʔ ( - - - - )
135	NA	43859	S_Bantawa	ANT	cɨkɨyaŋ	NA	102549	ts ɨ k ɨ j a ŋ				0			NA	OLD	ts ɨ k ɨ j a ŋ	102549	ts ɨ k ɨ j a ŋ
136	NA	47805	S_Hayu	ANT	tsikibʊʔla	NA	102549	ts i k i b ʊ ʔ l a				0			NA	OLD	ts i k i b ʊ ʔ l a	102549	ts i k i b ʊ ʔ l a - - - - -
137	NA	41522	S_Limbu	ANT	sikcemba	NA	102549	s i k c e m p a				0			NA	OLD	s i k c e m p a	102549	s i k - - - - - - c e m p a
138	NA	34605	S_Yidu	ANT	pɑ³¹si⁵⁵	NA	102910	p ɑ s i				0			NA	OLD	p ɑ s i	102910	p ɑ - - s i -
139	NA	44109	S_Atsi	ANT	pau⁵¹voʔ⁵⁵	NA	102954	p a u v o ʔ				0			NA	OLD	p a u v o ʔ	102954	p a u - - - - - - - - - v - o ʔ - - - - -
140	NA	33338	S_Bokar	ANT	ta ruk	NA	102954	t a r u k				0			NA	OLD	t a r u k	102954	- - - - - - - - t a - - - - - - - - - - - - - - - - - - - - - - r u k - ( - - - - - - - - - - - - - )
141	NA	44110	S_Bola	ANT	phə̆³¹ɣɔʔ³¹	NA	102954	pʰ ə̆ ɣ ɔ ʔ				0			NA	OLD	pʰ ə̆ ɣ ɔ ʔ	102954	- - - - pʰ ə̆ - - - - - - - - - - - - - - - - - - - - - - - ɣ - - - ɔ ʔ - ( - - - - - - - - - - - - - )
142	NA	43233	S_Byangsi	ANT	nɔŋkrɔ̀	NA	102954	n ɔ ŋ k r ɔ̀				0			NA	OLD	n ɔ ŋ k r ɔ̀	102954	- - - - - - - - - - - - - - - - - - - - - - - - - - n ɔ ŋ k - - r ɔ̀ - - ( - - - - - - - - - - - - - )
143	NA	41807	S_Chepang	ANT	koŋ.rok	NA	102954	k o ŋ r o k				0			NA	OLD	k o ŋ r o k	102954	k o ŋ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - r o k - ( - - - - - - - - - - - - - )
144	NA	35256	S_Daofu	ANT	skhro	NA	102954	s kʰ r o				0			NA	OLD	s kʰ r o	102954	- - - - - - - - - - - - - - - - - - - - - - s - - - - - - kʰ - - r o - - ( - - - - - - - - - - - - - )
