ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
279	Jirel	Breast	n̪uma	n̪uma	!n̪/Ø !u/o + m a	breast-1 mother	352 1807	117	!n̪/Ø !u/o + m a	[i] Exception confirmed via internal comparison.
539	Kagate	Breast	oma	oma	o + m a	breast-1 mother	352 1807	117	- o + m a	[x]
540	Kagate	Breast	praŋɡok	praŋɡok	p.r a.ŋ + g o.k	breast/praŋ breast-2/go	357 358	119	p.r a.ŋ + g o.k	[x]
792	Lowa	Breast	oma	oma	o + m a	breast-1 mother	352 1807	117	- o + m a	[x]
1051	Nubri	Breast	tɕju	tɕju	tɕ.j u	breast	355	122	tɕ.j u	[x]
1302	Sherpa	Breast	oma	oma	o + m a	breast-1 mother	352 1807	117	- o + m a	[x]
1547	Tsum	Breast	paʔ	paʔ	p a.ʔ	breast	356	123	p a.ʔ	[x]
1810	Yolmo	Breast	praŋɡo	praŋɡo	p.r a.ŋ + g o	breast/praŋ breast-2/go	357 358	119	p.r a.ŋ + g o	[x]
1811	Yolmo	Breast	woma	woma	w o + m a	breast-1 mother	352 1807	117	w o + m a	[x]
14	Gyalsumdo	Belly	toba	toba	t o + b a	belly/to _:pa-suffix/pa	183 10	11	t o + b a	[x]
280	Jirel	Belly	suba	suba	s u + b a	belly/su _:pa-suffix/pa	185 10	9	s u + b a	[x]
541	Kagate	Belly	topa	topa	t o + p a	belly/to _:pa-suffix/pa	183 10	11	t o + p a	[x]
793	Lowa	Belly	pʰowa	pʰowa	pʰ o + w a	belly/pho _:wa-suffix	184 187	63	pʰ o + w a	[x]
1052	Nubri	Belly	topa	topa	t o + p a	belly/to _:pa-suffix/pa	183 10	11	t o + p a	[x]
1303	Sherpa	Belly	tʰopa	tʰopa	tʰ o + p a	belly/to _:pa-suffix/pa	183 10	11	tʰ o + p a	[x]
1548	Tsum	Belly	pʰowa	pʰowa	pʰ o + w a	belly/pho _:wa-suffix/wa	184 187	63	pʰ o + w a	[x]
1812	Yolmo	Belly	pʰo	pʰo	pʰ o	belly/pho	184	63	pʰ o	[x]
100362	S_Old_Tibetan	Belly	pʰo.ba	pʰo.ba	pʰ o b a			11	pʰ o b a - - -	From Sagart et al.
100392	S_Old_Chinese	Belly	puk	puk	p u k			110241	- - - - - - - - p u k - -	From Sagart et al.
16	Gyalsumdo	Elbow	temaɲuŋ	temaɲuŋ	t e + m a + ɲ u.ŋ	elbow/ta _:ma-suffix/ma elbow/nuŋ	774 1442 776	238	t e + m a - + ɲ u.ŋ	[?]
282	Jirel	Elbow	kuin̪a	kuin̪a	k ui + n̪ a	elbow/kui elbow/na	777 778	243	k ui + n̪ a	[?]
543	Kagate	Elbow	uti	uti	u + t i	/u elbow/ti	779 39	237	u + t i -	[?]
795	Lowa	Elbow	tamo	tamo	t a + m o	elbow/ta _:mu-suffix/mo	40 775	13	t a - + m o	[?]
1054	Nubri	Elbow	tsʰikt̪oʔ	tsʰikt̪oʔ	tsʰ i.k + t̪ o.ʔ	ELBOW _elbow	41 781	14	tsʰ i.k + t̪ o.ʔ	[?]
1305	Sherpa	Elbow	laɡpatsʰi	laɡpatsʰi	l a.g + p a + tsʰ i	arm/hand _:pa-suffix/pa elbow/tshi	52 10 780	237	l a.g + p a + tsʰ i	[?]
1550	Tsum	Elbow	tɹejoʔ	tɹejoʔ	t.ɹ e + j o.ʔ	ELBOW _elbow	774 784	15	t.ɹ e + j o.ʔ	[?]
1814	Yolmo	Elbow	laɡpatsi	laɡpatsi	l a.g + p a + ts i	arm/hand _:pa-suffix/pa elbow/tshi	52 10 780	237	l a.g + p a + ts i	[?]
17	Gyalsumdo	Palm	laɡpat̪ʰil	laɡpat̪ʰil	l a.g + p a + t̪ʰ i.l	_arm/hand _:pa-suffix/pa palm/thil	52 10 2074	607	l a.g + p a + t̪ʰ i.l	[x]
18	Gyalsumdo	Palm	laɡt̪ʰel	laɡt̪ʰel	l a.g + t̪ʰ e.l	_arm/hand palm/thil	52 2074	607	l a.g + t̪ʰ e.l	[x]
283	Jirel	Palm	pəɹa	pəɹa	p ə + ɹ a	palm/pa palm/ra	2073 2075	608	p ə + ɹ a	[x]
544	Kagate	Palm	t̪ʰaldze	t̪ʰaldze	t̪ʰ a.l + dz e	palm/thal palm/dze	2074 2076	609	t̪ʰ a.l + dz e	[x]
796	Lowa	Palm	laɡt̪ʰil	laɡt̪ʰil	l a.g + t̪ʰ i.l	_arm/hand palm/thil	52 2074	607	l a.g + t̪ʰ i.l	[x]
797	Lowa	Palm	laɡt̪ʰi	laɡt̪ʰi	l a.g + t̪ʰ i	_arm/hand palm/thil	52 2074	607	l a.g + t̪ʰ i	[x]
1055	Nubri	Palm	lakpa t̪ʰil	lakpa t̪ʰil	l a.k + p a + t̪ʰ i.l	_arm/hand _:pa-suffix/pa palm/thil	52 10 2074	607	l a.k + p a + t̪ʰ i.l	[x]
1306	Sherpa	Palm	laɡpa	laɡpa	l a.g + p a	arm/hand _:pa-suffix/pa	52 10	18	l a.g + p a	[x] As a clear colexification, this word shows a unique development.
1551	Tsum	Palm	paɾa	paɾa	p a + ɾ a	palm/pa palm/ra	2073 2075	608	p a + ɾ a	[x]
1815	Yolmo	Palm	laɡpan̪aŋ	laɡpan̪aŋ	l a.g + p a + n̪ a.ŋ	_arm/hand _:pa-suffix/pa palm/nang	52 10 2077	19	l a.g + p a + n̪ a.ŋ	[x]
19	Gyalsumdo	Finger	tsuɡu	tsuɡu	ts u + g u	finger/dzu _finger/gu	951 952	292	ts u + g u	[x]
284	Jirel	Finger	ndziu	ndziu	ⁿdz iu	finger/dzu	951	292	ⁿdz iu	[x]
545	Kagate	Finger	t̪ʰebu	t̪ʰebu	t̪ʰ e + b u	finger/thep _finger/bu	953 954	294	t̪ʰ e + b u	[x]
798	Lowa	Finger	ndzu	ndzu	ⁿdz u	finger/dzu	951	292	ⁿdz u	[x]
1056	Nubri	Finger	tsuku	tsuku	ts u + k u	finger/dzu _finger/gu	951 952	292	ts u + k u	[x]
1307	Sherpa	Finger	t̪ʰept̪ok	t̪ʰept̪ok	t̪ʰ e.p + t̪ o.k	finger/thep _finger/tok	953 955	294	t̪ʰ e.p + t̪ o.k	[x]
1552	Tsum	Finger	ziu	ziu	z iu	finger/dzu	951	292	z iu	[x]
1816	Yolmo	Finger	ndzuɡu	ndzuɡu	ⁿdz u + g u	finger/dzu _finger/gu	951 952	292	ⁿdz u + g u	[x]
21	Gyalsumdo	Leg	kaŋpa	kaŋpa	k a.ŋ + p a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + p a	[x]
286	Jirel	Leg	tʰekpa	tʰekpa	tʰ e.k + p a	leg/thek _:pa-suffix/pa	1514 10	20	tʰ e.k + p a	[x]
547	Kagate	Leg	kaŋba	kaŋba	k a.ŋ + b a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + b a	[x]
800	Lowa	Leg	kaŋpa	kaŋpa	k a.ŋ + p a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + p a	[x]
1058	Nubri	Leg	kaŋpa	kaŋpa	k a.ŋ + p a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + p a	[x]
1309	Sherpa	Leg	kaŋba	kaŋba	k a.ŋ + b a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + b a	[x]
1554	Tsum	Leg	kaŋba	kaŋba	k a.ŋ + b a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + b a	[x]
1818	Yolmo	Leg	kaŋba	kaŋba	k a.ŋ + b a	leg/kaŋ _:pa-suffix/pa	1512 10	442	k a.ŋ + b a	[x]
103896	S_Old_Tibetan	Leg	rkaŋ	rkaŋ				100000		From Sagart et al.
22	Gyalsumdo	Skin	paɡpa	paɡpa	p a.g + p a	skin/pag _:pa-suffix/pa	2446 10	725	p a.g + p a	[x]
23	Gyalsumdo	Skin	poɡo	poɡo	p o + g o	skin/pag /go	2447 42	725	p o + g o -	[x]
287	Jirel	Skin	kokt̪en	kokt̪en	k o.k + t̪ e.n	skin/kwa _/ten	2448 2449	726	k o.k + t̪ e.n	[x]
548	Kagate	Skin	koba	koba	k o + b a	skin/kwa _:pa-suffix/ba	2448 10	726	k o - + b a	[x]
801	Lowa	Skin	pawo	pawo	p a + w o	skin/pag _skin	14 2450	725	p a + w o	[x]
1059	Nubri	Skin	pau	pau	p au	skin/pag	2447	725	p au	[x]
1310	Sherpa	Skin	kwa	kwa	kʷ a	skin/kwa	2448	726	kʷ a -	[x]
1555	Tsum	Skin	koa	koa	k oa	skin/kwa	2448	726	k oa -	[x]
1819	Yolmo	Skin	pawa	pawa	p a + w a	skin/pag _skin	2447 2450	725	p a + w a	[x]
106174	S_Old_Chinese	Skin	pra	pra	p r a			725	p r a - - - - -	From Sagart et al.
106175	S_Old_Tibetan	Skin	lpags	lpags	l p a g s			102885	l p a g s - - -	From Sagart et al.
106185	S_Old_Chinese	Skin	m→paj	m→paj	m p a j			103147	) m - p a j	From Sagart et al.
28	Gyalsumdo	Faeces	kjaɡpa	kjaɡpa	k.j a.g + p a	shit _:pa-suffix/pa	852 10	261	k.j a.g + p a	[x]
292	Jirel	Faeces	kjakpa	kjakpa	k.j a.k + p a	shit _:pa-suffix/pa	852 10	261	k.j a.k + p a	[x]
553	Kagate	Faeces	kjakpa	kjakpa	k.j a.k + p a	shit _:pa-suffix/pa	852 10	261	k.j a.k + p a	[x]
806	Lowa	Faeces	kjakpa	kjakpa	k.j a.k + p a	shit _:pa-suffix/pa	852 10	261	k.j a.k + p a	[x]
807	Lowa	Faeces	tsa	tsa	ts a	shit/tsa	855	264	ts a	[x]
1064	Nubri	Faeces	aʔ	aʔ	a.ʔ	shit/a	854	263	a.ʔ	[x]
1315	Sherpa	Faeces	kjakpa	kjakpa	k.j a.k + p a	shit _:pa-suffix/pa	852 10	261	k.j a.k + p a	[x]
1560	Tsum	Faeces	aʔ	aʔ	a.ʔ	shit/a	854	263	a.ʔ	[x]
1824	Yolmo	Faeces	kjakpa	kjakpa	k.j a.k + p a	shit _:pa-suffix/pa	852 10	261	k.j a.k + p a	[x]
29	Gyalsumdo	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
293	Jirel	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
554	Kagate	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
808	Lowa	Village	toŋsep	toŋsep	t o.ŋ + s e.p	*village/toŋ *village/sep	3467 3468	1056	t o.ŋ + s e.p	[?] ← Chinese (?)
1065	Nubri	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
1316	Sherpa	Village	iul	iul	i/j u.l	village	3466	1055	i/j u.l	[x]
1317	Sherpa	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
1561	Tsum	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
1825	Yolmo	Village	jul	jul	j u.l	village	3466	1055	j u.l	[x]
30	Gyalsumdo	House	kʰaŋpa	kʰaŋpa	kʰ a.ŋ + p a	house _:pa-suffix/pa	1383 10	402	kʰ a.ŋ + p a	[ ] check ba status
294	Jirel	House	kʰamba	kʰamba	kʰ a.!m/ŋ + b a	house _:pa-suffix/pa	1383 10	402	kʰ a.!m/ŋ + b a	[ ] check ba status
555	Kagate	House	kʰim	kʰim	kʰ i.m	house/khim	31	404	kʰ i.m	[x]
809	Lowa	House	kʰaŋpa	kʰaŋpa	kʰ a.ŋ + p a	house _:pa-suffix/pa	1383 10	402	kʰ a.ŋ + p a	[ ] check ba status
1066	Nubri	House	kʰim	kʰim	kʰ i.m	house/khim	31	404	kʰ i.m	[x]
1318	Sherpa	House	kʰaŋba	kʰaŋba	kʰ a.ŋ + b a	house _:pa-suffix/pa	1383 10	402	kʰ a.ŋ + b a	[ ] check ba status
1562	Tsum	House	koɹtsa	koɹtsa	k o.ɹ + ts a	house/kor house/tsa	1384 1385	405	k o.ɹ + ts a	[x]
1563	Tsum	House	kʰim	kʰim	kʰ i.m	house/khim	31	404	kʰ i.m	[x]
1826	Yolmo	House	kʰaŋba	kʰaŋba	kʰ a.ŋ + b a	house _:pa-suffix/pa	1383 10	402	kʰ a.ŋ + b a	[ ] check ba status
103415	S_Old_Tibetan	House	kʰʲim	kʰʲim	kʰ j i m			404	kʰ j i m - - -	From Sagart et al.
103442	S_Old_Chinese	House	qˤok	qˤok	qˤ o k			405	qˤ o k - ( - - - )	From Sagart et al.
35	Gyalsumdo	Broom	tɕʰama	tɕʰama	tɕʰ a + m a	broom/tshag _:ma-suffix/ma	391 1442	21	tɕʰ - a + m a -	[x]
298	Jirel	Broom	komuk	komuk	k o + m u.k	broom/koŋ _/muk	393 394	132	k o + m u.k	[x]
559	Kagate	Broom	pʰema	pʰema	pʰ e + m a	broom/phe _/ma	395 392	133	pʰ e + - m a	[x]
813	Lowa	Broom	tɕʰjaɡma	tɕʰjaɡma	tɕʰ.j a.g + m a	broom/tshag _:ma-suffix/ma	391 1442	21	tɕʰ.j a.g + m a -	[x]
1070	Nubri	Broom	koŋmo	koŋmo	k o.ŋ + m o	broom _/mo	393 43	132	k o.ŋ + m o	[x]
1322	Sherpa	Broom	komi	komi	k o + m i	broom/koŋ _/mi	393 392	132	k o - + - m i	[x]
1567	Tsum	Broom	koŋmo	koŋmo	k o.ŋ + m o	broom/koŋ _/mo	393 43	132	k o.ŋ + m o	[x]
1829	Yolmo	Broom	pʰjama	pʰjama	pʰ.j a + m a	broom/phe _/ma	396 392	133	pʰ.j a + m a	[x]
36	Gyalsumdo	Mortar	t̪ʰasa	t̪ʰasa	t̪ʰ a + s a	MORTAR _mortar	1763 1764	514	t̪ʰ a + s a	[ ]
37	Gyalsumdo	Mortar	 koɡtsʰum	koɡtsʰum	k o.g + tsʰ u.m	MORTAR _mortar	1768 1766	513	k o.g + tsʰ u.m	[ ]
299	Jirel	Mortar	siləuta	siləuta	s i + l əu + t a	_mortar _mortar head	1764 1765 1217	514	s i + l əu - + t a	[ ]
560	Kagate	Mortar	t̪olep	t̪olep	t̪ o + l e.p	MORTAR _mortar	1763 1765	514	t̪ o + l e.p	[ ]
814	Lowa	Mortar	t̪ympo	t̪ympo	t̪ y.m + p o	MORTAR _mortar	1766 1767	515	t̪ y.m + p o	[ ]
1071	Nubri	Mortar	koɡtsʰum	koɡtsʰum	k o.g + tsʰ u.m	MORTAR _mortar	1768 1766	513	k o.g + tsʰ u.m	[ ]
1323	Sherpa	Mortar	ɡokjo	ɡokjo	g o + k.j o	MORTAR _mortar	1768 1769	513	g o + k.j o	[ ]
1568	Tsum	Mortar	kombot	kombot	k o.m + b o.t	MORTAR _mortar	1768 1770	513	k o.m + b o.t	[ ]
1830	Yolmo	Mortar	tsʰib	tsʰib	tsʰ i.b	MORTAR	1771	521	tsʰ i.b	[ ]
1831	Yolmo	Mortar	 kuɡuɹ	kuɡuɹ	k u + g u.ɹ	MORTAR _mortar	1768 1772	513	k u + g u.ɹ	[ ]
38	Gyalsumdo	Pestle	koɡt̪o	koɡt̪o	k o.g + t̪ o	pestle/kog pestle/to	2106 46	23	k o.g + t̪ o	[?]
300	Jirel	Pestle	nd̪aɹd̪ok	nd̪aɹd̪ok	ⁿd a.ɹ + d̪ o.k	pestle/ndar pestle/dok	2108 45	25	ⁿd a.ɹ + d̪ o.k	[?]
561	Kagate	Pestle	t̪imbu	t̪imbu	t̪ i.m + b u	pestle/tim _:suffix/bu	2109 2110	617	t̪ i.m + b u	[?]
815	Lowa	Pestle	jyt̪yn	jyt̪yn	j y + t̪ y.n	pestle/ju pestle/tyn	2111 2112	620	j y + t̪ y.n	[?]
1072	Nubri	Pestle	t̪iktsa	t̪iktsa	t̪ i.k + ts a	pestle/tik _:suffix/tsa	2107 44	27	t̪ i.k + ts a	[?]
1324	Sherpa	Pestle	tsʰart̪um	tsʰart̪um	tsʰ a.r + t̪ u.m	pestle/tshar pestle/tum	2108 2109	616	tsʰ a.r + t̪ u.m	[?]
1569	Tsum	Pestle	tɕʰiu	tɕʰiu	tɕʰ iu	pestle	2113	622	tɕʰ iu	[?]
1832	Yolmo	Pestle	t̪imbu	t̪imbu	t̪ i.m + b u	pestle/tim _:suffix/bu	2109 2110	617	t̪ i.m + b u	[?]
39	Gyalsumdo	Hammer	t̪ʰowa	t̪ʰowa	t̪ʰ o + w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ o + - w a	[x]
301	Jirel	Hammer	toktoke	toktoke	t o.k + t o + k e	hammer/tok /to /ke	48 1228 1231	22	t o.k + t o + k e	[x]
562	Kagate	Hammer	t̪ʰwa	t̪ʰwa	t̪ʰ !Ø/o + w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ !Ø/o + w a	[x]
816	Lowa	Hammer	t̪ʰowa	t̪ʰowa	t̪ʰ o + w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ o + - w a	[x]
1073	Nubri	Hammer	t̪ʰɔ	t̪ʰɔ	t̪ʰ ɔ	hammer	1228	357	t̪ʰ ɔ	[x]
1325	Sherpa	Hammer	t̪ʰoa	t̪ʰoa	t̪ʰ o + !Ø/w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ o + !Ø/w a	[x]
1570	Tsum	Hammer	t̪ʰoa	t̪ʰoa	t̪ʰ o + !Ø/w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ o + !Ø/w a	[x]
1833	Yolmo	Hammer	t̪ʰoa	t̪ʰoa	t̪ʰ o + !Ø/w a	hammer _:wa-suffix	1228 1229	357	t̪ʰ o + !Ø/w a	[x]
40	Gyalsumdo	Knife	kaɾt̪a	kaɾt̪a	k a.ɾ + t̪ a	knife/kar _:suffix/ta	1458 49	422	k a.ɾ + t̪ a	[x]
302	Jirel	Knife	tɕʰuɹa	tɕʰuɹa	tɕʰ u + ɹ a	knife/thriu _/ra	51 1461	31	tɕʰ u + ɹ a	[x]
303	Jirel	Knife	tsəku	tsəku	ts ə + k u	knife/tse _/ku	1463 1460	424	ts ə + k u	[x]
563	Kagate	Knife	kart̪a	kart̪a	k a.r + t̪ a	knife/kar _:suffix/ta	1458 49	422	k a.r + t̪ a	[x]
817	Lowa	Knife	tʰi	tʰi	tʰ i	knife/thi	1459	28	tʰ - i	[x]
1074	Nubri	Knife	tuku	tuku	t u + k u	knife/tu _/ku	50 1460	29	t - u + k u	[x]
1326	Sherpa	Knife	tʰitɕjuŋ	tʰitɕjuŋ	tʰ i + tɕ.j u.ŋ	knife/thi /tsjung	1459 1462	28	tʰ i + tɕ.j u.ŋ	[x]
1571	Tsum	Knife	tʰɹiu	tʰɹiu	tʰ.ɹ iu	knife/thriu	51	31	tʰ.ɹ iu	[x]
1834	Yolmo	Knife	kaɹt̪a	kaɹt̪a	k a.ɹ + t̪ a	knife/kar _:suffix/ta	1458 49	422	k a.ɹ + t̪ a	[x]
103734	S_Old_Tibetan	Knife	gri	gri	g r i			422	- - - - - g - r i	From Sagart et al.
103749	S_Old_Chinese	Knife	Ctˤaw	Ctˤaw	C/ tˤ a w			105130		From Sagart et al.
43	Gyalsumdo	Thread	kupa	kupa	k u + p a	thread _:ba-suffix/pa	2783 10	823	k u - + p a	[x]
306	Jirel	Thread	ɕut̪ak	ɕut̪ak	ɕ u + t̪ a.k	thread /tak	2787 2786	825	ɕ u + t̪ a.k	[x]
566	Kagate	Thread	kupa	kupa	k u + p a	thread _:ba-suffix/pa	2783 10	823	k u - + p a	[x]
820	Lowa	Thread	kupa	kupa	k u + p a	thread _:ba-suffix/pa	2783 10	823	k u - + p a	[x]
1077	Nubri	Thread	kupa	kupa	k u + p a	thread _:ba-suffix/pa	2783 10	823	k u - + p a	[x]
1329	Sherpa	Thread	rut̪ak	rut̪ak	r u + t̪ a.k	thread/ru /tak	2787 2786	825	r u + t̪ a.k	[x]
1574	Tsum	Thread	kuɾt̪oʔ	kuɾt̪oʔ	k u.ɾ + t̪ o.ʔ	thread _/to?	2783 54	823	k u.ɾ + t̪ o.ʔ	[x]
1837	Yolmo	Thread	kupa	kupa	k u + p a	thread _:ba-suffix/pa	2783 10	823	k u - + p a	[x]
45	Gyalsumdo	Cloth	køla	køla	k ø + l a	cloth _:suffix/lak	519 520	172	k ø - + l a -	[x]
308	Jirel	Cloth	kʰolak	kʰolak	kʰ o + l a.k	cloth _:suffix/lak	519 520	172	kʰ o + l a.k	[x]
568	Kagate	Cloth	kela	kela	k e + l a	cloth _:suffix/lak	519 520	172	k e - + l a -	[x]
822	Lowa	Cloth	kolaʔ	kolaʔ	k o + l a.ʔ	cloth _:suffix/lak	519 520	172	k o + l a.ʔ	[x]
1079	Nubri	Cloth	kalaʔ	kalaʔ	k a + l a.ʔ	cloth _:suffix/lak	519 520	172	k a + l a.ʔ	[x]
1331	Sherpa	Cloth	madzja	madzja	m a + dz.j a	*ma *dza	521 522	174	m a + dz.j a	[?] borroring from Chinese?
1576	Tsum	Cloth	kølaʔ	kølaʔ	k ø + l a.ʔ	cloth _:suffix/lak	519 520	172	k ø + l a.ʔ	[x]
1839	Yolmo	Cloth	kəptɕja	kəptɕja	k ə.p + tɕ.j a	cloth _/tcja	519 522	172	k ə.p + tɕ.j a	[x]
46	Gyalsumdo	Ring	soɹt̪ob	soɹt̪ob	s o.ɹ + t̪ o.b	ring/se ring/top	2253 2254	670	s o.ɹ + t̪ o.b	[x]
309	Jirel	Ring	əũtʰi	əũtʰi	ə.ũ + tʰ i	ring/@u ring/thi	2255 2256	672	ə.ũ + tʰ i	[x]
569	Kagate	Ring	sipt̪ur	sipt̪ur	s i.p + t̪ u.r	ring/se ring/top	2253 2254	670	s i.p + t̪ u.r	[x]
823	Lowa	Ring	set̪op	set̪op	s e + t̪ o.p	ring/se ring/top	2253 2254	670	s e + t̪ o.p	[x]
1080	Nubri	Ring	soɹt̪ob	soɹt̪ob	s o.ɹ + t̪ o.b	ring/se ring/top	2253 2254	670	s o.ɹ + t̪ o.b	[x]
1332	Sherpa	Ring	sert̪ub	sert̪ub	s e.r + t̪ u.b	ring/se ring/top	2253 2254	670	s e.r + t̪ u.b	[x]
1577	Tsum	Ring	sot̪ob	sot̪ob	s o + t̪ o.b	ring/se ring/top	2253 2254	670	s o + t̪ o.b	[x]
1840	Yolmo	Ring	sit̪ub	sit̪ub	s i + t̪ u.b	ring/se ring/top	2253 2254	670	s i + t̪ u.b	[x]
47	Gyalsumdo	Sun	ɲima	ɲima	ɲ i + m a	sun _:ma-suffix/ma	2613 11	773	ɲ i - + m a	[x]
310	Jirel	Sun	ɲima	ɲima	ɲ i + m a	sun _ma-suffix/ma	2613 11	773	ɲ i - + m a	[x]
570	Kagate	Sun	ŋima	ŋima	ŋ i + m a	sun _:ma-suffix/ma	2613 11	773	ŋ i - + m a	[x]
824	Lowa	Sun	ɲima	ɲima	ɲ i + m a	sun _:ma-suffix/ma	2613 11	773	ɲ i - + m a	[x]
1081	Nubri	Sun	ɲo	ɲo	ɲ o	sun	76	82	ɲ o -	[x]
1333	Sherpa	Sun	ɲima	ɲima	ɲ i + m a	sun _ma-suffix/ma	2613 11	773	ɲ i - + m a	[x]
1578	Tsum	Sun	ɲiã	ɲiã	ɲ i + !Ø/m ã/a	sun _:ma-suffix/ma	2613 11	773	ɲ i + !Ø/m ã/a	[x]
1841	Yolmo	Sun	ɲima	ɲima	ɲ i + m a	sun _ma-suffix/ma	2613 11	773	ɲ i - + m a	[x]
106735	S_Old_Chinese	Sun	Cnik	Cnik	C/ n i k			100083	- - - C/ - n i - - - - k - - -	From Sagart et al.
106736	S_Old_Tibetan	Sun	ɲi.ma	ɲi.ma	ɲ i m a			773	- - - - - ɲ i - m a - - - - -	From Sagart et al.
48	Gyalsumdo	Moon	t̪akaɹ	t̪akaɹ	t̪ a + k a.ɹ	moon/da moon/kar	15 1730	501	t̪ a + k a.ɹ	[x]
49	Gyalsumdo	Moon	t̪awa	t̪awa	t̪ a + w a	moon/da _:wa-suffix/wa	15 1716	35	t̪ a + w a	[x]
311	Jirel	Moon	nd̪aɡaɹ	nd̪aɡaɹ	ⁿd a + g a.ɹ	moon/da moon/kar	15 1730	501	ⁿd a + g a.ɹ	[x]
571	Kagate	Moon	d̪aɡarmu	d̪aɡarmu	d̪ a + g a.r + m u	moon/da moon/kar _:suffix/mu	15 1730 1581	501	d̪ a + g a.r + m u	[x]
825	Lowa	Moon	nd̪a	nd̪a	ⁿd a	moon/da	15	34	ⁿd a	[x]
1082	Nubri	Moon	t̪a	t̪a	t̪ a	moon/da	15	34	t̪ a	[x]
1334	Sherpa	Moon	əud̪əkar	əud̪əkar	əu + d̪ ə + k a.r	_/əu moon/da moon/kar	1732 15 1730	501	əu + d̪ ə + k a.r	[x]
1579	Tsum	Moon	nd̪akar	nd̪akar	ⁿd a + k a.r	moon/da moon/kar	15 1730	501	ⁿd a + k a.r	[x]
1842	Yolmo	Moon	nd̪awa	nd̪awa	ⁿd a + w a	moon/da _:wa-suffix/wa	15 1716	35	ⁿd a + w a	[x]
104320	S_Old_Chinese	Moon	ŋʷat	ŋʷat	ŋʷ a t			101790	ŋʷ a t - - - - -	From Sagart et al.
104356	S_Old_Tibetan	Moon	sla	sla	s l a			102081	- - - s - l a - - - -	From Sagart et al.
51	Gyalsumdo	Star	kaɹma	kaɹma	k a.ɹ + m a	star/white _:ma-suffix/ma	2565 11	759	k a.ɹ + m a	[x]
313	Jirel	Star	kaɹma	kaɹma	k a.ɹ + m a	star/white _ma-suffix/ma	2565 11	759	k a.ɹ + m a	[x]
