ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
100	Yolmo	CALL	1084	kée kyàp			to call	1084	CALL	1
101	Yolmo	LAUGH	1355	kéemu kyàp			to laugh	1355	LAUGH	1
102	Yolmo	DIG	1418	kó			to dig	1418	DIG	1
104	Yolmo	DOOR	1567	kò			door	1567	DOOR	2
105	Yolmo	GARLIC	2368	kòkpa			garlic	2368	GARLIC	2
106	Yolmo			kòga			kitchen; a fireplace	185	FIREPLACE	3
107	Yolmo	CROUCH	296	kòŋ			to crouch	296	CROUCH	1
108	Yolmo			kòtaraŋ			including		???	
109	Yolmo	WEAR	976	kòn			to wear	976	WEAR	1
110	Yolmo	SHOE	1381	kòpʃa			shoes	1381	SHOE	2
111	Yolmo	TEMPLE	911	kòmba			temple	911	TEMPLE	2
112	Yolmo	MOUTH	674	khá			mouth	674	MOUTH	2
113	Yolmo	THIRSTY	847	kómsin			thirsty	847	THIRSTY	2
114	Yolmo	BASKET	1539	kòrko			basket	1539	BASKET	2
115	Yolmo			kór			to walk around		???	
116	Yolmo	ROUND	1395	kòrmo			round	1395	ROUND	2
117	Yolmo	LOCK	1596	kòldʒa			lock	1596	LOCK	2
118	Yolmo			kòlo tséema			 leafy green vegetable		???	
119	Yolmo			kòlmo			a lake	624	LAKE	3
120	Yolmo	CHIN	1510	kóoma			chin	1510	CHIN	2
121	Yolmo	PORCUPINE	2510	kóhar			porcupine	2510	PORCUPINE	2
122	Yolmo	CAULIFLOWER	2843	kaulikopi			cauliflower	2843	CAULIFLOWER	2
123	Yolmo	CLOTH	1616	krému			scarf	1616	CLOTH	2
124	Yolmo	BED	1663	kháʈ			bed	1663	BED	2
125	Yolmo	NEEDLE (FOR SEWING)	1382	kháp			needle	1382	NEEDLE (FOR SEWING)	2
126	Yolmo	DAY BEFORE YESTERDAY	1180	khárnup			the day before yesterday	1180	DAY BEFORE YESTERDAY	1
127	Yolmo	TWENTY	1710	kháldʒi			twenty	1710	TWENTY	2
128	Yolmo			kháldʒi tʃíi			 twentyone	1734	TWENTY ONE	4
129	Yolmo			kháldʒi súm			 twenty three		???	
130	Yolmo	HEALTHY	1364	kháldʒo			health	1364	HEALTHY	2
131	Yolmo	POCKET	1851	khálɖi			pocket	1851	POCKET	2
132	Yolmo	DOG	2009	khí			dog	2009	DOG	2
133	Yolmo	PIN	64	khíp			pin	64	PIN	2
134	Yolmo	CATERPILLAR	2247	khíba			caterpillar	2247	CATERPILLAR	2
135	Yolmo	HOUSE	1252	khím			house	1252	HOUSE	2
136	Yolmo	KIDNEY	489	khálma			kidney	489	KIDNEY	2
137	Yolmo	EIGHTY	1722	khálʃi			eighty	1722	EIGHTY	2
138	Yolmo	SIXTY	1718	khálsum			sixty	1718	SIXTY	2
139	Yolmo	CAN	1051	khú			can	972	BE ABLE	2
140	Yolmo	HOOF	152	khúr			hoof	152	HOOF	2
141	Yolmo			khúr			to carry something		???	
142	Yolmo	BREAD	1368	khúra			bread	1368	BREAD	2
143	Yolmo	BITTER	887	khéndi			bitter	887	BITTER	2
144	Yolmo			khéndi kòrilo			zucchini		???	
145	Yolmo			khér			to take away, take with		???	
146	Yolmo	DARK	706	gàɖa			dark	706	DARK	2
147	Yolmo			gàndzi			singlet		???	
148	Yolmo			gàram mèna			garam masala		???	
149	Yolmo	FIVE	493	ŋá			five	493	FIVE	2
151	Yolmo	ROOM	1450	khópi			room	1450	ROOM	2
152	Yolmo	TATTOO	68	khóp tíba			tattoo	68	TATTOO	2
153	Yolmo	VISIT	1377	khór			to visit	1377	VISIT	1
154	Yolmo			khólmo			a small well		???	
155	Yolmo			gèd pále			gate  keeper		???	
156	Yolmo	RHINOCEROS	2591	gèda			rhinoceros	2591	RHINOCEROS	2
157	Yolmo	HEAD	1256	gòo			head	1256	HEAD	2
158	Yolmo	GLASS	604	glàs			glass	604	GLASS	2
160	Yolmo	ROAST (SOMETHING)	1962	ŋó			to roast	1962	ROAST (SOMETHING)	1
161	Yolmo	FAECES (EXCREMENT)	675	kyákpa			feces	675	FAECES (EXCREMENT)	2
162	Yolmo	SHIT (DEFECATE)	676	á 			to defecate	676	SHIT (DEFECATE)	1
163	Yolmo	MILLET	931	kyàgar			millet	931	MILLET	2
164	Yolmo	FLOAT	1574	kyá			to float	1574	FLOAT	1
166	Yolmo	CLOSED	589	kyàp			closed	589	CLOSED	2
167	Yolmo	FALL	1280	kyàp			to fall	1280	FALL	1
168	Yolmo	BEHIND	1686	kyàpla			behind	1686	BEHIND	2
169	Yolmo			ŋába			fifth		???	
170	Yolmo	SWEET	717	ŋàrmu			sweet	717	SWEET	2
171	Yolmo	CRY	1839	ŋù			to cry	1839	CRY	1
172	Yolmo	SILVER	759	ŋùl			silver	759	SILVER	2
173	Yolmo	FOREIGN	109	kyàmi			foreign	109	FOREIGN	2
175	Yolmo			kyáa			to feel cold		???	
177	Yolmo	VOMIT	1278	kyú			to vomit	1278	VOMIT	1
178	Yolmo	LEAVE	1752	kyú			to leave	1752	LEAVE	1
180	Yolmo			kyùma			a member of the Brahmin caste		???	
181	Yolmo	THROW	1456	kyúr			to throw, to  drop deliberately	1456	THROW	3
182	Yolmo	EIGHT	1705	kyè			eight	1705	EIGHT	2
183	Yolmo	GIVE BIRTH	1195	kyé			to give birth	1195	GIVE BIRTH	1
184	Yolmo			khyá			second person  plural		???	
185	Yolmo	CHEAP	1887	khyému			cheap	1887	CHEAP	2
186	Yolmo	WAIST	1681	kyépa			waist	1681	WAIST	2
188	Yolmo	CARRY	700	kyòŋ			to carry	700	CARRY	1
189	Yolmo	HUSBAND	1200	khyóbo			husband	1200	HUSBAND	2
190	Yolmo	MAN	1554	khyópiʒa			man	1554	MAN	2
193	Yolmo	TEA	1373	tʃà			tea	1373	TEA	2
194	Yolmo			gyèl			to fall over	2894	TUMBLE (FALL DOWN)	4
195	Yolmo			tʃáŋ			to suffice		???	
196	Yolmo			tʃháŋ			a flock of birds		???	
197	Yolmo			tʃáŋgi			iron tripod put into fire for cooking pots		???	
198	Yolmo	CLEVER	1310	tʃáŋbu			clever	1310	CLEVER	2
199	Yolmo			tʃápal			sandals		???	
200	Yolmo	SWIM	1439	tʃál kyàp			swim	1439	SWIM	2
201	Yolmo	PAY	718	tʃál			pay	718	PAY	2
203	Yolmo	WHAT	1236	tʃí			what	1236	WHAT	2
204	Yolmo			tʃíŋ			to wear a belt		???	
205	Yolmo	TWELVE	1707	tʃíɲi			twelve	1707	TWELVE	2
206	Yolmo			tʃíɲiba			twelfth		???	
207	Yolmo	BECAUSE	1157	tʃípe làpna			because	1157	BECAUSE	2
208	Yolmo	LIVER	1224	tʃímba			liver	1224	LIVER	2
209	Yolmo	ONE	1493	tʃíi			one	1493	ONE	2
211	Yolmo	ELEVEN	1706	tʃúdʒi			eleven	1706	ELEVEN	2
212	Yolmo			tʃúdʒiba			eleventh		???	
213	Yolmo	SEVENTEEN	2453	tʃúptin			seventeen	2453	SEVENTEEN	2
214	Yolmo			tʃúp			to imprison		???	
215	Yolmo	FOURTEEN	2451	tʃúpʃi			fourteen	2451	FOURTEEN	2
216	Yolmo	THIRTEEN	1708	tʃúpsum			thirteen	1708	THIRTEEN	2
217	Yolmo			tʃúba			tenth		???	
218	Yolmo	NINETEEN	1714	tʃúrku			nineteen	1714	NINETEEN	2
219	Yolmo	FIFTEEN	1709	tʃéŋa			fifteen	1709	FIFTEEN	2
220	Yolmo			tʃétʃe			mother's younger  sister		???	
221	Yolmo			tʃétʃe tʃómbo			 mother's elder sister		???	
223	Yolmo	HEAVY	1210	tʃéndi			heavy	1210	HEAVY	2
224	Yolmo	SMALL	1246	tʃéemi			small	1246	SMALL	2
225	Yolmo	BROKEN	588	tʃhá tʃába			 broken	588	BROKEN	4
226	Yolmo			tʃháuki			army  barracks		???	
228	Yolmo			tʃháŋgela			 drunkard		???	
229	Yolmo	BREAK (DESTROY OR GET DESTROYED)	680	tʃhá			to break	680	BREAK (DESTROY OR GET DESTROYED)	1
230	Yolmo	CHOOSE	1750	tʃhán			to choose	1750	CHOOSE	1
231	Yolmo	DANCE	1879	tʃhám			to dance	1879	DANCE	1
232	Yolmo	EGG	744	tʃèmu kòŋa			egg	744	EGG	2
233	Yolmo	EGG	744	tʃèmendo			egg	744	EGG	2
234	Yolmo			tʃóŋ			chives		???	
235	Yolmo	RUN	1519	tʃóŋ			to run	1519	RUN	1
236	Yolmo	DO	813	tʃòl			to do	813	DO	1
237	Yolmo	STRAIGHT	1404	tʃháre			straight	1404	STRAIGHT	2
238	Yolmo	NECKLACE	1961	tʃhálda			necklace	1961	NECKLACE	2
239	Yolmo			ih ŋtná [tʃhálda kyàpti			bound		???	
240	Yolmo	URINE	1142	tʃíŋ			urine	1142	URINE	2
241	Yolmo			tʃhípa			Hindu		???	
243	Yolmo			tʃhúda			millstone		???	
244	Yolmo	CHEESE	1569	tʃhúrpi			cheese	1569	CHEESE	2
246	Yolmo			tʃhép			to give to each other		???	
247	Yolmo	LIZARD	632	tʃhépare			lizard	632	LIZARD	2
248	Yolmo	PUT	998	dʒàa			put	998	PUT	2
249	Yolmo			dʒàmbala			The  god of wealth, also known as  Kubur to Hindus		???	
251	Yolmo	LEAVE	1752	ʒàa			to leave	1752	LEAVE	1
252	Yolmo	SALIVA	1503	tʃhémaŋ			saliva	1503	SALIVA	2
253	Yolmo	GRASS	606	tʃhée			grass	606	GRASS	2
254	Yolmo	ISLAND	622	tʃhó			island	622	ISLAND	2
255	Yolmo	LIP	478	tʃhódo			lip	478	LIP	2
256	Yolmo	BIG	1202	tʃhómbo			big	1202	BIG	2
257	Yolmo			tʃhórten			stupa		???	
258	Yolmo			dʒàra			snack		???	
259	Yolmo	SUCK	1421	dʒìp			to suck	1421	SUCK	1
260	Yolmo			dʒù			to sew grain		???	
261	Yolmo	OLD (AGED)	2112	dʒèʈi			elder	2112	OLD (AGED)	2
262	Yolmo	TWO	1498	ɲí			two	1498	TWO	2
263	Yolmo			ɲì			first person plural exclusive		???	
264	Yolmo	SLEEP	1585	ɲí tsé			to sleep	1585	SLEEP	1
265	Yolmo			ɲìp			to swallow something		???	
266	Yolmo	SECOND	1384	ɲíba			second	1384	SECOND	2
268	Yolmo			ɲílo			to feel sleepy		???	
270	Yolmo	PLAY	1413	tsá			to play	1413	PLAY	1
271	Yolmo			tsámba			raspberry		???	
272	Yolmo			ɲàl			to lay  down, or to sleep	1411	LIE (REST)	4
273	Yolmo	BORE	1501	ɲúŋ			drill	1501	BORE	2
274	Yolmo	NORTH	1598	ɲùm			north	1598	NORTH	2
275	Yolmo			ɲé			to pass	1951	PASS	1
276	Yolmo			ɲé			to chase	1435	HUNT	4
278	Yolmo	LISTEN	1608	ɲèn			to listen	1608	LISTEN	1
279	Yolmo	PILLOW	1044	ɲébul			pillow	1044	PILLOW	2
280	Yolmo			ɲér			to annoy	2892	MAKE ANGRY (ANNOY)	4
281	Yolmo	BUY	1869	ɲò			to buy	1869	BUY	1
282	Yolmo	DIRTY	1230	ɲókpa			dirty	1230	DIRTY	2
283	Yolmo			ɲòŋ			to suffer hardship		???	
284	Yolmo			ɲóŋba			an insane person		???	
285	Yolmo	ROOT	670	tsárŋi			root	670	ROOT	2
286	Yolmo	SHUT	1046	tsúm			to close	1046	SHUT	1
287	Yolmo			tsém			to sew cloth		???	
288	Yolmo	VEIN	1924	tsà			vein	1924	VEIN	2
290	Yolmo	MOLE	1907	tsík tsíba			mole	1907	MOLE	4
291	Yolmo	WALL (OF HOUSE)	933	tsíkpa			wall	933	WALL (OF HOUSE)	2
292	Yolmo	TONGS	272	tsímʈa			tongs	272	TONGS	2
293	Yolmo	STUPID	1518	tsókpu			stupid	1518	STUPID	2
294	Yolmo	LATCH	1012	tsúkul			latch	1012	LATCH	2
295	Yolmo			tséma			a curry made of  vegetables; vegetable	924	VEGETABLES	4
296	Yolmo			tsélba			a large conical basket loosely woven for  carrying and transporting  things		???	
297	Yolmo	SELL	1571	tsòŋ			to sell	1571	SELL	1
298	Yolmo			tsóp			pickle		???	
299	Yolmo			tsòra			a hand hoe		???	
300	Yolmo	SALTY	1091	tshápré			salty	1091	SALTY	2
301	Yolmo	SALT	1274	tshá			salt	1274	SALT	2
302	Yolmo	KNEE	1371	tshákpaliŋ			knee	1371	KNEE	2
305	Yolmo	VULTURE	1185	tshárkya			vulture	1185	VULTURE	2
306	Yolmo	CHOKE	129	tshál			to choke	129	CHOKE	1
307	Yolmo			tshí			to burn with something hot		???	
308	Yolmo			dzàge			pants	809	TROUSERS	4
309	Yolmo			dzàti			group		???	
310	Yolmo			dzà			to climb up		???	
311	Yolmo			tshér			to be sad	699	SAD	4
312	Yolmo	LAZY	1564	tshérsi			lazy	1564	LAZY	2
313	Yolmo			tshóp			food offered during religious event		???	
314	Yolmo			tshól			to search	1468	LOOK FOR	3
315	Yolmo			tshólam			top of the head, where the hair parts		???	
316	Yolmo			dzáberdʒasti			force	2526	POWER	2
317	Yolmo	NECK	1333	dzìŋba			neck	1333	NECK	2
318	Yolmo	FEAR (BE AFRAID)	1419	dzì			to fear	1419	FEAR (BE AFRAID)	1
319	Yolmo	MAKE	734	zò			to make	734	MAKE	1
320	Yolmo	HORSE	615	ʈàbu			horse	615	HORSE	2
321	Yolmo			ʈálti			to patch	3074	FIX	4
322	Yolmo			ʈáʃi dèle			greetings		???	
324	Yolmo			ʈàa			to recover	1978	RECOVER	1
325	Yolmo			ʈì			to pull along		???	
326	Yolmo			ʈíka			tika, a blessing given by placing a tika on the  forehead		???	
327	Yolmo			zì			to get drunk		???	
328	Yolmo			ʈá			hair on the head		???	
329	Yolmo	ENEMY	1358	ʈà			enemy	1358	ENEMY	2
330	Yolmo	PHEASANT	3060	ʈà			pheasant	3060	PHEASANT	2
331	Yolmo	TIE	1917	ʈà			to bind	1917	TIE	1
332	Yolmo	FLAT	1633	ʈáŋga			flat	1633	FLAT	2
333	Yolmo	SWELL	1573	ʈáŋ			to swell	1573	SWELL	1
335	Yolmo	MONEY	1559	ʈáŋa			money	1559	MONEY	2
336	Yolmo	TENT	1316	ʈáʒaŋ			tent	1316	TENT	2
337	Yolmo	SCAR	497	ʈáʈe			scar	497	SCAR	2
338	Yolmo			ʈáp			to winnow	2462	WINNOWING	3
339	Yolmo			ʈàba			a Buddhist monk		???	
340	Yolmo	GET	694	dzòr			to get	694	GET	1
341	Yolmo			ʈíŋbur			a boil	793	BOIL (OF SKIN)	3
344	Yolmo	ASK (INQUIRE)	1309	ʈìi			to ask	1309	ASK (INQUIRE)	1
345	Yolmo	SIX	1703	ʈù			six	1703	SIX	2
346	Yolmo	SIXTY	1718	ʈùktʃu			sixty	1718	SIXTY	2
347	Yolmo	GATHER	7	ʈúk			to gather	7	GATHER	1
348	Yolmo			ʈùkpa			sixth		???	
349	Yolmo	BUTTON	757	ʈúŋ			button	757	BUTTON	2
350	Yolmo			ʈùp kàla			joyfully, with pleasure		???	
351	Yolmo			ʈùl			to rub in		???	
352	Yolmo			ʈè			advice		???	
353	Yolmo			ʈò			to read; to study	724	READ	3
354	Yolmo	WHEAT	1077	ʈò			wheat	1077	WHEAT	2
356	Yolmo			ʈókari			large basket made of bamboo		???	
357	Yolmo	ANT	587	ʈòmaŋ			ant	587	ANT	2
358	Yolmo			ʈòlkar			the goddess known as Green Tara in Hindu culture		???	
359	Yolmo			ʈòlma			the goddess known as White Tara in Hindu culture		???	
360	Yolmo	SCHOOL	673	ʈòsa			school	673	SCHOOL	2
361	Yolmo	JEALOUS	2821	ʈhádok			jealous	2821	JEALOUS	4
362	Yolmo	BILE	1780	ʈhíba			bile	1780	BILE	2
363	Yolmo	KING	1508	ʈhú			ruler	1508	KING	2
364	Yolmo	WASH	1453	ʈhú			to wash	1453	WASH	1
365	Yolmo	MANNER	488	ɖàŋa			manner	488	MANNER	4
366	Yolmo	CHEEK	1730	ɖàmba			cheek	1730	CHEEK	2
367	Yolmo			ɖàlo			spherical	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	4
368	Yolmo			ɖìi			to match; to fit; to go together	1133	MATCH	4
369	Yolmo	GRAIN	605	ɖù			grain	605	GRAIN	2
370	Yolmo	DRAGON	2038	ɖùk			dragon	2038	DRAGON	2
371	Yolmo	MONEY	1559	ɖèba			money	1559	MONEY	2
372	Yolmo	GO	695	ɖò			to go	695	GO	1
373	Yolmo	GUEST	1782	ɖòmbo			guest	1782	GUEST	2
374	Yolmo			tà			an emphatic marker		???	
375	Yolmo	SEND	1127	táŋ			to send	1127	SEND	1
376	Yolmo	THROW	1456	táŋ			to throw, to scatter	1456	THROW	3
377	Yolmo	COUNT	1420	tàŋ			to count	1420	COUNT	1
378	Yolmo	OPEN	1156	tàŋ			to open	1156	OPEN	1
379	Yolmo			táŋgu			rhododendron		???	
380	Yolmo	BEFORE	1882	tàʒi			before	1882	BEFORE	2
381	Yolmo	NOW	1376	tàze			now	1376	NOW	2
382	Yolmo	LOOK	1819	tá			to look	1819	LOOK	1
383	Yolmo			táp			to scatter	2064	SCATTER (SEEDS)	3
385	Yolmo	NOW	1376	tàpse			now	1376	NOW	2
387	Yolmo			tám ʃék			gossip		???	
389	Yolmo	AXE	677	tári			axe	677	AXE	2
390	Yolmo			tàra			buttermilk		???	
391	Yolmo	LATE	477	tàlda			later	477	LATE	2
393	Yolmo	NOW	1376	tàa			now	1376	NOW	2
394	Yolmo	DEEP	1593	tì rùŋbu			deep	1593	DEEP	2
395	Yolmo			tíkis			a back apron, a traditional item of clothing,  worn by married women		???	
396	Yolmo	NEXT	1354	tíŋgi			next	1354	NEXT	2
397	Yolmo			tíŋ			to spread something like a cloth		???	
399	Yolmo			tìŋal			be sad, worried or upset	699	SAD	4
400	Yolmo	WEEK	1469	tìnɖa			week	1469	WEEK	2
401	Yolmo			tìnba			seventh		???	
402	Yolmo	BEE	665	típáama			bee	665	BEE	2
404	Yolmo			tén			to pull something out		???	
405	Yolmo	GO OUT	1107	tèn			to go out	1107	GO OUT	1
406	Yolmo	SOME	1241	tíbirere			some	1241	SOME	2
407	Yolmo	NAVEL	1838	tíya			navel	1838	NAVEL	2
408	Yolmo	LADDER	1464	téba			ladder	1464	LADDER	2
409	Yolmo	SESAME	2797	tíl			sesame	2797	SESAME	2
410	Yolmo	BURN	2102	tìi			to burn	2102	BURN	1
411	Yolmo			tíip			a bee	665	BEE	3
412	Yolmo			tègini tséema			green leafy vegetable, not  grown but found in the  forests		???	
415	Yolmo			túŋbo dzùk			ancient		???	
416	Yolmo	CUT	1432	túp			to cut	1432	CUT	1
417	Yolmo	REMEMBER	707	é ŋyáp			to remember	707	REMEMBER	1
418	Yolmo	GIVE	1447	tér			to give	1447	GIVE	1
419	Yolmo	PLATE	480	tèrma			plate	480	PLATE	2
420	Yolmo			tórma			a small statue  made of rice and offered to  the gods		???	
422	Yolmo			tòkpa			upper part of foot		???	
423	Yolmo	EMPTY	1624	tòŋba			empty	1624	EMPTY	2
424	Yolmo	FACE	1560	tòŋba			face	1560	FACE	2
425	Yolmo	NARROW	1267	tòŋbu			narrow	1267	NARROW	2
426	Yolmo	TREE	906	tòŋbo			tree	906	TREE	2
428	Yolmo	BEFORE	1882	tòŋla			before	1882	BEFORE	2
429	Yolmo			tòtʃe			a traditional Tibetan blouse worn by women		???	
430	Yolmo	BEAR	1820	tòm			bear	1820	BEAR	2
431	Yolmo			tóryaŋ			sponge  gourd		???	
432	Yolmo	HOLE	1667	tòlbo			hole	1667	HOLE	2
433	Yolmo			tòo			indication a distance that is far but still visible		???	
434	Yolmo			tòo			to put down	998	PUT	4
435	Yolmo			toóʒi			a hoe	284	HOE	3
437	Yolmo			tòodi			a distant, but still visible item	1406	FAR	4
438	Yolmo	BE HUNGRY	1533	tóoba			hungry	1533	BE HUNGRY	2
439	Yolmo	ROPE	1218	thákpa			rope	1218	ROPE	2
440	Yolmo	REST	168	tháŋ sál			to rest	168	REST	1
441	Yolmo			thál			numeral classifier, used only for  emphasis of number		???	
442	Yolmo	DIRT	25	thálbi			dirt	25	DIRT	2
443	Yolmo	SECOND	1384	thála			second	1384	SECOND	2
444	Yolmo	DUST	2	thála			dust	2	DUST	2
445	Yolmo	DRINK	1401	thúŋ			to drink	1401	DRINK	1
446	Yolmo			thútʃe tʃhée			thank you		???	
447	Yolmo	MEET	1831	thú			to meet	1831	MEET	1
448	Yolmo	STRAIGHT	1404	théka			straight	1404	STRAIGHT	2
449	Yolmo	HEAR	1408	thé			to hear	1408	HEAR	1
450	Yolmo	GO OUT	1107	thén			to go out	1107	GO OUT	1
451	Yolmo			thén			to stretch something		???	
452	Yolmo	SHORT	1645	théemi			short	1645	SHORT	2
454	Yolmo	SEE	1409	thóŋ			to see	1409	SEE	1
455	Yolmo			thóŋ			to be seen		???	
456	Yolmo			thó			to cradle	2946	CRADLE	4
458	Yolmo	ABOVE	1741	thóla			above	1741	ABOVE	2
459	Yolmo	TAKE	1749	thóo			to take	1749	TAKE	1
460	Yolmo	JOIN	1743	thí			to join	1743	JOIN	1
461	Yolmo	KETTLE	854	thíbri			kettle	854	KETTLE	2
462	Yolmo			thúkpa			a thick porridge made from rice or ground millet		???	
463	Yolmo			dà			bow and arrow		???	
464	Yolmo			dàkla			raisin		???	
465	Yolmo			dàg			base of a tree, used only for trees		???	
466	Yolmo	MOON	1313	dàgarmu			moon	1313	MOON	2
467	Yolmo	YESTERDAY	1174	dàŋ			yesterday	1174	YESTERDAY	2
468	Yolmo			dàŋ tèriŋ			nowadays		???	
469	Yolmo			dàŋ			to have enough of something		???	
471	Yolmo			dàpa			parcel		???	
472	Yolmo	CHOOSE	1750	dàm			to choose	1750	CHOOSE	1
473	Yolmo			dàri			carpet		???	
474	Yolmo	HERE	136	dàla			here	136	HERE	2
475	Yolmo			dàsain mèndo			marigold		???	
476	Yolmo	LICK	319	dàa			to lick	319	LICK	1
478	Yolmo			dìnla			in front of  something		???	
479	Yolmo			dù			the copular used  something is new to the  speaker		???	
480	Yolmo			dùp			incense		???	
481	Yolmo			dènɖa			to do something in this way		???	
482	Yolmo			dèlegi			from there		???	
483	Yolmo	COUNTRY	1300	dèʃ			country	1300	COUNTRY	2
484	Yolmo	COIN	1867	dèk			coin	1867	COIN	2
485	Yolmo	TOUCH	1892	dèe			to touch	1892	TOUCH	1
