ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos
104	Tsum			Damtśok			deity, Khorlo Demchog, or Heruka; tantric multi-armed deity; Chakrasamvara	n.
105	Tsum	EQUAL	1570	ḍanḍa panḍa			equal	adj.
106	Tsum			dandzin			eclipse (moon)	n.
107	Tsum	YESTERDAY	1174	dang			yesterday	adv.
108	Tsum			dang diring			recently	adv.
109	Tsum	YESTERDAY	1174	dang, ngarto			yesterday	adv.
110	Tsum			dangbo			firstly, and then	adj.
111	Tsum			ḍangbo			straight (in shape, behaviour)	adj.
112	Tsum	REMEMBER	707	ḍangbu söwa			remember	v.
113	Tsum			danggong			earlier than yesterday	adv.
114	Tsum	COUNT	1420	ḍangma gyawa			count	v.
115	Tsum	COUNT	1420	ḍangma tsiwa			count	v.
116	Tsum	BEE	665	ḍangme			bee	n.
117	Tsum	COLD	1287	ḍangmu			cold	adj.
118	Tsum	LONG AGO	373	dangpo dangpo			long ago	adv.
119	Tsum			dangsing			state of being clean	n.
120	Tsum	COUNT	1420	ḍangwa			count	v.
121	Tsum			ḍangwa			full, be	v.
122	Tsum	ARROW	977	danyo'			arrow	n.
123	Tsum			dap			plank	n.
124	Tsum			dapba			shake off dust	v.
125	Tsum			dara			whey	n.
126	Tsum	SHIVER	52	darwa			tremble	v.
127	Tsum	BOW	994	daśu			bow	n.
128	Tsum	READY	790	ḍaṭi			ready	adj.
129	Tsum			datö			full moon	n.
130	Tsum			datśang			horse festival (a compound of 'arrow' + 'Tibetan beer', referring to an earlier form of the festival)	n.
131	Tsum	IMMEDIATELY	1963	daurang			immediately	adv.
132	Tsum	ROPE	1218	ḍauri			rope	n.
133	Tsum	MONDAY	1697	dawa			Monday	n.
134	Tsum	MOON	1313	dawa			moon	n.
135	Tsum			dawa			trip	v.
136	Tsum			dawa			twist; weave, knit	v.
137	Tsum	DUCK	1360	daźa			duck	n.
138	Tsum	CALENDAR	1967	dazo			calendar	n.
139	Tsum			ḍe			ghost; similar to a lhante	n.
140	Tsum	ALONE	1964	ḍelakha			alone	adj.
141	Tsum			ḍelwa			relation	n.
142	Tsum			demo			plait (hair)	n.
143	Tsum			ḍemo			witch; evil woman	n.
144	Tsum	BOOK	963	demu			book	n.
145	Tsum	EASY	686	demu			easy	adj.
146	Tsum	FOG	249	demu'			fog	n.
147	Tsum			den			after that, and then	adv.
148	Tsum			ḍendur			competition	n.
149	Tsum			denṭhi			seat (of junior lama)	n.
150	Tsum			Dephüdöme gomba			monstery, Depyudome, north of Mu gomba, (other name: Deren)	n.
151	Tsum			deptśa			surprise; wonder; astonishment	n.
152	Tsum			Deren gomba			monastery, Depyudome, north of Mu gomba, other name for Depyüdöme gomba	n.
153	Tsum	PLATE	480	derma			plate	n.
154	Tsum			dertśen			long and sharp nails	n.
155	Tsum	SLIP	1324	ḍeta śörwa			slip	v.
156	Tsum	FALL	1280	ḍewa			fall	v.
157	Tsum			ḍewa			fall, make	v.
158	Tsum	THIS	1214	di			this	n.
159	Tsum	FEMALE YAK	2479	ḍi			female yak	n.
160	Tsum			di tśeri			therefore	conj.
161	Tsum			di.u			bullet (of gun)	n.
162	Tsum	SIN	2971	dikpa			sin	n.
163	Tsum	CRAB	2348	diksing			crab	n.
164	Tsum			diktśen			sinner	n.
165	Tsum	MIX	2017	ḍilwa			mix	v.
166	Tsum	SHADOW	2275	ḍima'			shadow	n.
167	Tsum			dimba			submerge	v.
168	Tsum	KEY	1472	dimi'			key	n.
169	Tsum			dingkir			like this	adj.
170	Tsum	FLOAT	1574	dingwa			float	v.
171	Tsum			ḍingwa			mediocre	adj.
172	Tsum	FALL	1280	dipwa			fall	v.
173	Tsum	THIS	1214	direm			these	pron.
174	Tsum	TODAY	1283	diring			today	adv.
175	Tsum			ḍiu			seed; grain	n.
176	Tsum			ḍö			meeting, village gathering; discussion	n.
177	Tsum			ḍö			suggestion	n.
178	Tsum			ḍo: gyawa			bonded friend, become	v.
179	Tsum			dö'sa powa			migrate	v.
180	Tsum			dodang			tradition, custom	n.
181	Tsum			Ḍoḍang			village on the Budhi Gandaki, Philim (not inhabited by Tsumpas)	n.
182	Tsum			ḍogo, ḍowo, ḍo:			bonded-friend	n.
183	Tsum			Doje Khandro			fairy, Dorje Khadro (rDo rJe mKha Gro); purifying deity; daka; Vajradaka	n.
184	Tsum	SUSPECT	1841	dokpa			suspicion	n.
185	Tsum			dokpa			womb, uterus	n.
186	Tsum	ALWAYS	1676	dökyün			always	NA
187	Tsum			Ḍolma			deity, Dölma; Tara	n.
188	Tsum			doltśho			worship (kind)	n.
189	Tsum			doma			in the beginning, firstly	NA
190	Tsum			domba lemba			to accept as being the monk after lama announced	n.
191	Tsum	WET	1726	dompa'			wet	adj.
192	Tsum	GUEST	1782	ḍompo			guest	n.
193	Tsum			Domtśe			village, in lower Tsum	n.
194	Tsum			donang bewa			pay attention	v.
195	Tsum			dong			animal, larger than a yak	n.
196	Tsum	DITCH	2002	dong			ditch	n.
197	Tsum			ḍong gö			bonded-friend (female)	n.
198	Tsum			ḍongba			die (hon.)	v.
199	Tsum	HOUSE	1252	ḍongba			house	n.
200	Tsum	TREE	906	dongbo			tree	n.
201	Tsum			dongmu			churn for tea	n.
202	Tsum	WOMAN	962	ḍongpi'ã			woman	n.
203	Tsum	TOOTH	1380	dongso			tooth	n.
204	Tsum			ḍönpo			invitation	n.
205	Tsum			dopa			wish, will	v.
206	Tsum			döpa			live, survive	v.
207	Tsum	STOMACH	819	ḍopa			stomach	n.
208	Tsum			ḍörang			temperature	n.
209	Tsum			dordźe			dorje, vajra; Buddhist ritual weapon; thunderbolt	n.
210	Tsum			Dortśe Mapdön			deity, Dorche Mapdin	n.
211	Tsum			Dortsung			pass in lower Tsum, leading to Tsumchet	n.
212	Tsum			ḍosung			expense	n.
213	Tsum			döṭö'			cremation ground	n.
214	Tsum	SEE	1409	ḍowa			see	v.
215	Tsum			ḍöwa			heated, be	v.
216	Tsum			döza langwa			interested in sex	v.
217	Tsum	BARLEY	932	du			barley	n.
218	Tsum	DEMON	1973	dü			demon	n.
219	Tsum	GRAIN	605	ḍu			grain	n.
220	Tsum	CRAWL	96	ḍüba			creep	v.
221	Tsum			duk			like this	adj.
222	Tsum	DRAGON	2038	ḍuk			dragon	n.
223	Tsum			duk tśhere			in this way	adv.
224	Tsum	ROAR (OF SEA)	2876	duke langwa			roar	v.
225	Tsum	LIGHTNING	1654	ḍuke'			lightning	n.
226	Tsum			ḍukpa			collect, gather, harvest, pick	v.
227	Tsum	POOR	1674	dukpa'			poor	adj.
228	Tsum			dukpo			sadness, miserable, unhappy	n.
229	Tsum	SNAKE	730	ḍul			snake	n.
230	Tsum			dulwa			digest	v.
231	Tsum	STRANGER	791	ḍulwa			stranger	n.
232	Tsum			dümba			seventh	num.
233	Tsum			dumḍo			unfinished work	n.
234	Tsum			dümo			demon, female	n.
235	Tsum	SEVEN	1704	dün			seven	num.
236	Tsum			dündźudögye'			seventy eight	num.
237	Tsum			dündźudönḍuk			seventy six	num.
238	Tsum			dündźudöndün			seventy seven	num.
239	Tsum			dündźudönga			seventy five	num.
240	Tsum			dündźudönngi			seventy two	num.
241	Tsum			dündźudönsum			seventy three	num.
242	Tsum			dündźudörku'			seventy nine	num.
243	Tsum			dündźudünźi			seventy four	num.
244	Tsum			dung			conch-shell	n.
245	Tsum			dunga			trouble; anguish	n.
246	Tsum			ḍungsum			real; own	adj.
247	Tsum	GRIND	1033	dungwa			grind	v.
248	Tsum			ḍünto			animal; yak	n.
249	Tsum			düntsar			pot to offer holy water inside gompa	n.
250	Tsum	SEVENTY	1721	düntśu			seventy	num.
251	Tsum			düntśudöntśik			seventy one	num.
252	Tsum			dupa			smoke, soot; black powder in the smoke of wood, coal	n.
253	Tsum			düpa			in brief	NA
254	Tsum	KNOT	760	ḍupa			knot	n.
255	Tsum			ḍüpkang			meditate	v.
256	Tsum			ḍüpkhang			place to worship in the gompa	n.
257	Tsum	KNOT	760	ḍupṭö			knot	n.
258	Tsum			ḍuptö gyawa			knot, tie	v.
259	Tsum			dürap			century	n.
260	Tsum	POOR	1674	durya			poor	adj.
261	Tsum			ḍusing			ship, boat	n.
262	Tsum			dutser			tree species, with thorns	n.
263	Tsum	TIME	892	dütsö'			time	n.
264	Tsum			dütśongala			next day	adv.
265	Tsum			duwa			keep things	v.
266	Tsum			dyu			bangle	n.
267	Tsum			dźa			manure, cow dung	n.
268	Tsum	RAINBOW	1733	dźa			rainbow	n.
269	Tsum	TEA	1373	dźa			tea	n.
270	Tsum			dźak			sound like something falling	n.
271	Tsum	CLIMB	1102	dzakpa			climb	v.
272	Tsum	ROB (VERB)	2073	dźakpa gyawa			rob	v.
273	Tsum			Dzambala			deity, Jambhala; associated with prosperity; Kubera	n.
274	Tsum			Dźambeyang			deity, Jamyang (Jam Pal Yang);  associated with wisdom and discernment; Mañjuśri	n.
275	Tsum			dźambo			be close, friendly	adj.
276	Tsum	SMOOTH	1234	dźambo			smooth	adj.
277	Tsum			dźambuling			world, universe	n.
278	Tsum			dźampo			smooth, soft	adj.
279	Tsum	NORTH	1598	dźang			north	adj.
280	Tsum			dźangadźingi			noisy	n.
281	Tsum	GREEN	1425	dźanggu			green	adj.
282	Tsum			dźangkya			light green	adj.
283	Tsum			dźangna'			dark green	adj.
284	Tsum			dźão phöpa			crow; crackle	v.
285	Tsum	SCISSORS	1328	dźaptse			scissors	n.
286	Tsum			dzara			snack (afternoon)	n.
287	Tsum	VULTURE	1185	dźarkwö			vulture	n.
288	Tsum	GLUE	1069	dźartsi			glue	n.
289	Tsum			dzarwa			fall down (fruits from tree)	v.
290	Tsum			dźarwa			paste	v.
291	Tsum			dźasang			spouse, couples	n.
292	Tsum			dzaũ			same, be the same	v.
293	Tsum			dźauru'			baby bird	n.
294	Tsum			dzawa			pluck	v.
295	Tsum	DRIP (EMIT LIQUID)	2253	dzãwa			leak	v.
296	Tsum	SHINE	708	dźawe' śarwa			shine	v.
297	Tsum			dze			gun powder	n.
298	Tsum			dze			leprosy	n.
299	Tsum	FACE	1560	dźe'			face	n.
300	Tsum			dzeba			faster	adv.
301	Tsum			dzelmi'			joint (of plants)	n.
302	Tsum			dźembo			stronger	adj.
303	Tsum			dzempo			strong, active	adj.
304	Tsum	NAKED	590	dźenḍa			naked	adj.
305	Tsum			dźendo'			showy; pompous	v.
306	Tsum	ACCUSE	1814	dzidzi langwa			accuse	v.
307	Tsum	FINGER	1303	dźigu			finger	n.
308	Tsum	DONATE	196	dźimba tangwa			donate	v.
309	Tsum			dzimbu			herb to fry lentil soup	n.
310	Tsum			dźinda'			owner; money lender	n.
311	Tsum			dźineḍa			fierce	adj.
312	Tsum	NECK	1333	dźingba			neck	n.
313	Tsum			dzinggop			quarrelsome	adj.
314	Tsum	QUARREL	1848	dzingka			quarrel	n.
315	Tsum			dźinlap			blessing (from an elderly person to a younger person)	n.
316	Tsum	SUCK	1421	dźipba			suck	v.
317	Tsum			dźira			cumin-seed	n.
318	Tsum	COWARD	1319	dźirya			coward	n.
319	Tsum			dźiṭa			frightening, fear	n.
320	Tsum	FEAR (BE AFRAID)	1419	dźita mukpa			afraid	v.
321	Tsum	DANGER	1810	dźita tshawo			danger	n.
322	Tsum	FINGER	1303	dźiu			finger	n.
323	Tsum	FEAR (BE AFRAID)	1419	dźiwa			afraid	v.
324	Tsum			dźiwa			bigger	adj.
325	Tsum			dźiwa			scared of (trans.)	v.
326	Tsum			dzo			dzo; cross between a yak and a cow	n.
327	Tsum	BAG	2468	dźola			bag	n.
328	Tsum	ABILITY	2527	dźöndang			ability	n.
329	Tsum			Dzong			village, in upper Tsum, with ruins of an old fort	n.
330	Tsum	ALL	98	dźop			all	adj.
331	Tsum	LIKE	1117	dźor			like	adj.
332	Tsum	GET	694	dźörwa			get	v.
333	Tsum	BROTHER	1262	dźotśo			brother	n.
334	Tsum			dzowo			dzo, male	n.
335	Tsum			dźoźono			brothers and sister	n.
336	Tsum	FINGER	1303	dźu			finger	n.
337	Tsum			dzuma			tail of birds	n.
338	Tsum	FALSE	3069	dzun			FALSE	adj.
339	Tsum			dzun śepa			lie, speak untruth	v.
340	Tsum			dzuna			tree species, with thorns	n.
341	Tsum	BETRAY	1902	dzundźen			cheat	n.
342	Tsum			dzungdźa			wood used for building houses	n.
343	Tsum			dźünsel			cremation	n.
344	Tsum	MASSAGE (SOMEBODY)	3119	dźupa gyawa			massage	v.
345	Tsum			dzuṭo'			shoe lace	n.
346	Tsum	CHIN	1510	eko			chin	n.
347	Tsum			emba'			stones which are used to make roof (of house)	n.
348	Tsum			erka			month (Jestha-Asar)	n.
349	Tsum			erma			pepper, kind of spice, from the prickly ash	n.
350	Tsum			erma'			pepper (kind of)	n.
351	Tsum	PITCHER	120	gagri			pitcher	n.
352	Tsum			galda			bag of clothes	n.
353	Tsum	BOX	1465	gam			box	n.
354	Tsum			gamba			eat flour (of wheat, flour of many kinds)	v.
355	Tsum	BAT	1793	gamgulung			bat	n.
356	Tsum			gamgulung			dry, dried dry; dried	adj.
357	Tsum			gang			also	adv.
358	Tsum			gapba			sit upon the eggs hatch brooding	v.
359	Tsum			garso'			knife fixed with the belt on the waist	n.
360	Tsum	BUD	1684	gau			bud	n.
361	Tsum			gauli			upside down	adj.
362	Tsum			gawa			caught in the throat	v.
363	Tsum			gawa			like; be happy	v.
364	Tsum	OLD	1229	genggun			old	n.
365	Tsum			geśe			monk who is junior to Rinpoche	n.
366	Tsum	IMPORTANT	1285	getshemo			important	adj.
367	Tsum			gido			oven made with stones	n.
368	Tsum	HEAD	1256	go			head	n.
369	Tsum			go korwa			persuade; lure	v.
370	Tsum			go kukpa			bow down the head	v.
371	Tsum			goble			blanket (made from yak fur)	n.
372	Tsum			gohrung			look after	v.
373	Tsum			gokap			chance, opportunity	n.
374	Tsum			gökho			need	n.
375	Tsum	GARLIC	2368	gokpa			garlic	n.
376	Tsum	TOMATO	986	golbeḍa			tomato	n.
377	Tsum			golto'			bare	n.
378	Tsum	BEGINNING	1557	goma			beginning	n.
379	Tsum			göma			mare, female horse	n.
380	Tsum			gomba			monastery	n.
381	Tsum			Gomba Lungdang			monastery in Lungdang	n.
382	Tsum	MORTAR CRUSHER	224	gombor			mortar	n.
383	Tsum			Gömpo			deity, Gönpo; protector deity (Mahākāla)	n.
384	Tsum			gonba			dressed, get	v.
385	Tsum			gong			price, cost	n.
386	Tsum			göning dopa			desire for sex	n.
387	Tsum			gönkhang			temple with Gönpo protector deity (Mahākāla)	n.
388	Tsum			Gonye gomba			monastery; Gonye gompa	n.
389	Tsum			göö			overcoat (traditional), clothing worn both by men and women, knee length	n.
390	Tsum	HANDKERCHIEF	1020	gore			handkerchief	n.
391	Tsum			goril			bare (head)	n.
392	Tsum			gorwa			take time	v.
393	Tsum			gosa			title; designation	n.
394	Tsum			götsa			need	n.
395	Tsum	BEGINNING	1557	gotsukpa			beginning	n.
396	Tsum			göwa			need; dire necessity	n.
397	Tsum			göwa			want; desire, need	v.
398	Tsum			gulwa			shake (intrans.)	v.
399	Tsum			gulwa			shake (trans.)	v.
400	Tsum			gumba			jump over	v.
401	Tsum			Gumlung			village, in lower Tsum	n.
402	Tsum			gun			loss	n.
403	Tsum			güntö'			winter season	n.
404	Tsum	CAT	1208	guri'			cat	n.
405	Tsum			Guru Rimpotśe			deity, Guru Rinpoche, Padmasambhava; Bodhisattva	n.
406	Tsum	EGG	744	gwã			egg	n.
407	Tsum	HATCH (OUT)	3116	gwã tśhawa			hatch	v.
408	Tsum	HUNDRED	1634	gya			hundred	num.
409	Tsum	KING	1508	gyalbo			king	n.
410	Tsum	COUNTRY	1300	gyalkap			country	n.
411	Tsum	QUEEN	1306	gyalmu			queen	n.
412	Tsum	KING	1508	gyalpo			king	n.
413	Tsum			gyalrap			history	n.
414	Tsum	CITY	2547	gyalsa			city	n.
415	Tsum			Gyalwa Jampa Gombo			deity, Jampa; Maitreya, future Buddha	n.
416	Tsum			gyami			Chinese person, Tibetan person	adj.
417	Tsum	FAR	1406	gyang			far	adv.
418	Tsum			gyangśel			binocular	n.
419	Tsum			gyapba			blow (storm)	v.
420	Tsum	FAT (ORGANIC SUBSTANCE)	323	gyapo'			fat	adj.
421	Tsum			gyapo' gyurwa			become fat	v.
422	Tsum	DO	813	gyawa			do	v.
423	Tsum			gyen			upward hill	adj.
424	Tsum			gyenggun			old, old man	n., adj.
425	Tsum			gyengun			aged persons	n.
426	Tsum			gyete			an instrument used by a carpenter	n.
427	Tsum			gyeza pa			potato curry	n.
428	Tsum			gyopa kyewa			repent	v.
429	Tsum	FAST	1631	gyopo			fast	adv.
430	Tsum	IMMEDIATELY	1963	gyoporang			immediately	adv.
431	Tsum			gyowa			faster	adj.
432	Tsum			gyurwa			become (a doctor; poor; rich)	v.
433	Tsum			ha			oh!	interj.
434	Tsum	UNDERSTAND	1536	ha gowa			understand	v.
435	Tsum			haltshul			here and there	adv.
436	Tsum	STORM	858	haśur			storm	n.
437	Tsum			hau tśukṭwa			phew	interj.
438	Tsum			haula			up there	adv.
439	Tsum			hayang			aluminium (pot)	n.
440	Tsum			heda			potato (lower Tsum)	n.
441	Tsum			hi'tse			exam	n.
442	Tsum			hi'tśe			belief	v.
443	Tsum			higa			letter, alphabets	n.
444	Tsum			hiktse			examination	n.
445	Tsum	HERE	136	hinala			here	adv.
446	Tsum	BUY	1869	hinang			but	conj.
447	Tsum			hinang			Hinang (place in Nubri)	n.
448	Tsum	HIDE	2486	hipa			hide	v.
449	Tsum	SUDDENLY	2920	hoptak			suddenly	adv.
450	Tsum	BROKEN	588	hortung			broken	n.
451	Tsum			hrama			soybean, pea	n.
452	Tsum	PEA	2025	hrama kyaril			pea	n.
453	Tsum	HARD	1884	hrante			hard	adj..
454	Tsum			hrapi			things	n.
455	Tsum			hrapśo			richest	adj.
456	Tsum	DUSK	2297	hrawahriwe			dusk	n.
457	Tsum	BLISTER	1584	hrendźur			blister	n.
458	Tsum	PRINCE (RULER)	2554	hrepo			prince	n.
459	Tsum			hreptśik			nearly, almost	adv.
460	Tsum	FIREFLY	206	hrimneker			firefly	n.
461	Tsum			hrimpo			vampire	n.
462	Tsum			hringdźu			ring finger	n.
463	Tsum	PIMPLE	1809	hringtśü'			pimple	n.
464	Tsum			hrira			nature	n.
465	Tsum			hriwa			agree, leave the gift	v.
466	Tsum	FALL	1280	hro			fall	v.
467	Tsum			Hrölme			grazing grounds for nomads	n.
468	Tsum			hroma			nit (egg of louse)	n.
469	Tsum			hrowa			fry, heat	v.
470	Tsum	AMULET	2804	hruã			amulet	n.
471	Tsum			hruhru', ṭa hruhru'			curly (hair)	adj.
472	Tsum	GATHER	7	hruktu tangwa			gather	v.
473	Tsum	STORY	2060	hrung			story	n.
474	Tsum	GUARD	1940	hrungwa			guard	v.
475	Tsum			Humlung			pass in northern Tsum	n.
476	Tsum			hundzuk dźere			like that	adv.
477	Tsum	IMMEDIATELY	1963	hundzüla			immediately	adv.
478	Tsum			hup			sip	n.
479	Tsum			huru			aunt (mother's sister)	n.
480	Tsum	DOWN OR BELOW	2094	hwal			below	post.
481	Tsum	UP	1591	hyala			up, above	post.
482	Tsum			i			four-legged endangered animal	n.
483	Tsum			ĩ			okay (in an answer, or in a request)	interj.
484	Tsum	YARD	736	ildo'			yard	n.
485	Tsum			imźe			maybe	v.
486	Tsum			indźi			foreigner	n.
487	Tsum			indzö'			this much	n.
488	Tsum			intśi			tourist (with grey hair)	n.
489	Tsum	STEEL	2343	isṭil			steel	n.
490	Tsum			izu'			hiccup	n.
491	Tsum			dźangsem			compassion	n.
492	Tsum			k.yuru			puppy (baby dog)	n.
493	Tsum			ka			dam	n.
494	Tsum	GINGER	2500	ka			ginger	n.
495	Tsum	ORDER	1128	ka			order	n.
496	Tsum			ka, kale			pillar, post	n.
497	Tsum			kagyü			monk (Kagyupa)	v.
498	Tsum	HALT (STOP)	2880	kakpa			stop	v.
499	Tsum			kakpa			stop; park	v.
500	Tsum			kaldo			share, part	n.
501	Tsum			kale			hardship	n.
502	Tsum	DIFFICULT	584	kale kapo			difficult	adj.
503	Tsum			kali			sheaf	n.
504	Tsum			Kalung			place in northern Tsum where the valley splits three ways	n.
505	Tsum			kam			dance (Nepali)	n.
506	Tsum			kamba			dry (intrans.)	v.
507	Tsum			kamba			dry, sterile, barren	v.
508	Tsum			kamba			thinner	adj.
509	Tsum			kamba			tongs; pincers	n.
510	Tsum			kambo			thinner	adj.
511	Tsum	BASKET	1539	kamdzel			basket	n.
512	Tsum	BLANKET	806	kamlo			blanket	n.
513	Tsum	RADIO	1315	kamlu			radio	n.
514	Tsum	WHERE	1237	kana			where	adv.
515	Tsum			kanakana			somewhere	adv.
516	Tsum	WHERE	1237	kanala			where	adv.
517	Tsum			kang			during, while	adv.
518	Tsum			kang			dysentery	n.
519	Tsum	FULL	1429	kang			full	adj.
520	Tsum	MOUNTAIN OR HILL	2118	kang			mountain, hill	n.
521	Tsum	PROBLEM	2425	kangal			problem	n.
522	Tsum	FOOT OR LEG	2098	kangba			foot, leg	n.
523	Tsum			kangbei thil			sole (of foot)	n.
524	Tsum			kangbi tśhe			print of leg, feet	n.
525	Tsum	WHICH	727	kangde			which	pron.
526	Tsum			kangdze			food grain	n.
527	Tsum			kanggar			cheroot filled with tobacco encased in rolled leaves of persimmon	n.
528	Tsum	HOW	1239	kanggir			how	adv.
529	Tsum			kanggyür			book (name of). This book contains 105 parts.	n.
530	Tsum			kangling			musical instrument like flute	n.
531	Tsum			kangma			husk of wheat	n.
532	Tsum	FULL	1429	kangme			full	adj.
533	Tsum	MOUNTAIN	639	kangri			mountain	n.
534	Tsum			kangto'			peak, hill	n.
535	Tsum	FILL	2006	kangwa			fill	v.
536	Tsum			kani			gateway, entrance to a Buddhist community, cleanses those who pass through	n.
537	Tsum			kani			pot for milking	n.
538	Tsum			kaning			nowhere	adv.
539	Tsum	EVERYWHERE	2999	kanme			everywhere	adv.
540	Tsum			kantsuk			how, of what kind, how many	adj.
541	Tsum	BURY	1719	kapa			bury	v.
542	Tsum	PLANT (VEGETATION)	653	kapba			plant	v.
543	Tsum			kapi			copy	n.
544	Tsum			kapo			dangerous	adj.
545	Tsum	DIFFICULT	584	kapo			difficult	adj.
