ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS
107	Yolmo	CROUCH	296	kòŋ			to crouch
108	Yolmo			kòtaraŋ			including
109	Yolmo	WEAR	976	kòn			to wear
110	Yolmo	SHOE	1381	kòpʃa			shoes
111	Yolmo	TEMPLE	911	kòmba			temple
112	Yolmo	MOUTH	674	khá			mouth
113	Yolmo	THIRSTY	847	kómsin			thirsty
114	Yolmo	BASKET	1539	kòrko			basket
115	Yolmo			kór			to walk around
116	Yolmo	ROUND	1395	kòrmo			round
117	Yolmo	LOCK	1596	kòldʒa			lock
118	Yolmo			kòlo tséema			 leafy green vegetable
119	Yolmo			kòlmo			a lake
120	Yolmo	CHIN	1510	kóoma			chin
121	Yolmo	PORCUPINE	2510	kóhar			porcupine
122	Yolmo	CAULIFLOWER	2843	kaulikopi			cauliflower
123	Yolmo	CLOTH	1616	krému			scarf
124	Yolmo	BED	1663	kháʈ			bed
125	Yolmo	NEEDLE (FOR SEWING)	1382	kháp			needle
126	Yolmo	DAY BEFORE YESTERDAY	1180	khárnup			the day before yesterday
127	Yolmo	TWENTY	1710	kháldʒi			twenty
128	Yolmo			kháldʒi tʃíi			 twentyone
129	Yolmo			kháldʒi súm			 twenty three
130	Yolmo	HEALTHY	1364	kháldʒo			health
131	Yolmo	POCKET	1851	khálɖi			pocket
132	Yolmo	DOG	2009	khí			dog
133	Yolmo	PIN	64	khíp			pin
134	Yolmo	CATERPILLAR	2247	khíba			caterpillar
135	Yolmo	HOUSE	1252	khím			house
136	Yolmo	KIDNEY	489	khálma			kidney
137	Yolmo	EIGHTY	1722	khálʃi			eighty
138	Yolmo	SIXTY	1718	khálsum			sixty
139	Yolmo	CAN	1051	khú			can
140	Yolmo	HOOF	152	khúr			hoof
141	Yolmo			khúr			to carry something
142	Yolmo	BREAD	1368	khúra			bread
143	Yolmo	BITTER	887	khéndi			bitter
144	Yolmo			khéndi kòrilo			zucchini
145	Yolmo			khér			to take away, take with
146	Yolmo	DARK	706	gàɖa			dark
147	Yolmo			gàndzi			singlet
148	Yolmo			gàram mèna			garam masala
149	Yolmo	FIVE	493	ŋá			five
150	Yolmo	MALE	1553	khó			third person singular, male
151	Yolmo	ROOM	1450	khópi			room
152	Yolmo	TATTOO	68	khóp tíba			tattoo
153	Yolmo	VISIT	1377	khór			to visit
154	Yolmo			khólmo			a small well
155	Yolmo			gèd pále			gate  keeper
156	Yolmo	RHINOCEROS	2591	gèda			rhinoceros
157	Yolmo	HEAD	1256	gòo			head
158	Yolmo	GLASS	604	glàs			glass
159	Yolmo			ŋóŋ			egg of a reptile or  fish
160	Yolmo	ROAST (SOMETHING)	1962	ŋó			to roast
161	Yolmo	FAECES (EXCREMENT)	675	kyákpa			feces
162	Yolmo	SHIT (DEFECATE)	676	á 			to defecate
163	Yolmo	MILLET	931	kyàgar			millet
164	Yolmo	FLOAT	1574	kyá			to float
165	Yolmo	BACK	1291	kyàp			back
166	Yolmo	CLOSED	589	kyàp			closed
167	Yolmo	FALL	1280	kyàp			to fall
168	Yolmo	BEHIND	1686	kyàpla			behind
169	Yolmo			ŋába			fifth
170	Yolmo	SWEET	717	ŋàrmu			sweet
171	Yolmo	CRY	1839	ŋù			to cry
172	Yolmo	SILVER	759	ŋùl			silver
173	Yolmo	FOREIGN	109	kyàmi			foreign
174	Yolmo			kyàsa			market; a town or city
175	Yolmo			kyáa			to feel cold
176	Yolmo	FAT (ORGANIC SUBSTANCE)	323	kyàaba			fat
177	Yolmo	VOMIT	1278	kyú			to vomit
178	Yolmo	LEAVE	1752	kyú			to leave
179	Yolmo	INTESTINES	1991	kyùma			intestines, guts and also umbilical cord
180	Yolmo			kyùma			a member of the Brahmin caste
181	Yolmo	THROW	1456	kyúr			to throw, to  drop deliberately
182	Yolmo	EIGHT	1705	kyè			eight
183	Yolmo	GIVE BIRTH	1195	kyé			to give birth
184	Yolmo			khyá			second person  plural
185	Yolmo	CHEAP	1887	khyému			cheap
186	Yolmo	WAIST	1681	kyépa			waist
187	Yolmo			kyèp			a turn or a time
188	Yolmo	CARRY	700	kyòŋ			to carry
189	Yolmo	HUSBAND	1200	khyóbo			husband
190	Yolmo	MAN	1554	khyópiʒa			man
191	Yolmo	PLACE (POSITION)	723	gyàa			place
192	Yolmo	CHICKEN	1318	tʃà			chicken
193	Yolmo	TEA	1373	tʃà			tea
194	Yolmo			gyèl			to fall over
195	Yolmo			tʃáŋ			to suffice
196	Yolmo			tʃháŋ			a flock of birds
197	Yolmo			tʃáŋgi			iron tripod put into fire for cooking pots
198	Yolmo	CLEVER	1310	tʃáŋbu			clever
199	Yolmo			tʃápal			sandals
200	Yolmo	SWIM	1439	tʃál kyàp			swim
201	Yolmo	PAY	718	tʃál			pay
202	Yolmo	IRON	621	tʃáa			iron
203	Yolmo	WHAT	1236	tʃí			what
204	Yolmo			tʃíŋ			to wear a belt
205	Yolmo	TWELVE	1707	tʃíɲi			twelve
206	Yolmo			tʃíɲiba			twelfth
207	Yolmo	BECAUSE	1157	tʃípe làpna			because
208	Yolmo	LIVER	1224	tʃímba			liver
209	Yolmo	ONE	1493	tʃíi			one
210	Yolmo			tʃíiraŋ			alone; same; lonely; only
211	Yolmo	ELEVEN	1706	tʃúdʒi			eleven
212	Yolmo			tʃúdʒiba			eleventh
213	Yolmo	SEVENTEEN	2453	tʃúptin			seventeen
214	Yolmo			tʃúp			to imprison
215	Yolmo	FOURTEEN	2451	tʃúpʃi			fourteen
216	Yolmo	THIRTEEN	1708	tʃúpsum			thirteen
217	Yolmo			tʃúba			tenth
218	Yolmo	NINETEEN	1714	tʃúrku			nineteen
219	Yolmo	FIFTEEN	1709	tʃéŋa			fifteen
220	Yolmo			tʃétʃe			mother's younger  sister
221	Yolmo			tʃétʃe tʃómbo			 mother's elder sister
222	Yolmo			tʃén			tiger; lion
223	Yolmo	HEAVY	1210	tʃéndi			heavy
224	Yolmo	SMALL	1246	tʃéemi			small
225	Yolmo	BROKEN	588	tʃhá tʃába			 broken
226	Yolmo			tʃháuki			army  barracks
227	Yolmo	HAND	1277	tʃhák			hand,  honorific
228	Yolmo			tʃháŋgela			 drunkard
229	Yolmo	BREAK (DESTROY OR GET DESTROYED)	680	tʃhá			to break
230	Yolmo	CHOOSE	1750	tʃhán			to choose
231	Yolmo	DANCE	1879	tʃhám			to dance
232	Yolmo	EGG	744	tʃèmu kòŋa			egg
233	Yolmo	EGG	744	tʃèmendo			egg
234	Yolmo			tʃóŋ			chives
235	Yolmo	RUN	1519	tʃóŋ			to run
236	Yolmo	DO	813	tʃòl			to do
237	Yolmo	STRAIGHT	1404	tʃháre			straight
238	Yolmo	NECKLACE	1961	tʃhálda			necklace
239	Yolmo			ih ŋtná [tʃhálda kyàpti			bound
240	Yolmo	URINE	1142	tʃíŋ			urine
241	Yolmo			tʃhípa			Hindu
242	Yolmo	THIN	2308	tʃìpa			thin, of people
243	Yolmo			tʃhúda			millstone
244	Yolmo	CHEESE	1569	tʃhúrpi			cheese
245	Yolmo			tʃhé			eat ; drink
246	Yolmo			tʃhép			to give to each other
247	Yolmo	LIZARD	632	tʃhépare			lizard
248	Yolmo	PUT	998	dʒàa			put
249	Yolmo			dʒàmbala			The  god of wealth, also known as  Kubur to Hindus
250	Yolmo	FINE (PENALTY)	218	dʒàmbu			fine,  small
251	Yolmo	LEAVE	1752	ʒàa			to leave
252	Yolmo	SALIVA	1503	tʃhémaŋ			saliva
253	Yolmo	GRASS	606	tʃhée			grass
254	Yolmo	ISLAND	622	tʃhó			island
255	Yolmo	LIP	478	tʃhódo			lip
256	Yolmo	BIG	1202	tʃhómbo			big
257	Yolmo			tʃhórten			stupa
258	Yolmo			dʒàra			snack
259	Yolmo	SUCK	1421	dʒìp			to suck
260	Yolmo			dʒù			to sew grain
261	Yolmo	OLD (AGED)	2112	dʒèʈi			elder
262	Yolmo	TWO	1498	ɲí			two
263	Yolmo			ɲì			first person plural exclusive
264	Yolmo	SLEEP	1585	ɲí tsé			to sleep
265	Yolmo			ɲìp			to swallow something
266	Yolmo	SECOND	1384	ɲíba			second
267	Yolmo			ɲìma			sun; day
268	Yolmo			ɲílo			to feel sleepy
269	Yolmo	FISH	227	ɲà			fish
270	Yolmo	PLAY	1413	tsá			to play
271	Yolmo			tsámba			raspberry
272	Yolmo			ɲàl			to lay  down, or to sleep
273	Yolmo	BORE	1501	ɲúŋ			drill
274	Yolmo	NORTH	1598	ɲùm			north
275	Yolmo			ɲé			to pass
276	Yolmo			ɲé			to chase
277	Yolmo			ɲén			ally, friend or relative
278	Yolmo	LISTEN	1608	ɲèn			to listen
279	Yolmo	PILLOW	1044	ɲébul			pillow
280	Yolmo			ɲér			to annoy
281	Yolmo	BUY	1869	ɲò			to buy
282	Yolmo	DIRTY	1230	ɲókpa			dirty
283	Yolmo			ɲòŋ			to suffer hardship
284	Yolmo			ɲóŋba			an insane person
285	Yolmo	ROOT	670	tsárŋi			root
286	Yolmo	SHUT	1046	tsúm			to close
287	Yolmo			tsém			to sew cloth
288	Yolmo	VEIN	1924	tsà			vein
289	Yolmo	DOWN OR BELOW	2094	tsáala			below
290	Yolmo	MOLE	1907	tsík tsíba			mole
291	Yolmo	WALL (OF HOUSE)	933	tsíkpa			wall
292	Yolmo	TONGS	272	tsímʈa			tongs
293	Yolmo	STUPID	1518	tsókpu			stupid
294	Yolmo	LATCH	1012	tsúkul			latch
295	Yolmo			tséma			a curry made of  vegetables; vegetable
296	Yolmo			tsélba			a large conical basket loosely woven for  carrying and transporting  things
297	Yolmo	SELL	1571	tsòŋ			to sell
298	Yolmo			tsóp			pickle
299	Yolmo			tsòra			a hand hoe
300	Yolmo	SALTY	1091	tshápré			salty
301	Yolmo	SALT	1274	tshá			salt
302	Yolmo	KNEE	1371	tshákpaliŋ			knee
303	Yolmo	SIDE	682	tshúr			side, this
304	Yolmo	HOT	1286	tʃùru			hot
305	Yolmo	VULTURE	1185	tshárkya			vulture
306	Yolmo	CHOKE	129	tshál			to choke
307	Yolmo			tshí			to burn with something hot
308	Yolmo			dzàge			pants
309	Yolmo			dzàti			group
310	Yolmo			dzà			to climb up
311	Yolmo			tshér			to be sad
312	Yolmo	LAZY	1564	tshérsi			lazy
313	Yolmo			tshóp			food offered during religious event
314	Yolmo			tshól			to search
315	Yolmo			tshólam			top of the head, where the hair parts
316	Yolmo			dzáberdʒasti			force
317	Yolmo	NECK	1333	dzìŋba			neck
318	Yolmo	FEAR (BE AFRAID)	1419	dzì			to fear
319	Yolmo	MAKE	734	zò			to make
320	Yolmo	HORSE	615	ʈàbu			horse
321	Yolmo			ʈálti			to patch
322	Yolmo			ʈáʃi dèle			greetings
323	Yolmo	STUDY	1929	ʈàa			to study, not commonly used
324	Yolmo			ʈàa			to recover
325	Yolmo			ʈì			to pull along
326	Yolmo			ʈíka			tika, a blessing given by placing a tika on the  forehead
327	Yolmo			zì			to get drunk
328	Yolmo			ʈá			hair on the head
329	Yolmo	ENEMY	1358	ʈà			enemy
330	Yolmo	PHEASANT	3060	ʈà			pheasant
331	Yolmo	TIE	1917	ʈà			to bind
332	Yolmo	FLAT	1633	ʈáŋga			flat
333	Yolmo	SWELL	1573	ʈáŋ			to swell
334	Yolmo	COLD	1287	ʈàŋmu			cold
335	Yolmo	MONEY	1559	ʈáŋa			money
336	Yolmo	TENT	1316	ʈáʒaŋ			tent
337	Yolmo	SCAR	497	ʈáʈe			scar
338	Yolmo			ʈáp			to winnow
339	Yolmo			ʈàba			a Buddhist monk
340	Yolmo	GET	694	dzòr			to get
341	Yolmo			ʈíŋbur			a boil
342	Yolmo			ʈìpsa			a shadow
343	Yolmo			ʈìma			aroma or smell
344	Yolmo	ASK (INQUIRE)	1309	ʈìi			to ask
345	Yolmo	SIX	1703	ʈù			six
346	Yolmo	SIXTY	1718	ʈùktʃu			sixty
347	Yolmo	GATHER	7	ʈúk			to gather
348	Yolmo			ʈùkpa			sixth
349	Yolmo	BUTTON	757	ʈúŋ			button
350	Yolmo			ʈùp kàla			joyfully, with pleasure
351	Yolmo			ʈùl			to rub in
352	Yolmo			ʈè			advice
353	Yolmo			ʈò			to read; to study
354	Yolmo	WHEAT	1077	ʈò			wheat
355	Yolmo	WARM	1232	ʈòmbo			warm
356	Yolmo			ʈókari			large basket made of bamboo
357	Yolmo	ANT	587	ʈòmaŋ			ant
358	Yolmo			ʈòlkar			the goddess known as Green Tara in Hindu culture
359	Yolmo			ʈòlma			the goddess known as White Tara in Hindu culture
360	Yolmo	SCHOOL	673	ʈòsa			school
361	Yolmo	JEALOUS	2821	ʈhádok			jealous
362	Yolmo	BILE	1780	ʈhíba			bile
363	Yolmo	KING	1508	ʈhú			ruler
364	Yolmo	WASH	1453	ʈhú			to wash
365	Yolmo	MANNER	488	ɖàŋa			manner
366	Yolmo	CHEEK	1730	ɖàmba			cheek
367	Yolmo			ɖàlo			spherical
368	Yolmo			ɖìi			to match; to fit; to go together
369	Yolmo	GRAIN	605	ɖù			grain
370	Yolmo	DRAGON	2038	ɖùk			dragon
371	Yolmo	MONEY	1559	ɖèba			money
372	Yolmo	GO	695	ɖò			to go
373	Yolmo	GUEST	1782	ɖòmbo			guest
374	Yolmo			tà			an emphatic marker
375	Yolmo	SEND	1127	táŋ			to send
376	Yolmo	THROW	1456	táŋ			to throw, to scatter
377	Yolmo	COUNT	1420	tàŋ			to count
378	Yolmo	OPEN	1156	tàŋ			to open
379	Yolmo			táŋgu			rhododendron
380	Yolmo	BEFORE	1882	tàʒi			before
381	Yolmo	NOW	1376	tàze			now
382	Yolmo	LOOK	1819	tá			to look
383	Yolmo			táp			to scatter
384	Yolmo	FALL	1280	tàp			to fall,  animate objects falling from  an abject
385	Yolmo	NOW	1376	tàpse			now
386	Yolmo			tám			language; word
387	Yolmo			tám ʃék			gossip
388	Yolmo	TIE	1917	tàm			to tie, bind or weave
389	Yolmo	AXE	677	tári			axe
390	Yolmo			tàra			buttermilk
391	Yolmo	LATE	477	tàlda			later
392	Yolmo			táa			to wear jewellery or glasses
393	Yolmo	NOW	1376	tàa			now
394	Yolmo	DEEP	1593	tì rùŋbu			deep
395	Yolmo			tíkis			a back apron, a traditional item of clothing,  worn by married women
396	Yolmo	NEXT	1354	tíŋgi			next
397	Yolmo			tíŋ			to spread something like a cloth
398	Yolmo	FOOT	1301	tíŋba			foot
399	Yolmo			tìŋal			be sad, worried or upset
400	Yolmo	WEEK	1469	tìnɖa			week
401	Yolmo			tìnba			seventh
402	Yolmo	BEE	665	típáama			bee
403	Yolmo	SMOKE (INHALE)	1689	tìpa			smoke
404	Yolmo			tén			to pull something out
405	Yolmo	GO OUT	1107	tèn			to go out
406	Yolmo	SOME	1241	tíbirere			some
407	Yolmo	NAVEL	1838	tíya			navel
408	Yolmo	LADDER	1464	téba			ladder
409	Yolmo	SESAME	2797	tíl			sesame
410	Yolmo	BURN	2102	tìi			to burn
411	Yolmo			tíip			a bee
412	Yolmo			tègini tséema			green leafy vegetable, not  grown but found in the  forests
413	Yolmo			tùŋda			a hit
414	Yolmo			tùŋ			to hit; to thresh
415	Yolmo			túŋbo dzùk			ancient
416	Yolmo	CUT	1432	túp			to cut
417	Yolmo	REMEMBER	707	é ŋyáp			to remember
418	Yolmo	GIVE	1447	tér			to give
419	Yolmo	PLATE	480	tèrma			plate
420	Yolmo			tórma			a small statue  made of rice and offered to  the gods
421	Yolmo	STONE	857	tò			stone
422	Yolmo			tòkpa			upper part of foot
423	Yolmo	EMPTY	1624	tòŋba			empty
424	Yolmo	FACE	1560	tòŋba			face
425	Yolmo	NARROW	1267	tòŋbu			narrow
426	Yolmo	TREE	906	tòŋbo			tree
427	Yolmo	FIRST	728	tòŋbo			first
428	Yolmo	BEFORE	1882	tòŋla			before
429	Yolmo			tòtʃe			a traditional Tibetan blouse worn by women
430	Yolmo	BEAR	1820	tòm			bear
431	Yolmo			tóryaŋ			sponge  gourd
432	Yolmo	HOLE	1667	tòlbo			hole
433	Yolmo			tòo			indication a distance that is far but still visible
434	Yolmo			tòo			to put down
435	Yolmo			toóʒi			a hoe
436	Yolmo	THIS	1214	tóodi			this, that
437	Yolmo			tòodi			a distant, but still visible item
438	Yolmo	BE HUNGRY	1533	tóoba			hungry
439	Yolmo	ROPE	1218	thákpa			rope
440	Yolmo	REST	168	tháŋ sál			to rest
441	Yolmo			thál			numeral classifier, used only for  emphasis of number
442	Yolmo	DIRT	25	thálbi			dirt
443	Yolmo	SECOND	1384	thála			second
444	Yolmo	DUST	2	thála			dust
445	Yolmo	DRINK	1401	thúŋ			to drink
446	Yolmo			thútʃe tʃhée			thank you
447	Yolmo	MEET	1831	thú			to meet
448	Yolmo	STRAIGHT	1404	théka			straight
449	Yolmo	HEAR	1408	thé			to hear
450	Yolmo	GO OUT	1107	thén			to go out
451	Yolmo			thén			to stretch something
452	Yolmo	SHORT	1645	théemi			short
453	Yolmo	PLOUGH	1921	thóŋ			plough
454	Yolmo	SEE	1409	thóŋ			to see
455	Yolmo			thóŋ			to be seen
456	Yolmo			thó			to cradle
457	Yolmo	HIGH	1265	thómbo			high, or tall
458	Yolmo	ABOVE	1741	thóla			above
459	Yolmo	TAKE	1749	thóo			to take
460	Yolmo	JOIN	1743	thí			to join
461	Yolmo	KETTLE	854	thíbri			kettle
462	Yolmo			thúkpa			a thick porridge made from rice or ground millet
463	Yolmo			dà			bow and arrow
464	Yolmo			dàkla			raisin
465	Yolmo			dàg			base of a tree, used only for trees
466	Yolmo	MOON	1313	dàgarmu			moon
467	Yolmo	YESTERDAY	1174	dàŋ			yesterday
468	Yolmo			dàŋ tèriŋ			nowadays
469	Yolmo			dàŋ			to have enough of something
470	Yolmo	MANY	1198	dàʒe			many
471	Yolmo			dàpa			parcel
472	Yolmo	CHOOSE	1750	dàm			to choose
473	Yolmo			dàri			carpet
474	Yolmo	HERE	136	dàla			here
475	Yolmo			dàsain mèndo			marigold
476	Yolmo	LICK	319	dàa			to lick
477	Yolmo			dì			this; the third singular pronoun, used for  inanimate objects, animals  and human referents in  narratives that have already  been introduced
478	Yolmo			dìnla			in front of  something
479	Yolmo			dù			the copular used  something is new to the  speaker
480	Yolmo			dùp			incense
481	Yolmo			dènɖa			to do something in this way
482	Yolmo			dèlegi			from there
483	Yolmo	COUNTRY	1300	dèʃ			country
484	Yolmo	COIN	1867	dèk			coin
485	Yolmo	TOUCH	1892	dèe			to touch
486	Yolmo			nà			to be sore or ill
487	Yolmo	BLACK	163	nàkpu			black
488	Yolmo	DAY AFTER TOMORROW	1179	nàŋ dìna			the day after tomorrow
489	Yolmo	BEGGAR	1934	náŋgandi			beggar
490	Yolmo			náŋ			to ask for something, polite form
491	Yolmo	TOMORROW	1329	nàŋbar			tomorrow
492	Yolmo			náŋma			Buddhist
493	Yolmo			nàŋma			the inner layer of a basket
494	Yolmo			nàŋla			inside; among
495	Yolmo			nàdi			ill or sick
496	Yolmo	SHOP	746	dógan			shop
497	Yolmo			dòp			bushland
498	Yolmo	NASAL MUCUS (SNOT)	208	nápʃal			snot, or  nasal mucus
499	Yolmo	RAIN (RAINING)	1253	nám kyàp			rain
500	Yolmo	WHEN	1238	nàm			when
501	Yolmo	THUNDER	1150	nám thá			thunder, lightening
502	Yolmo	EARLY	672	nàm súmu			early
503	Yolmo	EAR	1247	námdzo			ear
504	Yolmo	DIRTY	1230	námda			dirty
505	Yolmo			námli			headstrap
506	Yolmo	NOSE	1221	náasum			nose
507	Yolmo			náaso			a gift
508	Yolmo			ní			adds politeness to the utterance
509	Yolmo	OLD	1229	níŋba			old
510	Yolmo			nímaba			a large, sour citrus
511	Yolmo			núŋtʃa			an idea
512	Yolmo	OIL (ORGANIC SUBSTANCE)	1484	núm			oil
513	Yolmo			nùrpu			diamond
514	Yolmo			nùrma			a type of alcoholic drink
515	Yolmo			néki			a smaller cooking pot, often made of bronze
516	Yolmo	SING	1261	nèn			to sing
517	Yolmo			nèpa			sick person; sore
518	Yolmo	OAT	60	née			oats
519	Yolmo			née kór			pilgrimage
520	Yolmo	THINK	2271	née			to think
521	Yolmo	PAINFUL	1129	néendi			hurt
522	Yolmo			néesa			a resting place near a road
523	Yolmo	SPOIL (SOMEBODY OR SOMETHING)	92	nòŋ			to spoil
524	Yolmo	SHARP	1396	nómbo			sharp
525	Yolmo	YOUNGER SISTER	1761	nòmo			younger sister
526	Yolmo			nòrgunma			the Hindu goddess Laxmi, as  worshiped by some Yolmo  people
527	Yolmo	YOUNGER BROTHER	1760	nòo			younger brother
528	Yolmo	BAMBOO	1927	páʈap			bamboo, large
529	Yolmo	SIDE	682	páʈi			side
530	Yolmo	COW	1007	pàlaŋ			cow
531	Yolmo			pàk			dumpling
532	Yolmo	MOTORCYCLE	638	pàkpa			motorbike
533	Yolmo			pàkpe tsámba			wheat flour
534	Yolmo			pàka			married
535	Yolmo			páŋdza			grassy field
536	Yolmo	WET	1726	pàŋpaŋba			wet
537	Yolmo			pádi kàŋ			one  thousand
538	Yolmo			pádi tʃú			ten  thousand
539	Yolmo			pánbu			the rim of a  basket
540	Yolmo	DRAGONFLY	2352	pánima bù			 dragonfly
541	Yolmo	BARK	1204	pába			tree bark
542	Yolmo	BETWEEN	689	pàrkila			between
543	Yolmo			pár			to light a candle
544	Yolmo	ROOF	769	páli			roof
545	Yolmo	FROG	503	pàlba			frog
546	Yolmo	SPINACH	975	páluŋ tséma			spinach
547	Yolmo			pásagi tséma			mustard greens
548	Yolmo	HOLD	1448	pàa			to hold
549	Yolmo	WEDDING	1259	pàama			wedding
550	Yolmo			páalo			a turn
551	Yolmo			pí			to take off
552	Yolmo			pìtʃa			or ; again
553	Yolmo			pìʒa			baby; child
554	Yolmo	BIRD	937	píʈuli			bird
555	Yolmo	PORCUPINE	2510	pìtiri			porcupine
556	Yolmo	STOOL	2058	pírka			stool
557	Yolmo			pírma			semolina
558	Yolmo	STRAW	2299	páral			straw
559	Yolmo			pìru			coral, or a necklace made of coral
560	Yolmo	SMALL	1246	pìru			small
561	Yolmo	SON	1620	pù			son
562	Yolmo			pùŋga			mustard
563	Yolmo			pùzi			a wooden tumbler  with lid specifically for raksi
564	Yolmo			póŋ			jar
565	Yolmo			pòtsi			gills
566	Yolmo			pótrika			magazine
567	Yolmo	DAUGHTER	1357	pòmo			daughter
568	Yolmo			pòrtsa			bamboo matting
569	Yolmo	LEAVE	1752	pòr			leave
570	Yolmo			póldum			pants
571	Yolmo			póla			rice husks, chaff
572	Yolmo	NEAR	1942	pòla			near
573	Yolmo			pùmba			a metal jug  with a thin spout
574	Yolmo	DO	813	pè			to do
575	Yolmo			pé bùr			censer
576	Yolmo	WOMAN	962	pèmpiʒa			woman
577	Yolmo			pèe			Tibet, more specifically, Lhasa
578	Yolmo	WIFE	1199	pèemi			wife
579	Yolmo			pò			to come out
580	Yolmo			pyáŋ			to hang  something
581	Yolmo			pyàk			parcel
