ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script
64	Lowa			em‍magu			 first one	एम्मागकु
65	Lowa			ewa			 valuated, evaluated	एिा
66	Lowa			ewa Hpegin			 evaluate	एिा्पगे ीि
67	Lowa			ok‍ma			 part of neck	ओकम् ा
68	Lowa			ok‍men			 small music player	ओकम् िे
69	Lowa			oŋ			s call	ओङ
70	Lowa			oŋdi			s name	ओङदी
71	Lowa			ot‍to			 small bullock	ओत्तो
72	Lowa			omo			 heifer	ओमो
73	Lowa	SOCK	1522	omoso			 socks	ओमोसो
74	Lowa			omosoji ʟsjamo			 beannie, handwoven woolen cap	ओमोसोयी्श्यामो
75	Lowa			orkin			 cause to collapse	￼￼￼ओरकीि
76	Lowa			owa			 colour of a yak	￼￼￼￼ओिा
77	Lowa			osjøna			word used as the pretence or pretext of satisfaction at the suffering of others	ओस्यछो़िा
78	Lowa			øhøøhø			 sound of a cough	ओहछो़ओहछो़
79	Lowa	ROOT	670	Hkaːdza			 root, bottom	काःजा
80	Lowa	CUP	476	Hkai			 cup	काई
81	Lowa			Hkaukaŋen			 friends, acquaintances, relations	काउकाङेि
82	Lowa			Hkak			agbeni	काक
83	Lowa			Hkak Hkak			 sound made while drinking water	काक्काक
84	Lowa			Hkatsjha			 grade, rank, standard	￼￼￼काका
85	Lowa			Hkaŋdzak‍pa			 having a	काङजाक्पा
86	Lowa			Hkaŋɖo			 peddle on a weaving loom	काङडो
87	Lowa	FOOT OR LEG	2098	Hkaŋba			 foot, leg	काङबा
88	Lowa	FOOTPRINT	318	Hkaŋbi ʟtsʝe			 footprint	काङबी्झ्ये
89	Lowa			Hkaŋbi Hthi			 bottom of feet	काङबी्थी
90	Lowa	TRUMPET	775	Hkaŋliŋ			 trumpet	काङलीङ
91	Lowa	GRIEF	1668	Hkaŋen			 sorrow, grief	￼￼￼￼काङेि
92	Lowa	WHITE	1335	Hkatsjiŋ			 white	काच्यीङ
93	Lowa			Hkatsjiŋ dak‍wa			 bright moon	काच्यीङ्दाक्िा
94	Lowa			Hkadza			 lawsuit	काजा
95	Lowa			Hkadzi			 foot print	काजी
96	Lowa			Hkaʈa			 mixture of black and white	काटा
97	Lowa	LIGHT (WEIGHT)	1052	Hkat‍taŋ			 light, brightness	कात्ताङ
98	Lowa			Hkat‍tok			s eye	कात्तोक
99	Lowa	BRIGHT	679	Hkat‍wai			 shining, bright, radiant	कात्िाई
100	Lowa			Hkap‍tsuje			 man who irrigates a farm	काप्चकुये
101	Lowa			Hkap‍ju			 piece of wood placed on a pillar	काप्यकु
102	Lowa	TONGS	272	Hkaba			 tongs	काबा
103	Lowa			Hkam‍dza			 place for drying	काम्जा
104	Lowa			Hkamm‍ a ʟtuwadzup‍ri			 comet	काम्मा्धकुिाजकुप्री
105	Lowa			Hkam‍ma Hmin‍ɖu			 comet	काम्मा्ॱमीन्डकु
106	Lowa			Hkartok			 night blindness	कारतोक
107	Lowa			Hkarma Htoʟʈuk‍pa			 group of six stars	कारमा्तोढकुक्पा
108	Lowa			Hkarma ʟrik‍tsjiŋ			 name of a star	कारमा्रीक्च्यीङ
109	Lowa	STARLIGHT	2836	Hkarmi ʟhøk			 starlight	कारमी्हछो़क
110	Lowa			Hkarakori			 small and round	काराकोरी
111	Lowa			Hkaligan‍ɖaki			andaki	कालीगान्डाकी
112	Lowa	DIFFICULT	584	Hkal‍le			 difficult, hard uneasy	काल्ले
113	Lowa	DIFFICULT	584	Hkal‍le ʟka			 complicated, difficult	काल्ल्े घा
114	Lowa	DIFFICULT	584	Hkal‍le ʟkak‍po			 difficult	काल्ल्े घाक्पो
115	Lowa	DIFFICULT	584	Hkal‍le ʟkak‍wa			 difficult	￼￼￼￼काल्ल्े घाक्िा
116	Lowa	DOG	2009	Hki			 dog	की
117	Lowa			Hki Hnjam			 entertainment, recreation	की्ॱङयाम
118	Lowa			Hki Hmuk‍kin			 b a r k	की्ॱमकुक्कीि
119	Lowa	TIE	1917	Hkik‍kin			 tie, tie up, bind, fasten, gird, confine to imprison, bind	की्क्कीि
120	Lowa	FLEA	232	Hkik‍pa			 flea	कीक्पा
121	Lowa	LEND	582	Hkigin			 provide loan, lend	कीगीि
122	Lowa	HAPPINESS	2941	Hkiŋjam			 happiness	कीङयाम
123	Lowa	WASH	1453	Hkiʈikiʈi			 wash	्यातु कर्आवयाज sound of teeth biting कीटीकीटी
124	Lowa	HAPPY	1495	Hkida			 pleasant, happy, blissful, restful	कीदा
125	Lowa	HAPPINESS	2941	Hkipu			 pleasure, bliss, happiness	कीपकु
126	Lowa			Hkipu ʟmegin			harsh,measurable	कीपकु्मगे ीि
127	Lowa	FOX	1312	Hkip‍tsaŋ			 fox	कीप्चाङ
128	Lowa	PUPPY	74	Hkip‍ruk			 puppy	कीप्रूक
129	Lowa			Hkiphuri			 delighted, joyous	कीफकुरी
130	Lowa			Hkiba Htek‍kin			 repay	कीबा्तके ्कीि
131	Lowa			Hkimiliŋ			 name of a village	￼￼￼कीमीलीङ
132	Lowa			Hkiwu			 word to call someone at a distance	कीिकु
133	Lowa			Hkisjuri			 comfortably	कीस्यकुरी
134	Lowa			Hkyn‍gjek Hpugin			 offer money to a lama	की़न्ग्येक्पकुगीि
135	Lowa			Hkyn‍dzuŋ			 smuggler	की़न्जकुङ
136	Lowa	IDOL	1945	Hku			image,idol	ककु
137	Lowa			Hkukuk			 curly, curled, twisted	ककुककुक
138	Lowa			Hkuk‍tse			 plant used while starting a fire	ककुक्चे
139	Lowa	STUPID	1518	Hkuk‍pa			 foolish, stupid, dull	ककुक्पा
140	Lowa			Hkuŋga			s name	ककुङगा
141	Lowa	CHAIR	1476	Hkutsi			 chair	ककुची
142	Lowa			Hkudzin			 theft, robber	ककुजीि
143	Lowa	THIEF	1160	Hkudzin Hkuma			 thief, robber, looter	ककुजीि्ककुमा
144	Lowa			Hkuʈa			 small stupa made up of mud	ककुटा
145	Lowa			Hkut‍ta			 collarless shirt	ककुत्ता
146	Lowa			Hkuduru Hkuduru			 sound of chewing roasted peas	ककुदरूकु ्ककुदरूकु
147	Lowa			Hkudok ʟjok‍kin			 make thread	ककुदोक्योक्कीि
148	Lowa	BOTTOM	690	Hkup			 bottom, buttocks, fundament	ककुप
149	Lowa	CHAIR	1476	Hkup‍kjak			 chair	ककुप्क्याक
150	Lowa			Hkubaː			 frame having photo of a	ककुबाः
151	Lowa	KING	1508	Hkum‍di			 king, monarch, sovereign	ककुम्दी
152	Lowa			Hkuru			 device to cut wool	ककुरू
153	Lowa			Hkula Hsjorkin			getstolen	ककुला्स्योरकीि
154	Lowa	SOUND OR NOISE	1811	Hkek			 sound, voice, tone, language	के क
155	Lowa	HEAR	1408	Hkek ʟkok‍kin			hear	के क्घोक्कीि
156	Lowa	MANNER	488	Hkek‍lu			 manner	के क्लकु
157	Lowa	BIRTHDAY	2407	Hkegin ʟtytsjen			 birthday	के गीि्धीच्येि
158	Lowa			Hkedzi Hsa			 native land	के जी्सा
159	Lowa	NOISE	1182	Hkeʈak			 noise, outcry, uproar	के टाक
160	Lowa			Hkeʈak Htsjuŋa			 not current, obsolete, not in use	के टाक्च्यकुङा
161	Lowa	SWORD	1535	Hkeʟʈi			 sword	के ढी
162	Lowa			Hketen			s garment worn at the back	के तिे
163	Lowa	UVULA	2293	Hken			s apple, uvula	के ि
164	Lowa			Hkenaŋ Hlubu			 woollen trousers	के िाङ्ॱलकुबकु
165	Lowa	MALE	1553	Hkepho			 male, man, husband, courageous, brave	￼￼￼के फो
166	Lowa			Hkeba Hjuk‍kin			s hip	के बा्ॱयकुक्कीि
167	Lowa	WIFE	1199	Hkemi			 wife, wife	के मी
168	Lowa	BANANA	868	Hkera			 banana	के रा
169	Lowa			Hkok‍ko			 of	कोक्को
170	Lowa	UVULA	2293	Hkoŋɖa			 uvula	कोङडा
171	Lowa			Hkoŋɖuwa			 dwarf	कोङडकुिा
172	Lowa			Hkodzo			 exclamation of alarm, word used to express surprise	कोजो
173	Lowa			Hkote			 type of edible plant	कोते
174	Lowa			Hkon‍nak			person accepting a bribe	कोन्िाक
175	Lowa	PEEL	275	Hkop‍jak ʟsjygin			 peel	कोप्याक्श्यीगीि
176	Lowa			Hkom‍rela Hsjigin			 die of dehydration	कोम्रेला्स्यीगीि
177	Lowa			Hkork‍wa			 surrounded, encircled	कोरक्िा
178	Lowa			Hkorija			orea	कोरीया
179	Lowa			Hkowa Htum‍gin			 wrap with animal skin	कोिा्तकुम्गीि
180	Lowa	CHOOSE	1750	Hkøgin			 appoint, choose	कछो़गीि
181	Lowa			Hkøn‍da			 scarcity	कछो़न्दा
182	Lowa			Hkøba			 plan	कछो़बा
183	Lowa			Hkja Hthuk‍kin			 can be reached	क्या्थकुक्कीि
184	Lowa			Hkjaː			 name of a colour	क्याः
185	Lowa			Hkjai ʟʈam			 base of wall	क्याई्ढाम
186	Lowa	STOOL	2058	Hkjak‍pa			 stool, faeces	क्याक्पा
187	Lowa			Hkjateri			 draught	￼￼￼￼क्यातरे ी
188	Lowa	BRIGHT	679	Hkjatoi			 bright	क्यातोई
189	Lowa			Hkjathiŋi			s scene	क्याथीङी
190	Lowa			Hkjyrak			 ordinary alcohol	क्यीराक
191	Lowa			Hkjyri			 sour smell	क्यीरी
192	Lowa	VOMIT	1278	Hkjuk‍kin			 vomit	क्यकुक्कीि
193	Lowa			Hkjuk‍pe			 a while	क्यकुक्पे
194	Lowa			Hkjuk‍lok ʟgjap‍kin			 nausea, feeling	क्यकुक्लोक्ग्याप्कीि
195	Lowa			Hkjuŋdak			 lampstand	￼￼￼क्यकुङदाक
196	Lowa	SOUR	1906	Hkjur			 sour, tart, acid	क्यकुर
197	Lowa			Hkjurtsi			 drinking of alcohol or wine, intemperance, drunkenness	क्यकुरची
198	Lowa	SOUR	1906	Hkjurmo			 sour, tart, acid, pungent, sharp, citron, vinegar	क्यकुरमो
199	Lowa			Hkjolu			 lament, dirge	क्योलकु
200	Lowa	INJURE	44	Hkjøn ʟtsʝuŋgin			injure	क्यछो़ि्झ्यकुङगीि
201	Lowa	TOILET	219	Htsjhakaŋ			 toilet, lavatory	काकाङ
202	Lowa			Htsjhak‍taŋ			 behaviour	काक्ताङ
203	Lowa	DIRT	25	Htsjhak‍ruk			 dirt, rubbish	काक्रूक
204	Lowa			Htsjhaŋ			 type of alcohol	काङ
205	Lowa			Htsjhaŋ Htsemu			 ordinary liquor	￼￼￼काङ्चमे कु
206	Lowa			Htsjhaŋ Hthuŋgin			 drink wine	काङ्थकुङगीि
207	Lowa			Htsjhaŋdzak			 net to filter wine	काङजाक
208	Lowa			Htsjhap‍ka			 type of alcohol made from fermented rice	काप्का
209	Lowa			Htsjhamek			 single	कामके
210	Lowa			Htsjham‍dze			 coordinating	काम्जे
211	Lowa	ALWAYS	1676	Htsjhaji			 always, at all times, constantly	￼￼￼कायी
212	Lowa			Htsjhar Htsjharrr			 sound of water fall	कार्काररर
213	Lowa			Htsjharrr			 sound of water	काररर
214	Lowa			Htsjhalak Htsjhalak			 sound of water in a vessel not fully filled	कालाक्कालाक
215	Lowa			Htsjhawa Htsjhok‍kin			 stop rain	कािा्कोक्कीि
216	Lowa	SOUND OR NOISE	1811	Htsjhik			 sound, noise, voice, word	कीक
217	Lowa			Htsjhik‍kin			 rotten food	￼￼￼￼कीक्कीि
218	Lowa			Htsjhikja			 foreigner	कीक्या
219	Lowa			Htsjhila			 for, for the sake of	कीला
220	Lowa	CROOKED	297	Htsjhykjok			 bent, crooked, twisted, unfavourable, perverse	कीक्योक
221	Lowa	WATER	948	Htsjhu			 water	ककु
222	Lowa	WATERFALL	943	Htsjhu Htsjhara			 waterfall, cascade	ककु्कारा
223	Lowa			Htsjhu gagin			 cross a stream	ककु्गागीि
224	Lowa	HIGH TIDE	613	Htsjhu ʟg‍jegin			flood,risein	ककु्ग्येगीि
225	Lowa			Htsjhu ʟtsʝegin			 change in climate according to locality	ककु्झ्येगीि
226	Lowa	ENGINE	2622	Htsjhu Htok‍kin ʟmoʈa			engine	￼￼￼ककु्तोक्कीि्मोटा
227	Lowa	WAVE	978	Htsjhui balap			 wave, ripple, tide	ककुई्बालाप
228	Lowa	GREEDY	2018	Htsjhuk‍tok Htsjhe			 showy, greedy	ककुक्तोक्के
229	Lowa	DO	813	Htsjhuk‍pu			do	ककुक्पकु
230	Lowa			Htsjhuk‍pu baluk			 very rich	ककुक्पकु्बालकुक
231	Lowa			Htsjhutsjhymi ʟju			 afterdeath world	ककुकीमी्यकु
232	Lowa			Htsjhuk‍saŋ			 name of a village	￼￼￼￼ककुक्साङ
233	Lowa			Htsjhuŋdi			ama has given a special spell	ककुङदी
234	Lowa			Htsjhudza			 big water pot	ककुजा
235	Lowa			Htsjhuʈi			 white and blue border of apron	ककुटी
236	Lowa			Htsjhudak			 table to keep water pot	ककुदाक
237	Lowa			Htsjhup‍raŋ			 temporary byre	ककुप्राङ
238	Lowa			Htsjhuma			 watercarrier	ककुमा
239	Lowa			Htsjhumugu			 kerosene, paraffin	ककुमकुगकु
240	Lowa	DROWN	1904	Htsjhula bik‍kin			 drown	￼￼￼ककुला्बीक्कीि
241	Lowa			Htsjhe ʟtsʝuŋgin			 g r o w	क्े झय् कुङगीि
242	Lowa			Htsjheu			 flaunting, flirting, showy, pompous, imitating	कउे
243	Lowa	HALF	816	Htsjhega			 half	कगे ा
244	Lowa			Htsjhen			 boiled wheat	किे
245	Lowa	FINE (PENALTY)	218	Htsjheba			 fine, penalty	कबे ा
246	Lowa	OLD (AGED)	2112	Htsjhebo			elder,big,large, superior	कबे ो
247	Lowa	PROSTITUTE	1610	Htsjhemu			 prostitute, harlot, whore	कमे कु
248	Lowa			Htsjhejok			 greatest, biggest	कये ोक
249	Lowa			Htsjheluk			 culture	कले कुक
250	Lowa			Htsjhewa			 hatred, aversion, antipathy	किे ा
251	Lowa	GREEDY	2018	Htsjhewa Htsjhe			 greedy	किे ा्के
252	Lowa			Htsjho ʟmegin			 valueless	को्मगे ीि
253	Lowa			Htsjhok‍roŋ			 copper string worn to ward off sickness	कोक्रोङ
254	Lowa	TOWARDS	2754	Htsjhok‍la			 towards, the side of, in the direction of	कोक्ला
255	Lowa			Htsjhok‍sum			 three direction	कोक्सकुम
256	Lowa	LEAVE	1752	Htsjhom‍gin			 leave	कोम्गीि
257	Lowa			Htsjhora ʟʈok‍pu			 water mill	कोरा्ढोक्पकु
258	Lowa			Htsjhololok			 sound of water flowing	कोलोलोक
259	Lowa	READ	724	Htsjhø Hlok‍kin			 read, study, recite	कछो़्ॱलोक्कीि
260	Lowa			Htsjhøgin			s hand	कछो़गीि
261	Lowa			Htsjhøgø			s clothes	कछो़गछो़
262	Lowa			Htsjhøʈhi			 table used to offer water during puja	कछो़ठी
263	Lowa	FALSE	3069	Htsjhødima			 false, counterfeit, forged, not real or genuine, artificial, unnatural	कछो़दीमा
264	Lowa			Htsjhøba			od made from flour during worship	कछो़बा
265	Lowa			Htsjhøba Hpugin			 prayer	कछो़बा्पकुगीि
266	Lowa			Htsjhømi			 small earthenware lamp, small copper lamp	कछो़मी
267	Lowa			Htsjhøjok			ama while performing worship	कछो़योक
268	Lowa	RELIGION	661	Htsjhølu			 virtue, religion	कछो़लकु
269	Lowa			Hkha Hkam‍gin			 dry lips	खा्काम्गीि
270	Lowa			Hkha Hkom‍gin			 feel thirsty	￼￼￼खा्कोम्गीि
271	Lowa			Hkha Hkjagin			 embarrass	खा्क्यागीि
272	Lowa	RUDE	1412	Hkha Htsjhe			 rude	खा्के
273	Lowa			Hkha ʟka			 edged	खा्घा
274	Lowa			Hkha ʟŋom‍gin			 quench thirst	खा्ङोम्गीि
275	Lowa			Hkha dzaba			 polite, courteous	खा्जाबा
276	Lowa			Hkha ʟtik‍kin			 mumbler	खा्धीक्कीि
277	Lowa			Hkha Hnuwa			edged	खा्ॱिकुिा
278	Lowa			Hkha Hpe Hthuk‍kin			 able to open	खा्प्े थकुक्कीि
279	Lowa			Hkha ʟjaŋa			 fond of talking, talkative, chatty	खा्याङा
280	Lowa			Hkha Hsaŋa			 capable of speaking fluently, frankly speaking, speaking well	खा्साङा
281	Lowa	ENVY	40	Hkha Hsjum‍gin			 envy	खा्सय् कुम्गीि
282	Lowa			Hkhaini			 powdery drug of tobacco leaves mixed with lime	खाईिी
283	Lowa	PITY	1141	Hkhak			 kindness, pity, mercy, favour, charity	खाक
284	Lowa			Hkhak‍liŋ			 responsibility, charge, care	खाक्लीङ
285	Lowa			Hkhaŋgok			 ruins of buildings	खाङगोक
286	Lowa			Hkhaŋdzuŋ			 small room	खाङजकुङ
287	Lowa			Hkhaŋba Htip‍kin			 destroy building	खाङबा्तीप्कीि
288	Lowa			Hkhaŋru			 debris	खाङरू
289	Lowa			Hkhaŋi			 type of abuse	खाङी
290	Lowa			Hkhatsha			 pungent or hot	￼￼￼खाछा
291	Lowa			Hkhadza ʟkoŋbu			 animal disease	खाजा्घोङबकु
292	Lowa			Hkhadzak			 fine paid for speaking taboo	खाजाक
293	Lowa			Hkhadzy			slamic	खाजी
294	Lowa			Hkhadzuk			 wind with snow	खाजकुक
295	Lowa	STOOL	2058	Hkhadzok			 direction, stool, excreta	खाजोक
296	Lowa	QUIET	1314	Hkhabakhaba			 silent, quiet, silently, complete silence	खाबाखाबा
297	Lowa			Hkham ʟmegin			 unwilling to eat	खाम्मगे ीि
298	Lowa			Hkham‍lok			 lack of	खाम्लोक
299	Lowa	FULL	1429	Hkham‍saŋi			 perfect, full, complete, whole, accomplished, sufficient, detailed	खाम्साङी
300	Lowa			Hkhajak			ibetan tea	खायाक
301	Lowa	APPEARANCE	1017	Hkhari ʟŋop‍tsje			 sketch, appearance	￼￼￼￼खारी्ङोप्च्ये
302	Lowa	ABOVE	1741	Hkhala			 above, on top of, in addition to	खाला
303	Lowa			Hkhaluŋ			hurricane	खालकुङ
304	Lowa			Hkhawa ʟkaŋrak Hkjyri			 heavy snowfall	खािा्घाङराक्क्यीरी
305	Lowa			Hkhawa ʟpady			 thick snow	खािा्भादी
306	Lowa			Hkhawu			 telecommunication	खािकु
307	Lowa			Hkhasjuba			 tempting	खास्यकुबा
308	Lowa			Hkhi			 year of dog	खी
309	Lowa			Hkhikji			 twine	खीक्यी
310	Lowa	BARN OR SHED	3025	Hkhim‍dzuŋ			 granary	खीम्जकुङ
311	Lowa			Hkhu Hpok‍kin			 unload	खकु्पोक्कीि
312	Lowa			Hkhuk‍ru			 halter or wooden nose ring	खकुक्रू
313	Lowa			Hkhuŋre			 curtain of a window	खकुङरे
314	Lowa			Hkhudzu			 snack	खकुजकु
315	Lowa			Hkhumak			 small purse, wallet	खकुमाक
316	Lowa	BRING	692	Hkhul‍la Hsjok			 bring, fetch	खकुल्ला्स्योक
317	Lowa			Hkhusumiʟtegin			 sit calmly	खकुसकुमी्धगेीि
318	Lowa	SHIRT	1622	Hkhen‍dza			shirt	खने ्जा
319	Lowa	DIFFICULT	584	Hkhen‍ʟtok‍wa			 difficult, intricate, hard	खने ्धोक्िा
320	Lowa			Hkhep‍dzaŋ			 profit, gain, advantage	खपे ्जाङ
321	Lowa			Hkhepsaŋ			 profit, gain, advantage	खपे साङ
322	Lowa			Hkhem‍bu			ama	खमे ्बकु
323	Lowa			Hkho Hkhoraŋ			 himself	खो्खोराङ
324	Lowa	IN	1460	Hkhok			 in, inside, within	खोक
325	Lowa	SPIN	121	Hkhok‍kin			 revolve, spin	खोक्कीि
326	Lowa	CRUEL	500	Hkhokdzira			blooded, cruel	खोकजीरा
327	Lowa	ANXIETY	1000	Hkhok‍ʟʈu			 anxiety, trouble, worry	खोक्ढकु
328	Lowa	EMPTY	1624	Hkhok‍toŋba			 hollow, empty	खोक्तोङबा
329	Lowa			Hkhok‍pa Htsjhe			 having strong emotional control	खोक्पा्के
330	Lowa			Hkhok‍pa ʟnaː			 unkind, merciless	खोक्पा्िाः
331	Lowa			Hkhotsje			 surrounding	खोच्ये
332	Lowa	POCKET	1851	Hkhoʈu			 pocket, pouch	खोटकु
333	Lowa			Hkhomu			bellows,pipeor tube bound with a sack to blow fire	खोमकु
334	Lowa			Hkhoraŋ ʟraŋ			 himself	खोराङ्राङ
335	Lowa	CHOPSTICK	2054	Hkhødzi			 chopstick	खछो़जी
336	Lowa	CROOKED	297	Hkjhakjhoi			 crooked	ख्याख्योई
337	Lowa			Hkjhagin			 fully irrigate a field	ख्यागीि
338	Lowa			Hkjhamu			 wandering, roaming	ख्यामकु
339	Lowa			Hkjham‍ɖuk			 wandering, roaming	ख्याम्डकुक
340	Lowa			Hkjharkin			 stumble	ख्यारकीि
341	Lowa	STRANGE	600	Hkjhen‍sa			 strange, surprising, astonishing	￼￼￼ख्येन्सा
342	Lowa			Hkjhok‍toŋ			 youth	ख्योक्तोङ
343	Lowa			Hkjhom‍gin			 loiter aimlessly	ख्योम्गीि
344	Lowa			Hkjhoraŋ			 yourself	￼￼￼￼ख्योराङ
345	Lowa	HUSBAND	1200	Hkjhowa			 husband	ख्योिा
346	Lowa	YOU	1213	Hkjhø			 you	ख्यछो़
347	Lowa			Hkjhø Hkjhoraŋ			yourself	ख्यछो़्ख्योराङ
348	Lowa	CARROT	3085	ʟgadzar			 carrot	गाजार
349	Lowa			ʟgila			 drinking glass, tumbler	गीला
350	Lowa			ʟgue ʟmegin			 immovable	गकुए्मगे ीि
351	Lowa	HOOK	1071	ʟguk			 hook	गकुक
352	Lowa			ʟguti ʟlok‍kin			 incline, lean down, make slightly slanted	गकुती्लोक्कीि
353	Lowa			ʟgun‍gji			 monastery dog	￼￼￼गकुन्ग्यी
354	Lowa			ʟgun‍dri			 preserved, fermented vegetable leaves used to make soup or pickle	गकुन्‍ी
355	Lowa			ʟguruŋ			 name of a caste	गकुरूङ
356	Lowa			-gulak			 suffix on a verb to denote future	-गकुलाक
357	Lowa	MESS	1083	ʟgulumulu			 disorder, confusion, mess	गकुलकुमकुलकु
358	Lowa			-guwa			 also, as well, as	-गकुिा
359	Lowa			ʟges			 gas	गसे
360	Lowa	BEGIN	1806	ʟgo Htsuk‍kin			 start, begin	गो्चकुक्कीि
361	Lowa			ʟgok‍‍ku			 soup made from animal head	गोक्ककु
362	Lowa	PRICE	657	ʟgoŋ			 price, cost	गोङ
363	Lowa			ʟgoŋ Hkhuk‍kin			priceless	गोङ्खकुक्कीि
364	Lowa			ʟgoŋ ʟʈik‍kin			 determine price	गोङ्ढीक्कीि
365	Lowa	PRICE	657	ʟgoŋtsjek			 price, value	गोङच्येक
366	Lowa			ʟgodzek			leader	गोजके
367	Lowa			ʟgoʟtsiŋa			looking hair	गोझीङा
368	Lowa	STORE	752	ʟgodam			 storehouse, repository, warehouse, store, reserve	गोदाम
369	Lowa			ʟgom‍di			 cross over, jump over	गोम्दी
370	Lowa	FORGET	1523	ʟgowa Hkhok‍kin			 forget, be allured	￼￼￼￼गोिा्खोक्कीि
371	Lowa			ʟgowa ʟjik‍kin			 feel nauseous	गोिा्यीक्कीि
372	Lowa			ʟgøn‍gin			 be entangled	गछो़न्गीि
373	Lowa			ʟgjak‍kin			 scatter	ग्याक्कीि
374	Lowa	WIDE	1243	ʟgjatsjhebu			 wide, extended, extensive, spacious	ग्याकबे कु
375	Lowa	COUNTRY	1300	ʟgjagak			 country, territory, region, place	￼￼￼ग्यागाक
376	Lowa			ʟgjagek			indi	ग्यागके
377	Lowa	WALL (OF HOUSE)	933	ʟgjaŋ			 wall	ग्याङ
378	Lowa			ʟgjaŋgjaŋ			 inclined	ग्याङग्याङ
379	Lowa	PLAIN	652	ʟgjaŋgjaŋla			 plain, diagonal, crosswise, slanting	ग्याङग्याङला
380	Lowa	FAR	1406	ʟgjaŋdu			 distant, far off	ग्याङदकु
