ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script1	script2	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
33	Gyalsumdo			amlõ			without (enough) salt, lacking salt	आम्लोँ	नुन नभएको	adj		???	
34	Gyalsumdo	HATE	1607	amlokke			to hate	आम्लोक्‍के	घृणा	v	1607	HATE	1
35	Gyalsumdo			ar			located between, middle; frequently occurs with dat suffix -la	आर्	बिचमा	loc	1093	MIDDLE	4
36	Gyalsumdo			ara			general term for distilled liquor	आरा	रक्सी	n		???	
38	Gyalsumdo			arku			remains of grain after brewing and processing into liquor	आर्कु	रक्सी बनाई सकेपछि बाँकी रहेको छोक्रा	n		???	
39	Gyalsumdo	BRICK	1006	arpak			brick	आर्पाक्	इँटा	n	1006	BRICK	2
40	Gyalsumdo			alu			potato (< Nep )	आलु	आलु	n	593	POTATO	4
41	Gyalsumdo			alupa			curry comprised of potato as a main ingredient (< Nep )	आलुपा	आलुको तरकारी	n		???	
42	Gyalsumdo			aloŋ			ornament, for example a gold ring with ornamental or decorative finish	आलोङ्	सुनको रिङ जस्तोमा बुट्टा लगाउने २,२;५ तोलाको गहना	n	917	ORNAMENT	4
43	Gyalsumdo			ʂasa			place of burning, cremation spot	श्रासा	पोल्ने ठाँउ	n		???	
44	Gyalsumdo			aʃaŋ			one item	आशाङ्	मामा, ससुरा	n		???	
45	Gyalsumdo			aʃaŋku			members of a marriage procession on the side of the bridegroom	आश्याङ्कु	केटीपट्टिका जन्ती	n		???	
46	Gyalsumdo			aʃamu			kind of mushroom, yellow in colour; the mushroom appears in thick piles where it grows	आशामु	चाङ लागेर रहेको च्याउ	n		???	
47	Gyalsumdo			aha			wow!	आहा	आहा!	interj		???	
48	Gyalsumdo			ikti			hiccup	इक्ति	बाडुली	n		???	
49	Gyalsumdo			ʂʏ			greeen corn (fresh corn)	श्री	हरियो मकै	n		???	
50	Gyalsumdo	THAT	78	u			that	उ	त्यो	pro.dist	78	THAT	2
51	Gyalsumdo	BREATH	870	u			breath	उ	[सास]	n	870	BREATH	2
52	Gyalsumdo	HEAD	1256	u			head	उ	टाउको (आदर)	n.hon	1256	HEAD	2
53	Gyalsumdo			utsu			obstinate, rigid, inflexible	उचु	हठी, कुरा नखाने	adj	1842	OBSTINATE	4
54	Gyalsumdo			utsu			insistence	उचु	कर	n		???	
57	Gyalsumdo	BREATHE	1407	utaŋke			to breathe	उताङ्के	सास फेर्नु	v	1407	BREATHE	1
58	Gyalsumdo	THERE	1937	uti			there	उति	त्यहाँ	adv	1937	THERE	2
59	Gyalsumdo			upke			to hatch, for example from an egg	उप्के	कोरल्नु	v	3116	HATCH (OUT)	3
60	Gyalsumdo	AUNT	1272	ʂumu			aunt	श्रुमु	काकी	n. kin	1272	AUNT	2
61	Gyalsumdo			umdze			Nepali caste of tailors	उम्जे	दमाई	n		???	
62	Gyalsumdo			uri			without hair, hairless	उरि	मुडुलो	adj		???	
63	Gyalsumdo			ulaŋ			complaint	उलाङ्	उजुर	n		???	
65	Gyalsumdo	APPLE	1320	uʃu			apple	उशु	स्याउ	n	1320	APPLE	2
66	Gyalsumdo			ʂeke			to mix	श्रेके	मिसिनु	v	2017	MIX	1
67	Gyalsumdo			ʂetsuke			to mix something	श्रेचुके	मिसाउनु	v		???	
68	Gyalsumdo			erka			season of Asar-Bhadra on the Nepali calendar, September-October on the Gregorian calendar	एर्का	आषाढ-भाद्र (वर्षा	n		???	
69	Gyalsumdo	WRINKLE	2294	erma			wrinkle	एर्मा	चाउरी	n	2294	WRINKLE	2
70	Gyalsumdo			erma			edible prickly ash seed, used as a spice also referred to as Nepali 'timur', a chili-like spice	एर्मा	सिल्टीमुर	n		???	
71	Gyalsumdo	KISS	578	o			kiss	ओ	चुम्बन	n	578	KISS	2
73	Gyalsumdo			ʂoktʃe			death penalty	श्रोक्च्ये	मृत्यु दण्ड	n		???	
74	Gyalsumdo	AMULET	2804	ʂoŋa			amulet	श्रोङा	जन्तर	n	2804	AMULET	2
75	Gyalsumdo			oŋla			medicinal herb, Vitex heterophylla or Vitex negundo	ओङ्ला	पाँच औंले	n		???	
76	Gyalsumdo	KISS	578	odzheke			to kiss	ओझेके	चुम्‍नु	v	578	KISS	1
77	Gyalsumdo	NIT	267	ʂoma			louse egg	श्रोमा	लिखा	n	267	NIT	2
78	Gyalsumdo			orkoŋ			adam's apple or laryngeal protrusion on the human neck	ओर्कोङ्	रुद्रघन्टी	n	802	ADAM'S APPLE	4
79	Gyalsumdo			kənja			unmarried girl (< Nep )	कन्या	कन्या, अविवाहित केटी	n		???	
80	Gyalsumdo	SKULL	1605	kəpli			skull	कप्लि	टाउकाको खोपडी (गिदी हुने ठाउँ)	n	1605	SKULL	2
81	Gyalsumdo			kəmke			to dry up	कम्के	सुक्‍नु	v	1786	DRY UP	1
82	Gyalsumdo	CUP	476	kəjul			cup	कयुल्	कप (चिया खाने)	n	476	CUP	2
83	Gyalsumdo	KNIFE	1352	kərta			knife	कर्ता	चक्कु	n	1352	KNIFE	2
84	Gyalsumdo			kərmə minṭuk			kind of star (lit 'star flower')	कर्म मिन्टुक्	उल्का तारा	n		???	
85	Gyalsumdo			kəl			sewing machine (< Nep )	कल्	कल (लुगा सिलाउने मेसिन)	n	3097	SEWING MACHINE	4
86	Gyalsumdo			kəli			bundle or collection of sheaves or harvested grains	कलि	मुठा	n	2943	BUNDLE	4
87	Gyalsumdo	TESTICLES	797	kəlkũ			testicles	कल्कुँ	गुला	n	797	TESTICLES	2
88	Gyalsumdo			kəsuŋṭe			cooking pot (< Nep )	कसुङ्टे)	कुकर जस्तो भाँडो (कसौँडी	n	1462	POT	4
89	Gyalsumdo	COLUMN	2045	ka			pillar	का	खाँबो	n	2045	COLUMN	2
92	Gyalsumdo			kaŋ			marrow of the bones	काङ्	हाडभित्रको मासी (भित्रको मासु)	n		???	
93	Gyalsumdo			kaŋ			loosely tied coil	काङ्	दाम्लाको पोया (दाम्लो बाट्नु भन्दा पहिला)	n		???	
94	Gyalsumdo			kaŋke			to fill up, to cover, to bury	काङ्के	पुर्नु, भर्नु	v	2006	FILL	4
95	Gyalsumdo			kaŋtse			peak of hill	काङ्चे	हिमालको चुचुरो	n		???	
96	Gyalsumdo			kaŋtʃikpa			one-legged ghost	कानच्यिक्पा	एक खुट्टे भुत	n		???	
97	Gyalsumdo	ANKLE	803	kaŋpa tarka			ankle	काङ्पा तार्का	गोलीगाँठो	n	803	ANKLE	2
99	Gyalsumdo			kaŋliŋ			bone used for worship	काङ्लिङ्	ठुलो पुजामा प्रयोग गर्ने घुँडा भन्दा माथिको हाड । यसबाट मुरली जस्तो बाजा बनाउने गरिन्छ।	n		???	
100	Gyalsumdo			kaŋliŋ			musical instrument like a flute	काङ्लिङ्	मुरली जस्तो बजाउने बाजा	n		???	
101	Gyalsumdo			katsa			the stem of a tree or plant, a log	काचा	फेद, ठुटा	n	653	PLANT (VEGETATION)	3
102	Gyalsumdo			kantsen			auspicious or fortunate moment or occasion	कान्चेन्	साइत	n		???	
103	Gyalsumdo			kanṭe			garland of strung-together coral	कान्टे	माला (मुगाको)	n		???	
105	Gyalsumdo	COVER	761	kapke			to cover	काप्के	ढाकिनु	v	761	COVER	1
106	Gyalsumdo			kaptsuke			to make cover	काप्चुके	ढाक्‍नु	v		???	
107	Gyalsumdo	BLANKET	806	kaptʃe			blanket	काप्च्ये	सिरक	n	806	BLANKET	2
108	Gyalsumdo			kabu			cloth worn around the waist in girdle-like fashion	काबु	पटुका	n		???	
109	Gyalsumdo	DRY	1398	kamke			to dry	काम्के	सुकाउनु	v	1398	DRY	1
111	Gyalsumdo	WHITE	1335	karpu			white	कार्पु	सेतो	adj	1335	WHITE	2
112	Gyalsumdo	STAR	1430	karma			star	कार्मा	[तारा]	n	1430	STAR	2
113	Gyalsumdo			karma ṭheṭjak			galaxy of six stars	कार्मा ठेट्याक्	लगातार छ ओटा तारा क्रमैसँग हुने (तारामण्डल)	n		???	
114	Gyalsumdo			karma minḍuk			having six stars	कार्मा मिन्टुक्	तारागण (६ तारा जम्मा भएको अवस्था)	n		???	
115	Gyalsumdo			karmapa			Karmapa (the religious leader next in the hierarchy after the Dalai lama)	कार्मापा	कर्मपा	n.prop		???	
117	Gyalsumdo			kale ghapku			problem, hardship	काले घाप्कु	समस्या, अफ्‍ठ्यारो	n	2425	PROBLEM	4
118	Gyalsumdo			kawa			small beam or rafter	कावा	दलिन	n	829	RAFTER	4
119	Gyalsumdo	DOG	2009	ki			dog	कि	कुकुर	n	2009	DOG	2
120	Gyalsumdo			kike			loan, temporary loan of money	किके	सापटी लिनु	v		???	
121	Gyalsumdo			kiṭi			clothes worn on the back	किटि	शरिरको पछाडि भागमा महिलाहरूले लगाउने लुगा	n		???	
123	Gyalsumdo	HAPPY	1495	kipu			happy	किपु	खुसी	adj	1495	HAPPY	2
124	Gyalsumdo			kipṭuk			puppy or young dog	किप्टुक्	कुकुरको बच्चा	n	74	PUPPY	4
125	Gyalsumdo			kir taŋ kri			game played with small pieces of stone	किर् ताङ् क्रि	गोटी (ढुङ्गा फालेर खेल्ने खेल)	n		???	
126	Gyalsumdo			kira			hunting, a hunt	किरा	सिकार गर्ने कार्य]	n	1435	HUNT	4
127	Gyalsumdo			kiraba			hunter, one who hunts	किराबा	सिकारी	n	1053	HUNTER	4
128	Gyalsumdo	DOG	2009	kirken			dog	किर्केन्	कुकुर	n	2009	DOG	2
129	Gyalsumdo			kirkja			defecation of dog, dog feces	किर्क्या	कुकुरको दिसा	n		???	
130	Gyalsumdo			kilṭim			to sit with legs crossed, lotus-style	किल्टिम्	पलेटी कसेर बस्‍ने तरिका	v		???	
131	Gyalsumdo	VOMIT	1278	kʏke			to vomit	कीके	बान्ता गर्नु	v	1278	VOMIT	1
132	Gyalsumdo			ku			form, manifestation, personification; the image and representation of a deity in a temple, idol	कु	मूर्ति	n	1945	IDOL	3
133	Gyalsumdo			ku søke			to make an idol or likeness of a deity	कु सूके	मुर्ती बनाउनु	v		???	
134	Gyalsumdo			kukər			cooker (< Nep)	कुकर्	प्रेसर कुकर	n		???	
135	Gyalsumdo			kuṭa			honorable	कुटा	श्रध्देय	adj		???	
136	Gyalsumdo	FACE	1560	kudoŋ			face	कुदोङ्	अनुहार (आदर)	n.hon	1560	FACE	2
139	Gyalsumdo	ANUS	1935	kup			anus	कुप्	दिसा गर्ने अङ्‍‍ग	n	1935	ANUS	2
140	Gyalsumdo			kup bu			tapeworm	कुप् बु	जुका	n		???	
141	Gyalsumdo			kupər			photograph of a respected person	कुपर्	सम्मानित व्यक्तिको फोटो	n		???	
142	Gyalsumdo	THREAD	1161	kupa			thread	कुपा	धागो	n	1161	THREAD	2
143	Gyalsumdo	HIP	1745	kupki			hip	कुप्कि	चाक (फिला), पुठो	n	1745	HIP	2
144	Gyalsumdo			kupkja			chair (possibly < Nep 'heel')	कुक्या	कुर्ची	n	1476	CHAIR	4
145	Gyalsumdo	THIEF	1160	kuma			thief	कुमा	चोर	n	1160	THIEF	2
146	Gyalsumdo	STEAL	713	kuma kuike			to steal	कुमा कुइके	चोर्नु	v	713	STEAL	1
148	Gyalsumdo			kuru rumpər tshjø			Gyalsumdo address term for Lord Mahadeva	कुरु रुम्पर् छ्यू	महादेव	n.prop		???	
149	Gyalsumdo	WORSHIP	257	kurum			worship	कुरुम्	पूजा	n	257	WORSHIP	2
150	Gyalsumdo			kulke			to prepare	कुल्के	अराउनु	v	2909	PREPARE	1
151	Gyalsumdo	BODY	1480	kusu			body	कुसुम्	शरीर (आदर)	n.hon	1480	BODY	2
153	Gyalsumdo	LANGUAGE	1307	ke			language	के	भाषा	n	1307	LANGUAGE	2
154	Gyalsumdo	MUSIC	642	ke			music	के	सङ्गीत	n	642	MUSIC	2
156	Gyalsumdo			ke ŋenbu			shrill sounding	के ङेन्बु	सुरिलो स्वर	adj		???	
157	Gyalsumdo			ke tønke			to scream, to shout (lit 'voice shout')	के तून्के	चिच्याउनु	v	1355	LAUGH	4
158	Gyalsumdo	SHOUT	715	ke tenke			to shout	के तेन्के	[कराउनु]	v	715	SHOUT	1
160	Gyalsumdo			keke			to be shifted or to move from one place to another	केके	ओसार्नु	v		???	
161	Gyalsumdo			keke			to move from one place to another place	केके	ठाउँ सर्नु	v		???	
162	Gyalsumdo	GIVE BIRTH	1195	keke			to give birth	केके	जन्माउनु	v	1195	GIVE BIRTH	1
163	Gyalsumdo	CALL	1084	keghjapke			to call	केघ्याप्के	बोलाउनु	v	1084	CALL	1
164	Gyalsumdo			ketʃa			matter, topic	केच्या	कुरा	n	2150	MATTER	4
165	Gyalsumdo			keṭak			heated debate	केटाक्	विवाद, तहल्का	n		???	
166	Gyalsumdo			ketʏnke			to blast	केतीन्के	पड्कनु	v		???	
167	Gyalsumdo	WAIST	1681	kepa			waist	केपा	कम्मर, ढाड	n	1681	WAIST	2
168	Gyalsumdo	OLD MAN	406	kepu			old man	केपु	बुढेसकाल (लोग्‍ने मान्छे)	n	406	OLD MAN	2
169	Gyalsumdo			kemar			ghee of Bhotkhola or butter produced from milk of animals living in high elevations	केमार्	भोट खोलाको घ्यु (नौनी)	n		???	
170	Gyalsumdo			kempa			tongs, pincers	केम्पा	चिम्टा	n	272	TONGS	4
171	Gyalsumdo			kere sere			upright, standing straight upright	केरे सेरे	ठाडो	adj	1404	STRAIGHT	4
172	Gyalsumdo			keroŋpa			man of Kyirong region (Tibet)	केरोङ्पा	केरूङ्बासी	n.prop		???	
173	Gyalsumdo	WIFE	1199	kerme			wife	केर्मे	स्वास्‍नी	n. kin	1199	WIFE	2
174	Gyalsumdo			kesu			groaning noise made by a woman while giving birth to a child	केसु	कन्‍ने काम	n		???	
176	Gyalsumdo	DIG	1418	koke			to dig	कोके	खन्‍नु	v	1418	DIG	1
177	Gyalsumdo			koktaŋ			one quarter		एक चौथाइ	quant		???	
178	Gyalsumdo	POT	1462	kopor			pot	कोपोर्	काठको कचौरा जस्तो भाँडो (पारा खेलमा गोटीहरू राख्‍ने भाँडो)	n	1462	POT	2
179	Gyalsumdo			kopra			pot for urination (< Nep )	कोप्रा	कोपरा, पिसाब गर्ने भाँडो	n		???	
180	Gyalsumdo	THIRSTY	847	komke			to be thirsty	कोम्के	[तिर्खाउनु]	v	847	THIRSTY	1
181	Gyalsumdo			kore			single fold, a fold around or wrapping	कोरे	फेरो, फन्को	n		???	
183	Gyalsumdo			koreghjaptsuke			to make something go around	कोरे घ्याप्चुके	घेर्न लगाउनु	v		???	
184	Gyalsumdo			korke			to take around, to fold	कोर्के	घुम्‍नु, मोड्नु	v		???	
185	Gyalsumdo			kolke			to make boil	कोल्‍के	उम्लनु	v		???	
186	Gyalsumdo	BELL	2246	kolṭoŋ			bell	कोल्टोङ्	घन्टी (जनावरहरूलाई बाँध्‍ने)	n	2246	BELL	2
187	Gyalsumdo			kolmu			muddy pond	कोल्मु	आहाल, पानी जमेको पोखरी	n		???	
188	Gyalsumdo			kolsa			boiling pot	कोल्सा	उमाल्ने भाँडो	n		???	
189	Gyalsumdo			kja			period or cycle of twelve years after one is born The same clan (class) year one belongs to comes after exactly after twelve years from when one is born	क्या	जन्मेको बार वर्षपछि आउने वर्ष। ग्याल्सुम्दो समुदायमा जन्मेको बाह्र वर्षपछि जन्मदाको वर्षको राशि (जनावरको नामबाट राखिएको) वर्ग आउँछ।	n	508	PERIOD	4
190	Gyalsumdo			kjake			to lift up	क्याके	उचाल्नु	v		???	
191	Gyalsumdo	WEIGH	1098	kjake			to weigh	क्याके	जोख्‍नु	v	1098	WEIGH	1
192	Gyalsumdo	FLOW	2003	kjake			to flow	क्याके	बगाउनु	v	2003	FLOW	1
193	Gyalsumdo			kjakkja			fun, mockery	क्याक्या	ख्यालख्याल	n		???	
194	Gyalsumdo	FAECES (EXCREMENT)	675	kjakpa			feces	क्याक्पा	दिसा, गुहु	n	675	FAECES (EXCREMENT)	2
195	Gyalsumdo			kjaŋtsaŋ			cupboard	क्याङ्चाङ्	दराज	n		???	
196	Gyalsumdo	HIT	1433	kjapke			to hit	क्याप्के	हान्‍नु	v	1433	HIT	1
197	Gyalsumdo	BUCKWHEAT	2040	kjapre			buckwheat	क्याप्रे	फापर	n	2040	BUCKWHEAT	2
198	Gyalsumdo	SWIM	1439	kjal ghjapke			to swim	क्याल घ्याप्के	पौडनु	v	1439	SWIM	1
199	Gyalsumdo			kjalʏ			ritual to avoid bad luck	क्याली	ग्रह काट्ने काम	n		???	
200	Gyalsumdo			kjalke			to make something enough, to spend less	क्याल्के	पुर्‍याउनु	v		???	
201	Gyalsumdo			kjalke			to make something reach	क्याल्के	पुर्‍याउनु	v		???	
202	Gyalsumdo			kjawa			big spoon	क्यावा	पन्यु	n		???	
203	Gyalsumdo	VOMIT	1278	kjuke			to vomit	क्युके	उल्टी गर्नु, वाकवाकी गर्नु	v	1278	VOMIT	1
204	Gyalsumdo	VOMIT	1278	kjupa			vomit	क्युपा	बान्ता	n	1278	VOMIT	2
205	Gyalsumdo	DOG	2009	kjupu			dog	क्युपु	कुकुर	n	2009	DOG	2
206	Gyalsumdo			kjura			Indian gooseberry (emblic myrobalan)	क्युरा	अमला	n		???	
207	Gyalsumdo	SOUR	1906	kjurpu			sour	क्युर्पु	अमिलो, टर्रो	adj	1906	SOUR	2
208	Gyalsumdo			kjøn			accusation, allegation	क्यून्	आरोप	n		???	
209	Gyalsumdo			kjøn take			to blame	क्यून् ताके	आरोप लगाउनु	v	2716	BLAME (SOMEBODY)	3
210	Gyalsumdo			kjøn bhərtʃe hoŋke			to be bad (lit bad time + misfortune + come)	क्यून भर्च्ये होङ्के	नराम्रो हुनु	v	1292	BAD	3
212	Gyalsumdo			kjoke			to serve a meal	क्योके	पस्कनु	v		???	
214	Gyalsumdo			kjolu			song sung during hardship	क्योलु	दुखमा गाउने गित	n		???	
215	Gyalsumdo			klas			class (< Eng )	क्लास्	(Eng)	n		???	
216	Gyalsumdo	BOAT	1844	kwa			boat	क्‍वा	डुङ्गा	n	1844	BOAT	2
217	Gyalsumdo	SKIN	763	kwa			skin	क्‍वा	छाला	n	763	SKIN	2
219	Gyalsumdo	BAD LUCK	56	khəpri tsokpa			bad luck	खप्रि चोक्पा	अलच्छिन	adj	56	BAD LUCK	4
220	Gyalsumdo			khəbja			Y-shape	खेब्या	कापे	n		???	
221	Gyalsumdo	QUARREL	1848	khəmdzu			quarrel	खम्जु	झगडा, मुद्दा	adj	1848	QUARREL	2
222	Gyalsumdo			khəmpu			peach found in the jungle, a wild peach	खम्पु	जङ्गमा फल्ने आरू	n		???	
223	Gyalsumdo			khərəl			incomplete, half-done	खरल्		adj		???	
224	Gyalsumdo			khərkə			pasture, meadow for grazing	खर्क	चरन, चउर	n	649	PASTURE	4
225	Gyalsumdo	DAY BEFORE YESTERDAY	1180	khərŋi			day before yesterday	खर्ङि	अस्ति	adv	1180	DAY BEFORE YESTERDAY	2
226	Gyalsumdo			khəsur			breakfast, morning meal	खसुर्	बिहानको खाजा	n	1322	BREAKFAST	4
227	Gyalsumdo	MOUTH	674	kha			mouth	खा	मुख	n	674	MOUTH	2
229	Gyalsumdo	SHUT	1046	kha ghjapke			to close	खा घ्याप्के	बन्द गर्नु	v	1046	SHUT	1
230	Gyalsumdo			kha tønke			to return, to come to front	खा तीन्के	फर्कनु, सामुन्ने हुनु	v	581	COME BACK	3
231	Gyalsumdo			kha daŋke			to be confused	खा दाङे	अकमक्‍क हुनु	v		???	
233	Gyalsumdo	BITTER	887	khakti			bitter	खाक्ति	तितो	adj	887	BITTER	2
234	Gyalsumdo			khaŋ ̀lukpa			broken house	खाङ् लुक्पा	भत्केको घर	n		???	
235	Gyalsumdo	SPARROW	1854	khaŋtʃil			sparrow	खाङ्चिल्	भँगेरा	n	1854	SPARROW	2
236	Gyalsumdo	HOUSE	1252	khaŋpa			house	खाङ्पा	घर	n	1252	HOUSE	2
237	Gyalsumdo			khaŋpa ama			house mistress, female owner of a house (lit 'house mother')	खाङ्पा आमा	घरपट्टि आमा, घरकी मूल आमा]	n		???	
238	Gyalsumdo			khaŋpa ghjap			back side or garden of a house (lit 'house back')	खाङ्पा घ्याप्	घर पछाडि	adv		???	
239	Gyalsumdo			khaŋpa dhakpu			chief of a family	खाङ्पा धाक्पु	घरधनी	n		???	
240	Gyalsumdo			khaŋpa pøke			to migrate	खाङ्बा पूके	बसाइँ सर्नु, सर्नु	v		???	
241	Gyalsumdo			khaŋpala søke			domestic; of the home	खाङ्पाला सूके	घरपालुवा	adj		???	
242	Gyalsumdo			khaŋmi			room of a house or building	खङ्‍मि	कोठा	n		???	
243	Gyalsumdo			khaŋla			rent (tariff) for a room	खाङ्ला	डेरा भाडा	n		???	
244	Gyalsumdo			khatʃu			cork of bottle, lid of a box or basket	खाच्यु	बिर्को	n	1539	BASKET	4
245	Gyalsumdo	SALIVA	1503	khatʃu			saliva	खाच्यु	याल	n	1503	SALIVA	2
246	Gyalsumdo			khaṭi			bed (< Nep )	खाटि	खाट	n	1663	BED	4
247	Gyalsumdo	MOUTH	674	khaḍki			mouth	खाड्कि	मुख	n	674	MOUTH	2
248	Gyalsumdo			khathʏnke			agreement on a subject or matter	खाथीन्के	मतो मिल्नु, सल्लाह मिल्नु	n	2150	MATTER	4
249	Gyalsumdo			khadikke			to stammer, to stutter	खादिक्‍के	भकभकाउनु	v	1866	STUTTER	3
250	Gyalsumdo	PILLOW	1044	khaden			cushion	खादेन्	चकटी	n	1044	PILLOW	2
251	Gyalsumdo	BLUNT	379	khadhopdhop			blunt	खाधोप्‍धोप्	भुत्ते	adj	379	BLUNT	2
252	Gyalsumdo			khantʃa			shirt (< Nep )	खान्छ्या	कमिज	n	1622	SHIRT	4
253	Gyalsumdo	NEEDLE (FOR SEWING)	1382	khap			needle	खाप्	सियो	n	1382	NEEDLE (FOR SEWING)	2
254	Gyalsumdo			khap ghjapke			to cover (< Nep )	खाप् घ्याप्के	छोप्‍नु	v	761	COVER	3
255	Gyalsumdo			khapuŋ			large needle used for sewing sacks or bags or other tough fabric	खापुङ्	बोरा सिउने सियो	n	2468	BAG	4
256	Gyalsumdo			khapke			to reply rudely	खाप्के	धेरै बोल्नु	v		???	
257	Gyalsumdo			khapke ma			woman who speaks alot, a woman who chatters (lit 'reply mother')	खाप्के मा	मुख लगाउने आइमाई	n		???	
258	Gyalsumdo			khaple seke			talkative (lit gossip + to do)	खाप्ले सेके	गफ गर्नु	n		???	
259	Gyalsumdo			khamur			metal bar in a horse's mouth (a part of rein)	खामुर्	घोडाको मुख भित्र राख्‍ने फलाम	n		???	
260	Gyalsumdo			khamtʃu tʃuke			to register a case or lawsuit	खाम्च्यु च्युके	मुद्दा हाल्नु	v		???	
261	Gyalsumdo			khaloke			to speak in a rude or insubordinate manner	खालोके	मुख लाउनु	v		???	
262	Gyalsumdo	KIDNEY	489	khalma			kidney	खाल्मा	मृगौला	n	489	KIDNEY	2
263	Gyalsumdo			khikaŋ			length of the open hand from the tip of the thumb to tip of the little finger	खिकाङ्	बित्ता (चोर औंलासँगको)	n		???	
264	Gyalsumdo	FOX	1312	khiptʃaŋ			fox	किप्च्याङ्	स्याल	n	1312	FOX	2
265	Gyalsumdo	DOG	2009	khipho			dog	खिफो	कुकुर	n	2009	DOG	2
266	Gyalsumdo			khimo			bitch, female dog	खिमो	कुकुर्नी	n	2481	FEMALE DOG	4
267	Gyalsumdo	SPOON	1378	khimpu			spoon	खिम्पु	चम्चा	n	1378	SPOON	2
268	Gyalsumdo			khuiri			whistling, a whistle	खुइरि	सुसेली	n	3107	WHISTLE (INSTRUMENT)	3
269	Gyalsumdo			khuke			to be able	खुके	सक्‍नु	v	972	BE ABLE	1
270	Gyalsumdo			khuŋ			evidence	खुङ्	प्रमाण	n		???	
271	Gyalsumdo			khuŋja			3 PL 'they'	खुङ्‍या	तिनीहरू, वहाँहरू	pro		???	
272	Gyalsumdo	HONEY	942	khudu			honey	खुदु	मह	n	942	HONEY	2
273	Gyalsumdo			khun ṭhakur			clan name of Gylsumdo people	खुन् ठाकुर्	ग्याल्सुम्दोको एउटा गोत्र	n.prop		???	
274	Gyalsumdo			khur			eagerness, excitement	खुर्	जाँगर	n		???	
275	Gyalsumdo			khurke			to carry a burden on one’s back	खुर्के	बोक्‍नु	v		???	
