ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
64	Tsum	FEMALE YAK	2479	bri			female yak	n.	2479	FEMALE YAK	2
65	Tsum	INSECT	620	bu			insect	n.	620	INSECT	2
67	Tsum			bum			hundred thousand	num.		???	
69	Tsum			Burdźi			village, in upper Tsum	n.	930	VILLAGE	4
70	Tsum	WORM	1219	burinbu			worm	n.	1219	WORM	2
73	Tsum	PESTLE	225	tśhiu			pestle	n.	225	PESTLE	2
74	Tsum	COME	1446	tśolwa			come	v.	1446	COME	2
75	Tsum	ARRIVE	1387	tśol			arrive	v.	1387	ARRIVE	2
76	Tsum	MONTH	1370	da			month	n.	1370	MONTH	2
77	Tsum	LIKE	1117	ḍa			like	adv.	1117	LIKE	2
78	Tsum	SHARPEN (SOMETHING)	251	da darwa			sharpen	v.	251	SHARPEN (SOMETHING)	2
79	Tsum			da tangan			person who informs the people in the village	n.		???	
80	Tsum	ENEMY	1358	ḍa'			enemy	n.	1358	ENEMY	2
81	Tsum			ḍake'			thunderbolt	n.	2007	BOLT (OF LIGHTNING)	4
82	Tsum	LICK	319	dakpa			lick	v.	319	LICK	2
83	Tsum	MUD	640	dakpa			mud	n.	640	MUD	2
84	Tsum	DIRT	25	ḍakpa			dirt	n.	25	DIRT	2
86	Tsum	READ	724	ḍakpa			read	v.	724	READ	2
87	Tsum	OWNER	1036	dakpo			owner	n.	1036	OWNER	2
88	Tsum	NEAR	1942	ḍala			near	adv.	1942	NEAR	2
89	Tsum	NOW	1376	dalo			now	adv.	1376	NOW	2
90	Tsum			dalo			this year, recently	n.	513	THIS YEAR	4
92	Tsum	FALL	1280	dalwa			fall down	v.	1280	FALL	2
93	Tsum			dalwa			pull down itself	v.		???	
94	Tsum			ḍam			foundation	n.		???	
95	Tsum	FORGET	1523	ḍama dźepa			forget	v.	1523	FORGET	2
96	Tsum			damba			filter	v.		???	
97	Tsum	TIE	1917	damba			tie	v.	1917	TIE	2
98	Tsum	CHEEK	1730	ḍamba			cheek	n.	1730	CHEEK	2
100	Tsum	MUD	640	damnyo'			mud	n.	640	MUD	2
101	Tsum	FORGET	1523	ḍampa tsepa			forget	v.	1523	FORGET	2
102	Tsum			damsa			molars (teeth at the back of the mouth)	n.		???	
103	Tsum	JAW	798	damso			jaw	n.	798	JAW	2
105	Tsum	EQUAL	1570	ḍanḍa panḍa			equal	adj.	1570	EQUAL	2
106	Tsum			dandzin			eclipse (moon)	n.	2285	ECLIPSE	4
107	Tsum	YESTERDAY	1174	dang			yesterday	adv.	1174	YESTERDAY	2
108	Tsum			dang diring			recently	adv.		???	
109	Tsum	YESTERDAY	1174	dang, ngarto			yesterday	adv.	1174	YESTERDAY	2
110	Tsum			dangbo			firstly, and then	adj.		???	
111	Tsum			ḍangbo			straight (in shape, behaviour)	adj.	1404	STRAIGHT	4
112	Tsum	REMEMBER	707	ḍangbu söwa			remember	v.	707	REMEMBER	2
113	Tsum			danggong			earlier than yesterday	adv.		???	
116	Tsum	BEE	665	ḍangme			bee	n.	665	BEE	2
118	Tsum	LONG AGO	373	dangpo dangpo			long ago	adv.	373	LONG AGO	2
119	Tsum			dangsing			state of being clean	n.		???	
122	Tsum	ARROW	977	danyo'			arrow	n.	977	ARROW	2
123	Tsum			dap			plank	n.	1227	BOARD	4
124	Tsum			dapba			shake off dust	v.		???	
125	Tsum			dara			whey	n.		???	
126	Tsum	SHIVER	52	darwa			tremble	v.	52	SHIVER	2
128	Tsum	READY	790	ḍaṭi			ready	adj.	790	READY	2
129	Tsum			datö			full moon	n.		???	
130	Tsum			datśang			horse festival (a compound of 'arrow' + 'Tibetan beer', referring to an earlier form of the festival)	n.		???	
131	Tsum	IMMEDIATELY	1963	daurang			immediately	adv.	1963	IMMEDIATELY	2
132	Tsum	ROPE	1218	ḍauri			rope	n.	1218	ROPE	2
133	Tsum	MONDAY	1697	dawa			Monday	n.	1697	MONDAY	2
134	Tsum	MOON	1313	dawa			moon	n.	1313	MOON	2
135	Tsum			dawa			trip	v.		???	
137	Tsum	DUCK	1360	daźa			duck	n.	1360	DUCK	2
138	Tsum	CALENDAR	1967	dazo			calendar	n.	1967	CALENDAR	4
139	Tsum			ḍe			ghost; similar to a lhante	n.	1175	GHOST	4
140	Tsum	ALONE	1964	ḍelakha			alone	adj.	1964	ALONE	2
141	Tsum			ḍelwa			relation	n.		???	
144	Tsum	BOOK	963	demu			book	n.	963	BOOK	2
145	Tsum	EASY	686	demu			easy	adj.	686	EASY	2
146	Tsum	FOG	249	demu'			fog	n.	249	FOG	2
147	Tsum			den			after that, and then	adv.		???	
148	Tsum			ḍendur			competition	n.		???	
150	Tsum			Dephüdöme gomba			monstery, Depyudome, north of Mu gomba, (other name: Deren)	n.		???	
151	Tsum			deptśa			surprise; wonder; astonishment	n.	1572	SURPRISED	4
152	Tsum			Deren gomba			monastery, Depyudome, north of Mu gomba, other name for Depyüdöme gomba	n.		???	
153	Tsum	PLATE	480	derma			plate	n.	480	PLATE	2
154	Tsum			dertśen			long and sharp nails	n.		???	
155	Tsum	SLIP	1324	ḍeta śörwa			slip	v.	1324	SLIP	2
156	Tsum	FALL	1280	ḍewa			fall	v.	1280	FALL	2
158	Tsum	THIS	1214	di			this	n.	1214	THIS	2
159	Tsum	FEMALE YAK	2479	ḍi			female yak	n.	2479	FEMALE YAK	2
160	Tsum			di tśeri			therefore	conj.		???	
161	Tsum			di.u			bullet (of gun)	n.	1114	BULLET	4
162	Tsum	SIN	2971	dikpa			sin	n.	2971	SIN	2
163	Tsum	CRAB	2348	diksing			crab	n.	2348	CRAB	2
164	Tsum			diktśen			sinner	n.		???	
165	Tsum	MIX	2017	ḍilwa			mix	v.	2017	MIX	2
166	Tsum	SHADOW	2275	ḍima'			shadow	n.	1388	SHADE	2
167	Tsum			dimba			submerge	v.		???	
168	Tsum	KEY	1472	dimi'			key	n.	1472	KEY	2
169	Tsum			dingkir			like this	adj.		???	
170	Tsum	FLOAT	1574	dingwa			float	v.	1574	FLOAT	2
171	Tsum			ḍingwa			mediocre	adj.		???	
172	Tsum	FALL	1280	dipwa			fall	v.	1280	FALL	2
173	Tsum	THIS	1214	direm			these	pron.	1214	THIS	2
174	Tsum	TODAY	1283	diring			today	adv.	1283	TODAY	2
176	Tsum			ḍö			meeting, village gathering; discussion	n.		???	
177	Tsum			ḍö			suggestion	n.		???	
179	Tsum			dö'sa powa			migrate	v.		???	
180	Tsum			dodang			tradition, custom	n.	1747	CUSTOM	4
181	Tsum			Ḍoḍang			village on the Budhi Gandaki, Philim (not inhabited by Tsumpas)	n.		???	
182	Tsum			ḍogo, ḍowo, ḍo:			bonded-friend	n.		???	
184	Tsum	SUSPECT	1841	dokpa			suspicion	n.	1841	SUSPECT	2
185	Tsum			dokpa			womb, uterus	n.	804	WOMB	4
186	Tsum	ALWAYS	1676	dökyün			always	NA	1676	ALWAYS	2
188	Tsum			doltśho			worship (kind)	n.	257	WORSHIP	4
189	Tsum			doma			in the beginning, firstly	NA		???	
190	Tsum			domba lemba			to accept as being the monk after lama announced	n.		???	
191	Tsum	WET	1726	dompa'			wet	adj.	1726	WET	2
192	Tsum	GUEST	1782	ḍompo			guest	n.	1782	GUEST	2
193	Tsum			Domtśe			village, in lower Tsum	n.	930	VILLAGE	4
194	Tsum			donang bewa			pay attention	v.		???	
196	Tsum	DITCH	2002	dong			ditch	n.	2002	DITCH	2
197	Tsum			ḍong gö			bonded-friend (female)	n.		???	
199	Tsum	HOUSE	1252	ḍongba			house	n.	1252	HOUSE	2
200	Tsum	TREE	906	dongbo			tree	n.	906	TREE	2
201	Tsum			dongmu			churn for tea	n.		???	
202	Tsum	WOMAN	962	ḍongpi'ã			woman	n.	962	WOMAN	2
203	Tsum	TOOTH	1380	dongso			tooth	n.	1380	TOOTH	2
204	Tsum			ḍönpo			invitation	n.		???	
207	Tsum	STOMACH	819	ḍopa			stomach	n.	819	STOMACH	2
208	Tsum			ḍörang			temperature	n.		???	
209	Tsum			dordźe			dorje, vajra; Buddhist ritual weapon; thunderbolt	n.	2007	BOLT (OF LIGHTNING)	4
211	Tsum			Dortsung			pass in lower Tsum, leading to Tsumchet	n.		???	
212	Tsum			ḍosung			expense	n.	242	COST	4
213	Tsum			döṭö'			cremation ground	n.		???	
214	Tsum	SEE	1409	ḍowa			see	v.	1409	SEE	2
216	Tsum			döza langwa			interested in sex	v.		???	
217	Tsum	BARLEY	932	du			barley	n.	932	BARLEY	2
219	Tsum	GRAIN	605	ḍu			grain	n.	605	GRAIN	2
220	Tsum	CRAWL	96	ḍüba			creep	v.	96	CRAWL	2
221	Tsum			duk			like this	adj.		???	
222	Tsum	DRAGON	2038	ḍuk			dragon	n.	2038	DRAGON	2
223	Tsum			duk tśhere			in this way	adv.		???	
224	Tsum	ROAR (OF SEA)	2876	duke langwa			roar	v.	2876	ROAR (OF SEA)	2
225	Tsum	LIGHTNING	1654	ḍuke'			lightning	n.	1654	LIGHTNING	2
227	Tsum	POOR	1674	dukpa'			poor	adj.	1674	POOR	2
229	Tsum	SNAKE	730	ḍul			snake	n.	730	SNAKE	2
230	Tsum			dulwa			digest	v.		???	
231	Tsum	STRANGER	791	ḍulwa			stranger	n.	791	STRANGER	2
232	Tsum			dümba			seventh	num.		???	
233	Tsum			dumḍo			unfinished work	n.		???	
235	Tsum	SEVEN	1704	dün			seven	num.	1704	SEVEN	2
236	Tsum			dündźudögye'			seventy eight	num.		???	
237	Tsum			dündźudönḍuk			seventy six	num.		???	
238	Tsum			dündźudöndün			seventy seven	num.		???	
239	Tsum			dündźudönga			seventy five	num.		???	
240	Tsum			dündźudönngi			seventy two	num.		???	
241	Tsum			dündźudönsum			seventy three	num.		???	
242	Tsum			dündźudörku'			seventy nine	num.		???	
243	Tsum			dündźudünźi			seventy four	num.		???	
244	Tsum			dung			conch-shell	n.		???	
245	Tsum			dunga			trouble; anguish	n.		???	
246	Tsum			ḍungsum			real; own	adj.	684	OWN	4
247	Tsum	GRIND	1033	dungwa			grind	v.	1033	GRIND	2
249	Tsum			düntsar			pot to offer holy water inside gompa	n.		???	
250	Tsum	SEVENTY	1721	düntśu			seventy	num.	1721	SEVENTY	2
251	Tsum			düntśudöntśik			seventy one	num.		???	
253	Tsum			düpa			in brief	NA		???	
254	Tsum	KNOT	760	ḍupa			knot	n.	760	KNOT	2
255	Tsum			ḍüpkang			meditate	v.		???	
256	Tsum			ḍüpkhang			place to worship in the gompa	n.		???	
257	Tsum	KNOT	760	ḍupṭö			knot	n.	760	KNOT	2
259	Tsum			dürap			century	n.		???	
260	Tsum	POOR	1674	durya			poor	adj.	1674	POOR	2
262	Tsum			dutser			tree species, with thorns	n.		???	
263	Tsum	TIME	892	dütsö'			time	n.	892	TIME	2
264	Tsum			dütśongala			next day	adv.		???	
265	Tsum			duwa			keep things	v.		???	
266	Tsum			dyu			bangle	n.		???	
268	Tsum	RAINBOW	1733	dźa			rainbow	n.	1733	RAINBOW	2
269	Tsum	TEA	1373	dźa			tea	n.	1373	TEA	2
270	Tsum			dźak			sound like something falling	n.		???	
271	Tsum	CLIMB	1102	dzakpa			climb	v.	1102	CLIMB	2
272	Tsum	ROB (VERB)	2073	dźakpa gyawa			rob	v.	2073	ROB (VERB)	2
276	Tsum	SMOOTH	1234	dźambo			smooth	adj.	1234	SMOOTH	2
277	Tsum			dźambuling			world, universe	n.	965	WORLD	4
279	Tsum	NORTH	1598	dźang			north	adj.	1598	NORTH	2
280	Tsum			dźangadźingi			noisy	n.	2895	MAKE NOISE	4
281	Tsum	GREEN	1425	dźanggu			green	adj.	1425	GREEN	2
282	Tsum			dźangkya			light green	adj.		???	
283	Tsum			dźangna'			dark green	adj.		???	
285	Tsum	SCISSORS	1328	dźaptse			scissors	n.	356	SHEARS	2
286	Tsum			dzara			snack (afternoon)	n.		???	
287	Tsum	VULTURE	1185	dźarkwö			vulture	n.	1185	VULTURE	2
288	Tsum	GLUE	1069	dźartsi			glue	n.	1069	GLUE	2
289	Tsum			dzarwa			fall down (fruits from tree)	v.	1280	FALL	4
290	Tsum			dźarwa			paste	v.	1743	JOIN	4
291	Tsum			dźasang			spouse, couples	n.	2514	SPOUSE	4
292	Tsum			dzaũ			same, be the same	v.	200	SAME	4
293	Tsum			dźauru'			baby bird	n.		???	
294	Tsum			dzawa			pluck	v.		???	
295	Tsum	DRIP (EMIT LIQUID)	2253	dzãwa			leak	v.	2253	DRIP (EMIT LIQUID)	2
296	Tsum	SHINE	708	dźawe' śarwa			shine	v.	708	SHINE	2
297	Tsum			dze			gun powder	n.		???	
298	Tsum			dze			leprosy	n.		???	
299	Tsum	FACE	1560	dźe'			face	n.	1560	FACE	2
300	Tsum			dzeba			faster	adv.		???	
301	Tsum			dzelmi'			joint (of plants)	n.	999	JOINT	4
302	Tsum			dźembo			stronger	adj.		???	
304	Tsum	NAKED	590	dźenḍa			naked	adj.	590	NAKED	2
305	Tsum			dźendo'			showy; pompous	v.		???	
306	Tsum	ACCUSE	1814	dzidzi langwa			accuse	v.	1814	ACCUSE	2
307	Tsum	FINGER	1303	dźigu			finger	n.	1303	FINGER	2
308	Tsum	DONATE	196	dźimba tangwa			donate	v.	196	DONATE	4
309	Tsum			dzimbu			herb to fry lentil soup	n.		???	
310	Tsum			dźinda'			owner; money lender	n.	1036	OWNER	4
311	Tsum			dźineḍa			fierce	adj.	1396	SHARP	4
312	Tsum	NECK	1333	dźingba			neck	n.	1333	NECK	2
313	Tsum			dzinggop			quarrelsome	adj.		???	
314	Tsum	QUARREL	1848	dzingka			quarrel	n.	1848	QUARREL	2
315	Tsum			dźinlap			blessing (from an elderly person to a younger person)	n.		???	
316	Tsum	SUCK	1421	dźipba			suck	v.	1421	SUCK	2
317	Tsum			dźira			cumin-seed	n.		???	
318	Tsum	COWARD	1319	dźirya			coward	n.	1319	COWARD	2
320	Tsum	FEAR (BE AFRAID)	1419	dźita mukpa			afraid	v.	1419	FEAR (BE AFRAID)	2
321	Tsum	DANGER	1810	dźita tshawo			danger	n.	1810	DANGER	2
322	Tsum	FINGER	1303	dźiu			finger	n.	1303	FINGER	2
323	Tsum	FEAR (BE AFRAID)	1419	dźiwa			afraid	v.	1419	FEAR (BE AFRAID)	2
324	Tsum			dźiwa			bigger	adj.		???	
325	Tsum			dźiwa			scared of (trans.)	v.		???	
326	Tsum			dzo			dzo; cross between a yak and a cow	n.		???	
327	Tsum	BAG	2468	dźola			bag	n.	2468	BAG	2
328	Tsum	ABILITY	2527	dźöndang			ability	n.	2527	ABILITY	4
329	Tsum			Dzong			village, in upper Tsum, with ruins of an old fort	n.	930	VILLAGE	4
330	Tsum	ALL	98	dźop			all	adj.	98	ALL	2
331	Tsum	LIKE	1117	dźor			like	adj.	1117	LIKE	2
332	Tsum	GET	694	dźörwa			get	v.	694	GET	2
335	Tsum			dźoźono			brothers and sister	n.		???	
336	Tsum	FINGER	1303	dźu			finger	n.	1303	FINGER	2
337	Tsum			dzuma			tail of birds	n.		???	
338	Tsum	FALSE	3069	dzun			FALSE	adj.	3069	FALSE	2
340	Tsum			dzuna			tree species, with thorns	n.		???	
341	Tsum	BETRAY	1902	dzundźen			cheat	n.	1902	BETRAY	2
342	Tsum			dzungdźa			wood used for building houses	n.		???	
343	Tsum			dźünsel			cremation	n.		???	
344	Tsum	MASSAGE (SOMEBODY)	3119	dźupa gyawa			massage	v.	3119	MASSAGE (SOMEBODY)	2
345	Tsum			dzuṭo'			shoe lace	n.		???	
346	Tsum	CHIN	1510	eko			chin	n.	1510	CHIN	2
347	Tsum			emba'			stones which are used to make roof (of house)	n.		???	
349	Tsum			erma			pepper, kind of spice, from the prickly ash	n.	1385	PEPPER	4
350	Tsum			erma'			pepper (kind of)	n.	1385	PEPPER	4
352	Tsum			galda			bag of clothes	n.		???	
354	Tsum			gamba			eat flour (of wheat, flour of many kinds)	v.		???	
355	Tsum	BAT	1793	gamgulung			bat	n.	1793	BAT	2
357	Tsum			gang			also	adv.		???	
358	Tsum			gapba			sit upon the eggs hatch brooding	v.		???	
359	Tsum			garso'			knife fixed with the belt on the waist	n.		???	
361	Tsum			gauli			upside down	adj.		???	
362	Tsum			gawa			caught in the throat	v.		???	
365	Tsum			geśe			monk who is junior to Rinpoche	n.		???	
366	Tsum	IMPORTANT	1285	getshemo			important	adj.	1285	IMPORTANT	2
367	Tsum			gido			oven made with stones	n.		???	
368	Tsum	HEAD	1256	go			head	n.	1256	HEAD	2
369	Tsum			go korwa			persuade; lure	v.		???	
370	Tsum			go kukpa			bow down the head	v.		???	
371	Tsum			goble			blanket (made from yak fur)	n.	806	BLANKET	4
373	Tsum			gokap			chance, opportunity	n.		???	
375	Tsum	GARLIC	2368	gokpa			garlic	n.	2368	GARLIC	2
376	Tsum	TOMATO	986	golbeḍa			tomato	n.	986	TOMATO	2
377	Tsum			golto'			bare	n.	590	NAKED	4
378	Tsum	BEGINNING	1557	goma			beginning	n.	1557	BEGINNING	2
379	Tsum			göma			mare, female horse	n.	938	MARE	4
380	Tsum			gomba			monastery	n.		???	
381	Tsum			Gomba Lungdang			monastery in Lungdang	n.		???	
382	Tsum	MORTAR CRUSHER	224	gombor			mortar	n.	224	MORTAR CRUSHER	2
386	Tsum			göning dopa			desire for sex	n.		???	
387	Tsum			gönkhang			temple with Gönpo protector deity (Mahākāla)	n.		???	
388	Tsum			Gonye gomba			monastery; Gonye gompa	n.		???	
389	Tsum			göö			overcoat (traditional), clothing worn both by men and women, knee length	n.		???	
390	Tsum	HANDKERCHIEF	1020	gore			handkerchief	n.	332	RAG	2
391	Tsum			goril			bare (head)	n.	590	NAKED	4
392	Tsum			gorwa			take time	v.		???	
393	Tsum			gosa			title; designation	n.	1720	SIGN	4
395	Tsum	BEGINNING	1557	gotsukpa			beginning	n.	1557	BEGINNING	2
398	Tsum			gulwa			shake (intrans.)	v.	1909	SHAKE	4
399	Tsum			gulwa			shake (trans.)	v.	1909	SHAKE	4
400	Tsum			gumba			jump over	v.		???	
401	Tsum			Gumlung			village, in lower Tsum	n.	930	VILLAGE	4
402	Tsum			gun			loss	n.		???	
403	Tsum			güntö'			winter season	n.		???	
404	Tsum	CAT	1208	guri'			cat	n.	1208	CAT	2
406	Tsum	EGG	744	gwã			egg	n.	744	EGG	2
408	Tsum	HUNDRED	1634	gya			hundred	num.	1634	HUNDRED	2
409	Tsum	KING	1508	gyalbo			king	n.	1508	KING	2
410	Tsum	COUNTRY	1300	gyalkap			country	n.	1300	COUNTRY	2
411	Tsum	QUEEN	1306	gyalmu			queen	n.	1306	QUEEN	2
412	Tsum	KING	1508	gyalpo			king	n.	1508	KING	2
413	Tsum			gyalrap			history	n.		???	
414	Tsum	CITY	2547	gyalsa			city	n.	2547	CITY	2
416	Tsum			gyami			Chinese person, Tibetan person	adj.		???	
417	Tsum	FAR	1406	gyang			far	adv.	1406	FAR	2
418	Tsum			gyangśel			binocular	n.		???	
421	Tsum			gyapo' gyurwa			become fat	v.		???	
422	Tsum	DO	813	gyawa			do	v.	813	DO	2
423	Tsum			gyen			upward hill	adj.		???	
425	Tsum			gyengun			aged persons	n.		???	
426	Tsum			gyete			an instrument used by a carpenter	n.		???	
427	Tsum			gyeza pa			potato curry	n.		???	
428	Tsum			gyopa kyewa			repent	v.	1875	REGRET	4
429	Tsum	FAST	1631	gyopo			fast	adv.	1631	FAST	2
430	Tsum	IMMEDIATELY	1963	gyoporang			immediately	adv.	1963	IMMEDIATELY	2
431	Tsum			gyowa			faster	adj.		???	
433	Tsum			ha			oh!	interj.		???	
434	Tsum	UNDERSTAND	1536	ha gowa			understand	v.	1536	UNDERSTAND	2
435	Tsum			haltshul			here and there	adv.		???	
436	Tsum	STORM	858	haśur			storm	n.	858	STORM	2
437	Tsum			hau tśukṭwa			phew	interj.		???	
438	Tsum			haula			up there	adv.		???	
439	Tsum			hayang			aluminium (pot)	n.		???	
440	Tsum			heda			potato (lower Tsum)	n.	593	POTATO	4
441	Tsum			hi'tse			exam	n.		???	
442	Tsum			hi'tśe			belief	v.		???	
443	Tsum			higa			letter, alphabets	n.	1612	LETTER	4
444	Tsum			hiktse			examination	n.		???	
445	Tsum	HERE	136	hinala			here	adv.	136	HERE	2
446	Tsum	BUY	1869	hinang			but	conj.	1869	BUY	2
447	Tsum			hinang			Hinang (place in Nubri)	n.		???	
449	Tsum	SUDDENLY	2920	hoptak			suddenly	adv.	2920	SUDDENLY	2
450	Tsum	BROKEN	588	hortung			broken	n.	588	BROKEN	2
452	Tsum	PEA	2025	hrama kyaril			pea	n.	2025	PEA	2
453	Tsum	HARD	1884	hrante			hard	adj..	1884	HARD	2
455	Tsum			hrapśo			richest	adj.		???	
456	Tsum	DUSK	2297	hrawahriwe			dusk	n.	2297	DUSK	2
457	Tsum	BLISTER	1584	hrendźur			blister	n.	1584	BLISTER	2
458	Tsum	PRINCE (RULER)	2554	hrepo			prince	n.	2554	PRINCE (RULER)	2
459	Tsum			hreptśik			nearly, almost	adv.		???	
460	Tsum	FIREFLY	206	hrimneker			firefly	n.	206	FIREFLY	2
461	Tsum			hrimpo			vampire	n.		???	
462	Tsum			hringdźu			ring finger	n.		???	
463	Tsum	PIMPLE	1809	hringtśü'			pimple	n.	1809	PIMPLE	2
464	Tsum			hrira			nature	n.		???	
465	Tsum			hriwa			agree, leave the gift	v.		???	
466	Tsum	FALL	1280	hro			fall	v.	1280	FALL	2
467	Tsum			Hrölme			grazing grounds for nomads	n.		???	
470	Tsum	AMULET	2804	hruã			amulet	n.	2804	AMULET	2
471	Tsum			hruhru', ṭa hruhru'			curly (hair)	adj.		???	
472	Tsum	GATHER	7	hruktu tangwa			gather	v.	7	GATHER	2
473	Tsum	STORY	2060	hrung			story	n.	2060	STORY	2
474	Tsum	GUARD	1940	hrungwa			guard	v.	1940	GUARD	2
475	Tsum			Humlung			pass in northern Tsum	n.		???	
476	Tsum			hundzuk dźere			like that	adv.		???	
477	Tsum	IMMEDIATELY	1963	hundzüla			immediately	adv.	1963	IMMEDIATELY	2
478	Tsum			hup			sip	n.		???	
481	Tsum	UP	1591	hyala			up, above	post.	1591	UP	2
482	Tsum			i			four-legged endangered animal	n.		???	
483	Tsum			ĩ			okay (in an answer, or in a request)	interj.		???	
484	Tsum	YARD	736	ildo'			yard	n.	736	YARD	2
485	Tsum			imźe			maybe	v.		???	
486	Tsum			indźi			foreigner	n.		???	
487	Tsum			indzö'			this much	n.		???	
488	Tsum			intśi			tourist (with grey hair)	n.		???	
489	Tsum	STEEL	2343	isṭil			steel	n.	2343	STEEL	2
490	Tsum			izu'			hiccup	n.		???	
491	Tsum			dźangsem			compassion	n.		???	
492	Tsum			k.yuru			puppy (baby dog)	n.	74	PUPPY	4
493	Tsum			ka			dam	n.		???	
494	Tsum	GINGER	2500	ka			ginger	n.	2500	GINGER	2
495	Tsum	ORDER	1128	ka			order	n.	1128	ORDER	4
497	Tsum			kagyü			monk (Kagyupa)	v.		???	
501	Tsum			kale			hardship	n.		???	
502	Tsum	DIFFICULT	584	kale kapo			difficult	adj.	584	DIFFICULT	2
503	Tsum			kali			sheaf	n.		???	
504	Tsum			Kalung			place in northern Tsum where the valley splits three ways	n.		???	
505	Tsum			kam			dance (Nepali)	n.	1879	DANCE	4
508	Tsum			kamba			thinner	adj.		???	
509	Tsum			kamba			tongs; pincers	n.	272	TONGS	4
510	Tsum			kambo			thinner	adj.		???	
511	Tsum	BASKET	1539	kamdzel			basket	n.	1539	BASKET	2
512	Tsum	BLANKET	806	kamlo			blanket	n.	806	BLANKET	2
513	Tsum	RADIO	1315	kamlu			radio	n.	1315	RADIO	4
514	Tsum	WHERE	1237	kana			where	adv.	1237	WHERE	2
515	Tsum			kanakana			somewhere	adv.		???	
516	Tsum	WHERE	1237	kanala			where	adv.	1237	WHERE	2
517	Tsum			kang			during, while	adv.	726	WHILE	4
518	Tsum			kang			dysentery	n.		???	
519	Tsum	FULL	1429	kang			full	adj.	1429	FULL	2
