ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	nepaleseGloss	pos	headword	semanticDomain
86	Kagate	BUNDLE	2943	ᶫil‍dum			pack, bundle	कुम्लो	n	इःल्‍दुम	6.7.3
87	Kagate	COURTYARD	4	il‍dok			courtyard	आँगन	n	इल्‍दोक	9.4.6.1
88	Kagate	SCHOOL	673	is‍kul			school	विद्यालय	n	इस्‍कुल	6.5.1
89	Kagate			isʲaŋa			Tamang caste	तामाङ	n	इस्‍याङा	4.1.9.9
90	Kagate	FIVE	493	ŋa			five;spell	पाँच;मन्त्र	num	ङा	8.1.1.1
91	Kagate	I	1209	ᶫŋa			I	म	pro	ङाः	8.5
92	Kagate	I	1209	ᶫŋai			I	मैले	pro	ङाःइ	3.3.4
93	Kagate	MY	2090	ᶫŋaidira			my	मेरो नै	pro	ङाःइदीरा	3.5.1.7.3
94	Kagate			ᶫŋakla ludze			practice;memory	अभ्यास;कण्ठ	n	ङाःक्लालुजे	6.1.8
95	Kagate			ŋaŋ‍dze			to startle	तर्सिनु	v	ङाङ्‍जे	3.4.2.4
96	Kagate	THREATEN	1192	ŋaŋ‍reteŋ‍dze			to threaten	हप्काउनु, धम्काउनु	v	ङाङ्‍रेतेङ्‍जे	
97	Kagate			ŋadze			to rub with the blade of a cutter	रेट्नु	v	ङाजे	6.2.1.1.1
98	Kagate			ŋadzʲaŋ			Ngajyang (name of a person)	ङाज्याङ (नाम)	n	ङाज्‍याङ	9.7.1.2
99	Kagate			ŋaᶫpedze			to chants	जप्नु, मन्त्र गर्नु	v	ङापेःजे	4.9
100	Kagate			ᶫŋap‍tse			Ding (scar pain, cognition)	टनटन (घाउको दुखाइको अनुभूति)	adv	ङाःप्‍चे	2.5.6.1
101	Kagate	FIFTY	1717	ŋap‍tsʲu			fifty	पचास	num	ङाप्‍च्‍यु	8.1.1.1
102	Kagate	TAIL	1220	ŋama			tail;rump	पुच्छर;चाक	n	ङामा	6.3.1.1
103	Kagate	MORNING	1339	ŋamu			morning	बिहान	n	ङामु	4.2.6.3
104	Kagate			ŋar			type of flat or depthless drum that can be struck with a stick on both sides	ढ्याङ्ग्रो	n	ङार	6.6.4.3
105	Kagate	DARE	1779	ᶫŋar			dare	आँट	n	ङाःर	4.4.3.1
106	Kagate			ᶫŋaraᶫem‍ba			challenger (person)	मै हुँ भन्‍ने	adv	ङाःराएःम्‍बा	4.3.2.3
107	Kagate			ŋarku			type of tree	गुर्मिसो	n	ङार्कु	
108	Kagate	SNORE	1983	ᶫŋartse			to snore;to attack	घुर्नु;झम्टिनु	v	ङाःर्चे	3.5.1.5.1
109	Kagate	TOMORROW	1329	ŋarto			tomorrow	भोलि	n	ङार्तो	8.4.1.2.2
110	Kagate			ŋartoᶫrara			on the next day	भोलिपल्ट	n	ङार्तोराःरा	
111	Kagate	STRONG	785	ᶫŋarpa			strong;energetic;quick	चर्को;जाँगरिलो;छिटो	adj	ङाःर्पा	6.8.2.7
112	Kagate	SWEET	717	ŋarmu			sweet	गुलियो	adj	ङार्मु	5.2.2.4
113	Kagate			ŋarmu ᶫnadza			diabetes	मधुमेह रोग	n	ङार्मु नाःजा	2.5.2
114	Kagate	GRAPE	920	ŋarmu ᶫbrum‍do			grape	अङ्गुर	n	ङार्मु ब्रुम्‍दो	5.2.3.1.2
115	Kagate			ᶫŋarsi			energetic	जाँगरिलो	adj	ङाःर्सी	6.1.2.8
116	Kagate	FATIGUE	1140	ᶫŋal			fatigue	थकाई	n	ङाःल	2.4.4
117	Kagate	TIRED	1757	ᶫŋal / tʰaŋ sodze			to be tired;to rest a load	थकाई मर्नु;बिसाउनु	v	ङाःल / थाङ सोजे	2.4.4
118	Kagate	REST	168	ᶫŋal sodze			to rest;to rest a load	विश्राम गर्नु;बिसाउनु	v	ङाःल सोजे	7.1.7.1
119	Kagate	ME	2301	ᶫŋala			me	मलाई	adv	ङाःला	3.5.1.8.1
120	Kagate			ᶫŋal‍tsʰodze			to rest a load	बिसाउनु	v	ङाःल्‍छोजे	8.4.1.8
121	Kagate			ŋal‍tsʰosa			resting place;platform made of stone, brick or wood for resting on, usually under a tree or at a crossroad	बिसौनी;चौतारा	n	ङाल्‍छोसा	6.5.1
122	Kagate			ŋal‍ɖiŋ			drumstick (used by witch doctor)	ढ्याङ्ग्रो ठटाउने गज्ज	n	ङाल्‍डीङ	
123	Kagate	FATIGUE	1140	ᶫŋal‍si			fatigue	थकाइ, थकान	n	ङाःल्‍सी	3.4.1.4.6
124	Kagate	TWO	1498	ŋi			two;sleep	दुई;निन्द्रा	num	ङी	6.8.1.4
125	Kagate	WE	1212	ᶫŋi			we	हामी	pro	ङीः	
126	Kagate			ŋik‍kar			both	दुवै	num	ङीक्‍कार	8.1.5.3
127	Kagate	SWALLOW	897	ᶫŋik‍tse			to swallow	निल्नु	v	ङीःक्‍चे	5.2.2
128	Kagate			ᶫŋik‍pa				खाँदा खेर अड्किने प्रक्रिया		ङीःक्‍पा	
129	Kagate	CHOKE	129	ᶫŋik‍pa ʈʰil‍dze			to choke	गला लाग्नु	v	ङीःक्‍पा ठील्‍जे	
130	Kagate	PEN	794	ŋigu			pen;ink	कलम;मसी	n	ङीगु	3.6.2
131	Kagate	BELIEVE	1890	ᶫŋiŋ‍dze			to believe;to agree	विश्वास गर्नु, विश्वास लिनु;मान्‍नु	v	ङीःङ्‍जे	2.6.6.3
132	Kagate	OBEY	1635	ᶫŋiŋ‌dze			to obey, agree, acknowledge	मान्‍नु	v	ङीःङ्‌जे	4.8.4
133	Kagate	SLEEP	1585	ŋitsu			sleep	निन्द्रा	n	ङीचु	5.7.3
134	Kagate			ŋitsu madaŋ‍kʲok			sleepless	अनिदो, निन्द्रा नपुगेको	adj	ङीचु मादाङ्‍क्योक	3.4.2.4.1
135	Kagate	TWO	1498	ŋitʰal			two	दुई ओटा	num	ङीथाल	2.6.3.8
136	Kagate			ᶫŋin‍tsʲudze			to be obedient	मान्‍न लगाउनु	v	ङीःन्‍च्‍युजे	3.4.1.1.1
137	Kagate	OBEY	1635	ᶫŋin‍dze			to acknowledge, respect, obey	मान्‍नु	v	ङीःन्‍जे	2.3.2.1
138	Kagate			ᶫŋin‍dzeŋ			to agree	मान्‍नु	v	ङीःन्‍जेङ	
139	Kagate	MEMORY	1018	ᶫŋin‍tʰe			recollection, memory, knowledge, learning, understanding	याद	n	ङीःन्‍थे	7.6.1
140	Kagate			ᶫŋipak			cane mat;knot	मान्द्रे;गाँठो	n	ङीःपाक	8.1.1.7
141	Kagate			ᶫŋipak ᶫkʲap‍tse			to be joined	दोबार पार्नु, गाँठो पार्नु	v	ङीःपाक क्‍याःप्‍चे	3.4.2.1
142	Kagate			ŋiputsʰe			half asleep	मध्य निन्द्रा	n	ङीपुछे	
143	Kagate	WITH	1340	ŋibu / ŋimu			with	सँग, सित	conn	ङीबु	9.6.1.3
144	Kagate	DAY (NOT NIGHT)	1225	ᶫŋima			day;sun	दिन;घाम	n	ङीःमा	5.2.2.2
145	Kagate			ᶫŋima tsʰeki			Ngihma Chheki (name of a person)	ङीमाछीकी (नाम)	n	ङीःमा छेकी	9.7.1.1
146	Kagate			ᶫŋima ᶫɖol‍ma			Ngihma Dolma (name of a person)	ङीमाडोल्मा (नाम)	n	ङीःमा डोल्‍मा	9.7.1.1
147	Kagate			ᶫŋima taŋ‍dze			time spend time	दिन कटाउनु	v	ङीःमा ताङ्‍जे	8.4.2
148	Kagate			ᶫŋima ᶫteki			Ngihma Tehki (name of a person)	ङीमातेकी (नाम)	n	ङीःमा तेःकी	9.7.1.1
149	Kagate			ᶫŋima pʰe			half day	आधा दिन	adv	ङीःमा फे	8.4.7.3
150	Kagate			ᶫŋima ᶫmarmu			red sun	रातो घाम	n	ङीःमा माःर्मु	
151	Kagate	SUNFLOWER	1956	ᶫŋima men‍do			sunflower	सूर्यमुखीफुल	n	ङीःमा मेन्‍दो	5.2.3.3.5
152	Kagate	MIDDAY	12	ᶫŋimakarpu			midday, noon	मध्यान्ह, दिउँसो	adv	ङीःमाकार्पु	1.1.3
153	Kagate			ᶫŋimari-ᶫʈaŋ‍ma			daily	दिन-दिनकै	adv	ङीःमारी-टाःङ्‍मा	8.4.6.6.4
154	Kagate			ᶫŋimaɬamu			Ngihma Lhamu (name of a person)	ङीमाल्हामु (नाम)	n	ङीःमाल्‍हामु	9.7.1.1
155	Kagate	TOGETHER	2482	ŋimu / ᶫŋibu			together	सँग	adv	ङीमु	6.8
156	Kagate	DAY (NOT NIGHT)	1225	ᶫŋimu			day;date	दिन;मिति	n	ङीःमु	4.2.2.1
157	Kagate	WITH	1340	ŋimu-ŋimura			with	सँग-सँगै	adv	ङीमु-ङीमुरा	9.6
158	Kagate	TOGETHER	2482	ŋimura			together	सँगै	adv	ङीमुरा	4.2.1.4
159	Kagate	SLEEP	1585	ŋilodze			to sleep	निदाउनु	v	ङीलोजे	2.4.4
160	Kagate	TWENTY	1710	ᶫŋisʲu			twenty	बीस	num	ङीःस्‍यु	1.6.2.2
161	Kagate			ᶫŋugere / ᶫŋundzere			person who cries easily	रुन्चे	n	ङुःगेरे / ङुःन्जेरे	3.4.2.4.3
162	Kagate	CRY	1839	ᶫŋudze			to weep	रुनु	v	ङुःजे	3.4.2.1
163	Kagate	SUCK	1421	ŋup‍tse			to suck	चुस्‍नु, केही चिज मुख गाडेर खानु	v	ङुप्‍चे	2.6.4.1.1
164	Kagate			ŋup‍tak			alcohol	रक्सी	n	ङुप्‍ताक	
165	Kagate			ŋurpu			snoring	घुर्दा निस्कने आवाजको नाम	n	ङुर्पु	5.7.2
166	Kagate	SNORE	1983	ŋurpu ten‍dze			to snore	घुर्नु, राती निद्रामा आवाज निकाल्नु	v	ङुर्पु तेन्‍जे	3.4.2.4.2
167	Kagate	SILVER	759	ŋul			silver	चाँदी	n	ङुल	6.8.1.4
168	Kagate	SWEAT (SUBSTANCE)	125	ŋul‍dzʲu			sweat, perspiration	पसीना	n	ङुल्‍ज्‍यु	8.3.4
169	Kagate			ŋul‍laŋ			silver mine	चाँदी खानी	n	ङुल्‍लाङ	6.6.2.1
170	Kagate	POT	1462	ŋeki			pot	भाँडा	n	ङेकी	
171	Kagate			ŋekitsʰega			pots	भाँडाकुँडा	n	ङेकीछेगा	2.6.1.1
172	Kagate			ᶫŋeŋ‍gokpa			wizard	बेद्वारा	n	ङेःङ्‍गोक्पा	4.9.4.1
173	Kagate	FIND	719	ŋetse			to find, to get	भेट्नु, पाउनु	v	ङेचे	6.1.2.2.3
174	Kagate			ᶫŋedi			great crime	पातक	n	ङेःदी	3.4.2.1.2
175	Kagate	DEFECT	1995	ᶫŋen			defect	खोट	n	ङेःन	
176	Kagate			ŋen-  pen			one's own relative	आफन्त	n	ङेन-पेन	3.4.2.1.6
177	Kagate			ŋen‍dzen ᶫpedze			to deride, to joke	गिज्याउनु, जिस्किनु	v	ङेन्‍जेन पेःजे	3.4.2.3.1
178	Kagate			ᶫŋen‍si kʲaŋ‍dze			to give advice	अर्ती उपदेश दिनु	v	ङेःन्‍सी क्याङ्‍जे	
179	Kagate			ᶫŋem‍ba			Chhetri (caste), Brahmin (caste)	क्षेत्री, बाहुन	n	ङेःम्‍बा	4.1.9.9
180	Kagate			ŋeri			kindly	गुणाकर, आज्ञाकारी, ज्ञानी	adj	ङेरी	4.1
181	Kagate			ŋoibi tsam‍ba			flour of dried corn or barley	सातु, भुटेको अन्‍नको पिठो	n	ङोइबी चाम्‍बा	5.2.3.3.1
182	Kagate			ŋokʲok mai			fried corn	भुटेको मकै	n	ङोक्‍योक माइ	5.2.2.2
183	Kagate	SHAME	1776	ᶫŋotsʰa			shame	लज्जा	n	ङोःछा	3.4.2.2.1
184	Kagate			ᶫŋotsʰa ᶫm‍japa			not ashamed	लज्जा छैन		ङोःछा म्‍याःपा	3.4.2.2.1
185	Kagate			ᶫŋotsʰai sin‍di			embarassing, something to be ashamed of	लज्जित मर्दो	adv	ङोःछाइ सीन्‍दी	3.5.5.1
186	Kagate			ᶫŋotsʰadze			to be ashamed	लजाउनु	v	ङोःछाजे	5.3.8
187	Kagate			ᶫŋotsʰadzeᶫrara			embarassing	लज्जा लाग्दो	adj	ङोःछाजेराःरा	5.3.8
188	Kagate			ᶫŋotsʰaba			being ashamed	लज्जा लाग्यो		ङोःछाबा	3.4.2.2.1
189	Kagate			ᶫŋotsʰabu			humble	लज्जालु	adj	ङोःछाबु	3.4.2.2.1
190	Kagate	ASHAMED	1894	ᶫŋotsʰare			ashamed	लज्जित	adv	ङोःछारे	3.4.2.2.1
191	Kagate			ŋodze			parsley;to fry	साग;भुट्नु	n	ङोजे	6.2.1.3
192	Kagate			ŋodzʲak			vegetarian	शाकाहारी	n	ङोज्‍याक	5.2.3.1
193	Kagate			ŋon‍dzere			shameless	गति छाडा		ङोन्‍जेरे	4.3.5.5
194	Kagate	GREEN	1425	ŋom‍bo			green	हरियो	adj	ङोम्‍बो	6.6.5
195	Kagate			ᶫŋom‍bo			waking moments (opposite of dreaming)	बिपना	n	ङोःम्‍बो	
196	Kagate			ŋom‍bo tsaŋ‍bu			green river	हरियो कोशी		ङोम्‍बो चाङ्‍बु	8.3.3.3.4
197	Kagate			ŋortse			to ignite	ढड्याउनु, सल्काउनु	v	ङोर्चे	6.3.6
198	Kagate	DISGRACE	75	ŋolakaŋ‍jar			disgrace	बेइज्जत	n	ङोलाकाङ्‍यार	
199	Kagate			ᶫŋosi			introduction	चिनजान, परिचित	n	ङोःसी	4.1.3
200	Kagate			ᶫŋosi tertse			to introduce	परिचय दिनु	v	ङोःसी तेर्चे	3.2.6.2
201	Kagate			ᶫŋosi ᶫpedze			to introduce	चिनजान गर्नु	v	ङोःसी पेःजे	3.2.3.3
202	Kagate	KNOW (SOMETHING)	1410	ᶫŋosedze			to know, recognize	चिन्‍नु	v	ङोःसेजे	3.2.3.1
203	Kagate	TOP	1753	nʲa			top, top of bed	सिरान, शिर	n	ङ्‍या	1.3.1.4
204	Kagate	FISH	227	ᶫnʲa			fish	माछा	n	ङ्‍याः	6.4.5.1
205	Kagate	MEMORY	1018	ᶫnʲak			memory	कण्ठा	n	ङ्‌याःक	
206	Kagate			ᶫnʲak‍se			desperate	खिन्‍नता	adv	ङ्‍याःक्‍से	3.4.2.3
207	Kagate			ᶫnʲaga			scales	तराजु, तुलो	n	ङ्‍याःगा	8.2.8
208	Kagate	GLUTTON	533	nʲagure			glutton	घिचुवा	adj	ङ्‍यागुरे	4.3.6.1
209	Kagate			nʲatsʲak‍ka			disappointment	ङिच्रिक्कका (अँधेरो मुख लगाउनु)	adj	ङ्‍याच्‍याक्‍का	3.4.2.1.4
210	Kagate			nʲadze			to eat greedily	घिच्नु (नकारात्मक)	v	ङ्‍याजे	
211	Kagate			nʲãdo			eat (curse)	घिच	n	ङ्‍याँदो	
212	Kagate	ARRIVE	1387	nʲap‍tse			to reach	भेट्नु (आफू भन्दा माथिको सामान भेट्नु)	v	ङ्‍याप्‍चे	7.3.4.5
213	Kagate	VIOLENCE	2976	nʲap‍tsʲuk			violence, mockery	हिंसा, खिसी	adj	ङ्‍याप्‍च्‍युक	6.1.4
214	Kagate			nʲap‍tsʲok			mockery;contempt	खिसी;हेला	adj	ङ्‍याप्‍च्‍योक	3.5.1.8.3
215	Kagate	PILLOW	1044	nʲabul			pillow	सिरानी	n	ङ्‍याबुल	5.1.1.3
216	Kagate			ᶫnʲam			experience	अनुभव	n	ङ्‍याःम	3.2.4
217	Kagate			ᶫnʲam tsetse			to remind	सम्झाउनु	v	ङ्‍याःम चेचे	
218	Kagate			ᶫnʲam leŋ‍dze			to experience	अनुभव लिनु	v	ङ्‍याःम लेङ्‍जे	3.3.2.3
219	Kagate			ᶫnʲam‍dze			to be dead	मृत्यु हुनु	v	ङ्‍याःम्‍जे	4.4.2
220	Kagate	WRINKLE	2294	nʲarkum			wrinkle	चाउरी	adj	ङ्‍यार्कुम	8.3.1.5
221	Kagate			ᶫnʲaloŋ			raspberry	ऐंसेलु	n	ङ्‍याःलोङ	5.2.3.1
222	Kagate			nʲal‍dze			to cause to sleep	सुताउनु	v	ङ्‍याल्‍जे	2.4.5
223	Kagate	SLEEP	1585	ᶫnʲal‍dze			to sleep	सुत्नु	v	ङ्‍याःल्‍जे	7.1.3
224	Kagate			ᶫnʲal‍ne			someone always sleeping	सुतुवा		ङ्‍याःल्‍ने	5.7
225	Kagate	HELL	878	nʲal‍‍wa			hell	नर्क, नरक	n	ङ्‍याल्‍‍वा	4.9.6
226	Kagate	INSECT	620	nʲal‍wa			insect;hell	कीरा;नरक	n	ङ्‍याल्‍वा	4.9.6
227	Kagate	BEDROOM	2505	ᶫnʲal‍sa			bedroom	सुत्ने ठाउँ	n	ङ्‍याःल्‍सा	6.5.2.7
228	Kagate			nʲasʲarak‍ka			lonely	न्यास्रो	adj	ङ्‍यास्‍याराक्‍का	
229	Kagate			nʲul-nʲul-nʲul			consisting of small particles	मिहिन	n	ङ्‍युल-ङ्‍युल-ङ्‍युल	2.3.5
230	Kagate	DIRTY	1230	nʲok‍pa			dirty, blurred	मैलो, फोहोर मैला, धमिलो	adj	ङ्‍योक्‍पा	1.2.2.1
231	Kagate			ᶫnʲogen ᶫmi			customer	ग्राहक	n	ङ्‍योःगेन मीः	6.9.3
232	Kagate			nʲodze			to become mad or insane	बौलाउनु	v	ङ्‍योजे	2.5.6.6
233	Kagate			nʲõdze			to press with feet	खुँद्नु, रुमल्नु	v	ङ्‍योँजे	
234	Kagate	BUY	1869	ᶫnʲodze			to buy	किन्‍नु	v	ङ्‍योःजे	6.8.4.1
235	Kagate			nʲodzʲul			to joke	छिल्याइ, छिल्लिनु	v	ङ्‍योज्‍युल चाजे	
236	Kagate	MAD	1899	nʲobak			mad	पागल	n	ङ्‍योबाक	
237	Kagate	MAD	1899	nʲom‍bak / nʲobak			mad, crazy, insane	बौलाहा, पागल	n	ङ्‍योम्‍बाक / ङ्‍योबाक	3.2.1.4
238	Kagate			nʲortse			trample	खुँद्नु, रुमल्नु	v	ङ्‍योर्चे	3.4.2.1.3
