# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SEGMENTS
26971	Motuo_Menba	ABOVE	gaten	over / above	OLD	g a t e n	431	431	g a t e n
28154	Tibetan_Lhasa	ABOVE	jɛ	over / above	OLD	j ɛ	198	198	j ɛ
28155	Tibetan_Lhasa	ABOVE	oŋla	over / above	OLD	o ŋ l a	1035	1035	o ŋ l a
29109	Daofu	ABOVE	rənvɛ	over / above	OLD	r ə n v ɛ	1310	1310	r ə n v ɛ
29539	Dulong	ABOVE	lɯkɑpɑŋ	over / above	OLD	l ɯ k ɑ p ɑ ŋ	1265	1265	l ɯ k ɑ p ɑ ŋ
29810	Tibetan_Batang	ABOVE	jaʔ	over / above	OLD	j a ʔ	198	198	j a ʔ
30363	Jingpho	ABOVE	n	over / above	OLD	n	1765	1765	n
31603	Zhaba_Daofu_County	ABOVE	ʌɿ	over / above	OLD	ʌ ɿ	2262	2262	ʌɿ
31766	rGyalrong_Maerkang	ABOVE	wupri	over / above	OLD	w u p r i	2290	2290	w u p r i
32401	Tibetan_Xiahe	ABOVE	janar	over / above	OLD	j a n a r	198	198	j a n a r
33503	Lisu	ABOVE	gs	over / above	OLD	g s	2668	2668	g s
33962	Bokar	ABOVE	jandap	over / above	OLD	j a n d a p	198	198	j a n d a p
40319	Khaling	ABOVE	tuŋ		OLD	t u ŋ	3493	3493	t u ŋ
40320	Limbu	ABOVE	ɛtaŋ		OLD	ɛ t a ŋ	20	20	ɛ t a ŋ
40756	Old_Chinese	ABOVE	daŋʔs		OLD	d a ŋ ʔ s	20	20	d a ŋ ʔ s
41055	Old_Burmese	ABOVE	ʔaak		OLD	ʔ a a k	49	49	ʔ aa k
41552	Wobzi_Khroskyabs	ABOVE	ɑ		OLD	ɑ	49	49	ɑ
41804	Chepang	ABOVE	puhʔə	upper part, above, overhead	OLD	p u h ʔ ə	3791	3791	p u h ʔ ə
42071	Garo	ABOVE	sakao	above; beyond; on top (pp)	OLD	s a k a o	3915	3915	s a k ao
42395	Thulung	ABOVE	ɖla		OLD	ɖ l a	4050	4050	ɖ l a
42629	Thulung	ABOVE	gele		OLD	g e l e	4111	4111	g e l e
42641	Hakha_Chin	ABOVE	ùŋ	above (prep.)	OLD	ù ŋ	744	744	ù ŋ
#
10072	Old_Tibetan	ALL	amsad	all	OLD	a m s a d	3682	3682	a m s a d
10085	Khaling	ALL	le	all	OLD	l e	1273	1273	l e
10086	Limbu	ALL	kak	all	OLD	k a k	1320	1320	k a k
10101	Japhug	ALL	amɤt	all	OLD	a m ɤ t	3682	3682	a m ɤ t
10105	Tangut	ALL	zji	all	OLD	z j i	0	0	z j i
43145	Bunan	ALL	aŋi	all	OLD	a ŋ i	5663	5663	a ŋ i
43180	Byangsi	ALL	lairi	all	OLD	l a i r i	6208	6208	l ai r i
43398	Rongpo	ALL	ruoko	all	OLD	r u o k o	6209	6209	r uo k o
43632	Kulung	ALL	ttɔ	all (adv.)	OLD	t t ɔ	6288	6288	tt ɔ
43633	Kulung	ALL	lɔ	all, every (adv.)	OLD	l ɔ	1273	1273	l ɔ
43858	Bantawa	ALL	amməj	all, every	OLD	a m m ə j	6522	6522	a mm ə j
44097	Achang_Longchuan	ALL	pʐapʐa	all 1	OLD	p ʐ a p ʐ a	8001	8001	p ʐ a p ʐ a
44099	Lashi	ALL	panʃʔ	all 1	OLD	p a n ʃ ʔ	8003	8003	p a n ʃ ʔ
44100	Maru	ALL	pəŋʃɔʔ	all 1	OLD	p ə ŋ ʃ ɔ ʔ	8003	8003	p ə ŋ ʃ ɔ ʔ
44101	Xiandao	ALL	ot	all 4	OLD	o t	8004	8004	o t
44102	Atsi	ALL	lṵŋlŋ	all 2	OLD	l ṵ ŋ l ŋ	8005	8005	l ṵ ŋ l ŋ
44103	Bola	ALL	alp	all 2	OLD	a l p	8006	8006	a l p
44741	Rangoon	ALL	ɑjɑ		OLD	ɑ j ɑ	8340	8340	ɑ j ɑ
45707	Old_Tibetan	ALL	kun		OLD	k u n	3899	3899	k u n
43399	Rongpo	ALL	səb	all	OLD	s ə b	6207	6207	s ə b
48176	Tangut	ALL	zji		OLD	z j i	0	0	z j i
48196	Tangut	ALL	rjur		OLD	r j u r	0	0	r j u r
26978	Jingpho	ALL	ŋamăŋa	all / everything	OLD	ŋ a m ă ŋ a	1274	1274	ŋ a m ă ŋ a
27146	Motuo_Menba	ALL	ameʔ	all / everything	OLD	a m e ʔ	3682	3682	a m e ʔ
27455	Tibetan_Xiahe	ALL	hano	all / everything	OLD	h a n o	5662	5662	h a n o
27994	rGyalrong_Maerkang	ALL	kəᴇt	all / everything	OLD	k ə ᴇ t	3969	3969	k əᴇ t
28332	Tibetan_Lhasa	ALL	aŋma	all / everything	OLD	a ŋ m a	5663	5663	a ŋ m a
29256	Daofu	ALL	əmɛ	all / everything	OLD	ə m ɛ	3682	3682	ə m ɛ
29712	Dulong	ALL	sɯnɑʔ	all / everything	OLD	s ɯ n ɑ ʔ	1276	1276	s ɯ n ɑ ʔ
29950	Tibetan_Batang	ALL	jɛʔ	all / everything	OLD	j ɛ ʔ	5664	5664	j ɛ ʔ
31326	Tibetan_Lhasa	ALL	kaŋka	all / everything	OLD	k a ŋ k a	5665	5665	k a ŋ k a
31749	Zhaba_Daofu_County	ALL	joo	all / everything	OLD	j o o	4514	4514	j oo
33668	Lisu	ALL	hŋm	all / everything	OLD	h ŋ m	3683	3683	h ŋ m
33761	Bokar	ALL	kəbaŋ	all / everything	OLD	k ə b a ŋ	1321	1321	k ə b a ŋ
34717	Tibetan_Alike	ALL	aŋmæ	all / everything	OLD	a ŋ m æ	5663	5663	a ŋ m æ
35848	Japhug	ALL	lona	all	OLD	l o n a	1275	1275	l o n a
40757	Old_Chinese	ALL	brom		OLD	b r o m	1186	1186	b r o m
40758	Old_Chinese	ALL	rəm		OLD	r ə m	3684	3684	r ə m
41056	Old_Burmese	ALL	ʔakun		OLD	ʔ a k u n	3899	3899	ʔ a k u n
41553	Wobzi_Khroskyabs	ALL	pâ		OLD	p â	5037	5037	p â
41805	Chepang	ALL	əmbay	all, completely (<H jəmma all + -ʔəy emphatic)	OLD	ə m b a y	5140	5140	ə m b ay
41806	Chepang	ALL	u	all, completely	OLD	u	5141	5141	u
42072	Garo	ALL	bebak	all (n)	OLD	b e b a k	5308	5308	b e b a k
42396	Thulung	ALL	otle		OLD	o t l e	1273	1273	o t l e
42642	Hakha_Chin	ALL	zt	all (adj.)	OLD	z t	5779	5779	z t
#
43013	Bunan	ANT	kurkuʈik	ant	OLD	k u r k u ʈ i k	214	214	k u r k u ʈ i k
43233	Byangsi	ANT	nɔŋkr	ant	OLD	n ɔ ŋ k r	2954	2954	n ɔ ŋ k r
43682	Kulung	ANT	alem	black ant (n.)	OLD	a l e m	648	648	a l e m
43859	Bantawa	ANT	ɨkɨjaŋ	ant	OLD	ɨ k ɨ j a ŋ	2549	2549	ɨ k ɨ j a ŋ
44109	Atsi	ANT	pauvoʔ	ant 1	OLD	p a u v o ʔ	2954	2954	p au v o ʔ
44110	Bola	ANT	ɣɔʔ	ant 1	OLD	ɣ ɔ ʔ	2954	2954	ɣ ɔ ʔ
44111	Lashi	ANT	lajɛt	ant 1	OLD	l a j ɛ t	879	879	l a j ɛ t
44112	Maru	ANT	ɣuk	ant 1	OLD	ɣ u k	2954	2954	ɣ u k
44113	Xiandao	ANT	aŋan	ant 2	OLD	a ŋ a n	880	880	a ŋ a n
44140	Achang_Longchuan	ANT	iman	ant 2	OLD	i m a n	891	891	i m a n
44523	Rangoon	ANT	pɑjwɛʔeʔ		OLD	p ɑ j w ɛ ʔ e ʔ	2954	2954	p ɑ j w ɛ ʔ e ʔ
45750	Bahing	ANT	gaiŋma	ant (n)	OLD	g a i ŋ m a	943	943	g ai ŋ m a
45975	Lushai	ANT	faŋir	ant (generic)	OLD	f a ŋ i r	1508	1508	f a ŋ i r
45976	Lushai	ANT	tlûŋpi	ant (white), termite	OLD	t l û ŋ p i	1509	1509	t l û ŋ p i
46523	Beijing	ANT	maji	ant	OLD	m a j i	1705	1705	m a j i
46524	Guangzhou	ANT	ŋi	ant	OLD	ŋ i	1705	1705	ŋ i
46525	Chaozhou	ANT	hia		OLD	h i a	1705	1705	h ia
46526	Longgang	ANT	likʊŋ		OLD	l i k ʊ ŋ	10270	10270	l i k ʊ ŋ
46527	Jieyang	ANT	hia		OLD	h i a	1705	1705	h ia
46528	Xingning	ANT	mikʊm		OLD	m i k ʊ m	10269	10269	m i k ʊ m
43456	Rongpo	ANT	kirməla	ant	OLD	k i r m ə l a	214	214	k i r m ə l a
47603	Ukhrul	ANT	caliŋ	ant	OLD	c a l i ŋ	29744	29744	c a l i ŋ
47805	Hayu	ANT	ikibʊʔla	ant (n)	OLD	i k i b ʊ ʔ l a	2549	2549	i k i b ʊ ʔ l a
48012	Tangut	ANT	kjiwr		OLD	k j i w r	2954	2954	k j i w r
48327	Mikir	ANT	misò		OLD	m i s ò	10501	10501	m i s ò
48571	Rabha	ANT	soŋsomar	ant	OLD	s o ŋ s o m a r	10500	10500	s o ŋ s o m a r
27907	Tibetan_Lhasa	ANT	ma	ant	OLD	m a	2954	2954	m a
24891	Tibetan_Xiahe	ANT	mbəaχma	ant	OLD	m b ə a χ m a	2954	2954	m b əa χ m a
25207	Motuo_Menba	ANT	aŋila	ant	OLD	a ŋ i l a	3740	3740	a ŋ i l a
26608	Jingpho	ANT	kăkjin	ant	OLD	k ă k j i n	195	195	k ă k j i n
27592	rGyalrong_Maerkang	ANT	orok	ant	OLD	o r o k	2954	2954	o r o k
27811	Lisu	ANT	bl	ant	OLD	b l	2957	2957	b l
27825	Tibetan_Alike	ANT	okmæ	ant	OLD	o k m æ	2954	2954	o k m æ
29534	Tibetan_Batang	ANT	aoʔuma	ant	OLD	a o ʔ u m a	2954	2954	ao ʔ u m a
31390	Zhaba_Daofu_County	ANT	poʐo	ant	OLD	p o ʐ o	2954	2954	p o ʐ o
31506	Darang_Taraon	ANT	kɯjɯ	ant	OLD	k ɯ j ɯ	29743	29743	k ɯ j ɯ
33338	Bokar	ANT	taruk	ant	OLD	t a r u k	2954	2954	t a r u k
34605	Yidu	ANT	pɑsi	ant	OLD	p ɑ s i	2910	2910	p ɑ s i
34706	Dulong	ANT	ɕɯɹɔʔ	ant	OLD	ɕ ɯ ɹ ɔ ʔ	2954	2954	ɕ ɯ ɹ ɔ ʔ
35256	Daofu	ANT	sro	ant	OLD	s r o	2954	2954	s r o
35807	Japhug	ANT	qro	ant	OLD	q r o	2954	2954	q r o
40503	Khaling	ANT	elem		OLD	e l e m	648	648	e l e m
40759	Old_Chinese	ANT	majʔ		OLD	m a j ʔ	1705	1705	m a j ʔ
40760	Old_Chinese	ANT	oʔ		OLD	o ʔ	2954	2954	o ʔ
41114	Old_Burmese	ANT	purkip		OLD	p u r k i p	2954	2954	p u r k i p
41522	Limbu	ANT	sikcempa		OLD	s i k c e m p a	2549	2549	s i k c e m p a
41554	Wobzi_Khroskyabs	ANT	srɣ		OLD	s r ɣ	2954	2954	s r ɣ
41807	Chepang	ANT	koŋrok	ant (sp.), small black ant with several varieties	OLD	k o ŋ r o k	2954	2954	k o ŋ r o k
42073	Garo	ANT	similak	ant (n)	OLD	s i m i l a k	3916	3916	s i m i l a k
42354	Old_Tibetan	ANT	grogma		OLD	g r o g m a	2954	2954	g r o g m a
42452	Thulung	ANT	alem		OLD	a l e m	648	648	a l e m
42644	Hakha_Chin	ANT	ete	ant (n.)	OLD	e t e	4114	4114	e t e
#
42921	Old_Tibetan	ARMPIT	mtanuŋ		OLD	m t a n u ŋ	140	140	m t a n u ŋ
43234	Byangsi	ARMPIT	cukli	armpit	OLD	c u k l i	366	366	c u k l i
43457	Rongpo	ARMPIT	kəgrji	armpit	OLD	k ə g r j i	500	500	k ə g r j i
43683	Kulung	ARMPIT	bajajam	armpit (also with haplology: bayam) (n.)	OLD	b a j a j a m	649	649	b a j a j a m
44939	Achang_Longchuan	ARMPIT	kăliŋuaʔ	armpit	OLD	k ă l i ŋ u a ʔ	1157	1157	k ă l i ŋ ua ʔ
45006	Rangoon	ARMPIT	i	armpit	OLD	i	1190	1190	i
45071	Atsi	ARMPIT	kăkoŋ	armpit	OLD	k ă k o ŋ	1209	1209	k ă k o ŋ
45106	Maru	ARMPIT	lɔʔɛʔ	armpit	OLD	l ɔ ʔ ɛ ʔ	1228	1228	l ɔ ʔ ɛ ʔ
45149	Lashi	ARMPIT	lɔʔap	armpit	OLD	l ɔ ʔ a p	1228	1228	l ɔ ʔ a p
45265	Xiandao	ARMPIT	lɔʔsanʐoʔ	armpit	OLD	l ɔ ʔ s a n ʐ o ʔ	3707	3707	l ɔ ʔ s a n ʐ o ʔ
45316	Bola	ARMPIT	laʔɛʔ	armpit	OLD	l a ʔ ɛ ʔ	1228	1228	l a ʔ ɛ ʔ
46529	Beijing	ARMPIT	kaʅwɔ	armpit	OLD	k a ʅ w ɔ	1706	1706	k aʅ w ɔ
46530	Guangzhou	ARMPIT	kaklkti	armpit	OLD	k a k l k t i	1707	1707	k a k l k t i
46531	Longgang	ARMPIT	lakaktaiha		OLD	l a k a k t a i h a	1708	1708	l a k a k t ai h a
46532	Jieyang	ARMPIT	kɔilaŋɛ		OLD	k ɔ i l a ŋ ɛ	1709	1709	k ɔi l a ŋ ɛ
46533	Xingning	ARMPIT	ʂaʔha		OLD	ʂ a ʔ h a	1710	1710	ʂ a ʔ h a
47604	Ukhrul	ARMPIT	rika	armpit	OLD	r i k a	10260	10260	r i k a
48432	Mikir	ARMPIT	jikep		OLD	j i k e p	0	0	j i k e p
27392	rGyalrong_Maerkang	ARMPIT	tɑpjɑkᴇ	armpit	OLD	t ɑ p j ɑ k ᴇ	3172	3172	t ɑ p j ɑ k ᴇ
27688	Tibetan_Lhasa	ARMPIT	uŋ	armpit	OLD	u ŋ	140	140	u ŋ
28041	Jingpho	ARMPIT	kăaʔnpʔ	armpit	OLD	k ă a ʔ n p ʔ	995	995	k ă a ʔ n p ʔ
28554	Yidu	ARMPIT	ekɑku	armpit	OLD	e k ɑ k u	1156	1156	e k ɑ k u
28626	Daofu	ARMPIT	jɛkəvə	armpit	OLD	j ɛ k ə v ə	3172	3172	j ɛ k ə v ə
29066	Dulong	ARMPIT	ɹɑʔli	armpit	OLD	ɹ ɑ ʔ l i	3172	3172	ɹ ɑ ʔ l i
31176	Zhaba_Daofu_County	ARMPIT	jaoʑʌ	armpit	OLD	j a o ʑ ʌ	3316	3316	j ao ʑ ʌ
31238	Tibetan_Batang	ARMPIT	ĩkũ	armpit	OLD	ĩ k ũ	140	140	ĩ k ũ
31965	Tibetan_Xiahe	ARMPIT	anjoχ	armpit	OLD	a n j o χ	140	140	a n j o χ
32723	Darang_Taraon	ARMPIT	kɑkɑ	armpit	OLD	k ɑ k ɑ	1156	1156	k ɑ k ɑ
33090	Lisu	ARMPIT	lde	armpit	OLD	l d e	2582	2582	l d e
33141	Bokar	ARMPIT	kɯŋrum	armpit	OLD	k ɯ ŋ r u m	2599	2599	k ɯ ŋ r u m
34103	Tibetan_Alike	ARMPIT	nan	armpit	OLD	n a n	140	140	n a n
35808	Japhug	ARMPIT	tɯpjaχpa	armpit	OLD	t ɯ p j a χ p a	3172	3172	t ɯ p j a χ p a
40515	Khaling	ARMPIT	lâm		OLD	l â m	3561	3561	l â m
40516	Limbu	ARMPIT	laptaŋba		OLD	l a p t a ŋ b a	3561	3561	l a p t a ŋ b a
40761	Old_Chinese	ARMPIT	ɢk		OLD	ɢ k	3172	3172	ɢ k
41555	Wobzi_Khroskyabs	ARMPIT	pjaqivi		OLD	p j a q i v i	3172	3172	p j a q i v i
41808	Chepang	ARMPIT	ʔakajulʔ	armpit	OLD	ʔ a k a j u l ʔ	3792	3792	ʔ a k a j u l ʔ
42074	Garo	ARMPIT	pakwal	arm pit (n)	OLD	p a k w a l	10261	10261	p a k w a l
42356	Old_Tibetan	ARMPIT	bʑagɦog		OLD	b ʑ a g ɦ o g	3172	3172	b ʑ a g ɦ o g
42453	Thulung	ARMPIT	jʉlim		OLD	j ʉ l i m	4067	4067	j ʉ l i m
42645	Hakha_Chin	ARMPIT	zak	armpit (n.)	OLD	z a k	3172	3172	z a k
#
10284	Old_Tibetan	BAD	ŋan		OLD	ŋ a n	245	245	ŋ a n
43053	Bunan	BAD	marap	bad	OLD	m a r a p	246	246	m a r a p
10313	Japhug	BAD	ŋɤn		OLD	ŋ ɤ n	245	245	ŋ ɤ n
43181	Byangsi	BAD	jaddɛ	bad	OLD	j a d d ɛ	329	329	j a dd ɛ
43400	Rongpo	BAD	ərb	bad	OLD	ə r b	246	246	ə r b
43634	Kulung	BAD	mannəpa	bad, useless, worthless. (adj.)	OLD	m a n n ə p a	613	613	m a nn ə p a
43860	Bantawa	BAD	ɨs	to be bad	OLD	ɨ s	745	745	ɨ s
43861	Bantawa	BAD	ɨssawa	bad, evil	OLD	ɨ s s a w a	745	745	ɨ ss a w a
44136	Achang_Longchuan	BAD	a	bad	OLD	a	889	889	a
44138	Atsi	BAD	en	bad	OLD	e n	486	486	e n
44139	Bola	BAD	akai	bad	OLD	a k a i	890	890	a k ai
44141	Lashi	BAD	pjʔ	bad	OLD	p j ʔ	892	892	p j ʔ
44142	Maru	BAD	kɔi	bad	OLD	k ɔ i	890	890	k ɔi
44143	Xiandao	BAD	ncɛ	bad	OLD	n c ɛ	893	893	n c ɛ
44567	Rangoon	BAD	o		OLD	o	1044	1044	o
45901	Lushai	BAD	alo	bad	OLD	a l o	1462	1462	a l o
45902	Lushai	BAD	ia	bad	OLD	i a	1463	1463	ia
46189	Beijing	BAD	xuæi	bad	OLD	x u æ i	1623	1623	x uæi
46190	Beijing	BAD	læi	bad	OLD	l æ i	1620	1620	l æi
46191	Guangzhou	BAD	sy	bad	OLD	s y	10263	10263	s y
46192	Chaozhou	BAD	ai		OLD	a i	1622	1622	ai
46193	Longgang	BAD	sɔi		OLD	s ɔ i	10263	10263	s ɔi
46194	Jieyang	BAD	huai		OLD	h u a i	1623	1623	h uai
46195	Xingning	BAD	fai		OLD	f a i	1623	1623	f ai
46196	Jieyang	BAD	mɔ		OLD	m ɔ	1625	1625	m ɔ
46197	Jieyang	BAD	ai		OLD	a i	1622	1622	ai
46198	Chaozhou	BAD	mɔ		OLD	m ɔ	1625	1625	m ɔ
48078	Tangut	BAD	niow		OLD	n i o w	10179	10179	n io w
48397	Mikir	BAD	henō		OLD	h e n ō	0	0	h e n ō
27052	Jingpho	BAD	en	bad	OLD	e n	486	486	e n
27204	Motuo_Menba	BAD	dukpin	bad	OLD	d u k p i n	579	579	d u k p i n
27241	Yidu	BAD	elieŋ	bad	OLD	e l i e ŋ	606	606	e l ie ŋ
28052	rGyalrong_Maerkang	BAD	mɑkəsnɑ	bad	OLD	m ɑ k ə s n ɑ	999	999	m ɑ k ə s n ɑ
28407	Tibetan_Lhasa	BAD	ŋpo	bad	OLD	ŋ p o	245	245	ŋ p o
28408	Tibetan_Lhasa	BAD	tuko	bad	OLD	t u k o	579	579	t u k o
28948	Daofu	BAD	əmɛ	bad	OLD	ə m ɛ	1271	1271	ə m ɛ
29360	Daofu	BAD	gɛəmɛ	bad	OLD	g ɛ ə m ɛ	1271	1271	g ɛə m ɛ
29776	Dulong	BAD	mɑʔ	bad	OLD	m ɑ ʔ	1608	1608	m ɑ ʔ
30028	Tibetan_Batang	BAD	dupu	bad	OLD	d u p u	579	579	d u p u
30029	Tibetan_Batang	BAD	ɕɑudɛʔ	bad	OLD	ɕ ɑ u d ɛ ʔ	2316	2316	ɕ ɑu d ɛ ʔ
31824	Zhaba_Daofu_County	BAD	ʂuu	bad	OLD	ʂ u u	2303	2303	ʂ uu
31912	Darang_Taraon	BAD	pɹɑjim	bad	OLD	p ɹ ɑ j i m	2327	2327	p ɹ ɑ j i m
32606	Tibetan_Xiahe	BAD	aχama	bad	OLD	a χ a m a	2482	2482	a χ a m a
32607	Tibetan_Xiahe	BAD	ŋan	bad	OLD	ŋ a n	245	245	ŋ a n
33741	Lisu	BAD	mai	bad	OLD	m a i	2716	2716	m ai
33833	Bokar	BAD	pomoŋ	bad	OLD	p o m o ŋ	2749	2749	p o m o ŋ
35353	Bokar	BAD	karu	bad	OLD	k a r u	3052	3052	k a r u
35418	Tibetan_Alike	BAD	ŋanbæ	bad	OLD	ŋ a n b æ	245	245	ŋ a n b æ
40762	Old_Chinese	BAD	ak		OLD	a k	3616	3616	a k
41057	Old_Burmese	BAD	wh		OLD	w h	1044	1044	w h
41298	Limbu	BAD	tɛpmba		OLD	t ɛ p m b a	3702	3702	t ɛ p m b a
41312	Khaling	BAD	mʌbʌŋpɛ		OLD	m ʌ b ʌ ŋ p ɛ	3704	3704	m ʌ b ʌ ŋ p ɛ
41556	Wobzi_Khroskyabs	BAD	məâ		OLD	m ə â	3733	3733	m ə â
41809	Chepang	BAD	hal	evil or bad (esp. speech, description), unpleasant, call by bad name	OLD	h a l	3793	3793	h a l
41810	Chepang	BAD	rew	ugly, bad, evil (esp. talk), be corrupted, in bad condition, be unlucky, ruined	OLD	r e w	3186	3186	r e w
41811	Chepang	BAD	rjəw	ugly, inauspicious, bad, evil	OLD	r j ə w	3186	3186	r j ə w
42397	Thulung	BAD	meɵpa		OLD	m e ɵ p a	4051	4051	m eɵ p a
42646	Hakha_Chin	BAD	ìaiat	bad (adj.)	OLD	ì a i a t	1463	1463	ì aia t
#
43235	Byangsi	BAMBOO	jelb	bamboo	OLD	j e l b	367	367	j e l b
43458	Rongpo	BAMBOO	bãs	bamboo	OLD	b ã s	501	501	b ã s
43684	Kulung	BAMBOO	bau	bamboo (n.)	OLD	b a u	501	501	b au
43856	Khaling	BAMBOO	pp		OLD	p p	501	501	pp
43862	Bantawa	BAMBOO	samba	bamboo (generic term), bamboo plant	OLD	s a m b a	501	501	s a m b a
44146	Atsi	BAMBOO	va	bamboo	OLD	v a	501	501	v a
44147	Bola	BAMBOO	va	bamboo	OLD	v a	501	501	v a
44149	Lashi	BAMBOO	wo	bamboo	OLD	w o	501	501	w o
44150	Maru	BAMBOO	vɔ	bamboo	OLD	v ɔ	501	501	v ɔ
44365	Achang_Longchuan	BAMBOO	o	bamboo	OLD	o	501	501	o
44386	Xiandao	BAMBOO	o	bamboo	OLD	o	501	501	o
44649	Rangoon	BAMBOO	wɑ		OLD	w ɑ	501	501	w ɑ
45751	Bahing	BAMBOO	palam	bamboo (n)	OLD	p a l a m	1385	1385	p a l a m
45977	Lushai	BAMBOO	mau	bamboo	OLD	m a u	1510	1510	m au
45978	Lushai	BAMBOO	rua	bamboo	OLD	r u a	501	501	r ua
46534	Beijing	BAMBOO	uɿ	bamboo	OLD	u ɿ	1711	1711	uɿ
46535	Guangzhou	BAMBOO	ʊk	bamboo	OLD	ʊ k	1711	1711	ʊ k
46536	Chaozhou	BAMBOO	tɛk		OLD	t ɛ k	1711	1711	t ɛ k
46537	Longgang	BAMBOO	ʊk		OLD	ʊ k	1711	1711	ʊ k
46538	Jieyang	BAMBOO	tɛk		OLD	t ɛ k	1711	1711	t ɛ k
46539	Xingning	BAMBOO	uʔti		OLD	u ʔ t i	1711	1711	u ʔ t i
47605	Ukhrul	BAMBOO	kəhaiŋ	bamboo	OLD	k ə h a i ŋ	2059	2059	k ə h ai ŋ
47806	Hayu	BAMBOO	olo	bamboo (n)	OLD	o l o	1385	1385	o l o
47807	Hayu	BAMBOO	caji	bamboo (n)	OLD	c a j i	2184	2184	c a j i
48050	Tangut	BAMBOO	j		OLD	j	821	821	j
48368	Mikir	BAMBOO	èk		OLD	è k	10525	10525	è k
48575	Rabha	BAMBOO	bá	bamboo	OLD	b á	501	501	b á
26623	Jingpho	BAMBOO	kăwa	bamboo	OLD	k ă w a	501	501	k ă w a
26736	Motuo_Menba	BAMBOO	so	bamboo	OLD	s o	292	292	s o
27613	rGyalrong_Maerkang	BAMBOO	ɟjo	bamboo	OLD	ɟ j o	821	821	ɟ j o
27926	Tibetan_Lhasa	BAMBOO	ȵuŋmə	bamboo	OLD	ȵ u ŋ m ə	952	952	ȵ u ŋ m ə
28839	Daofu	BAMBOO	ʁɮə	bamboo	OLD	ʁ ɮ ə	821	821	ʁ ɮ ə
29552	Tibetan_Batang	BAMBOO	ȵuma	bamboo	OLD	ȵ u m a	952	952	ȵ u m a
31090	Tibetan_Alike	BAMBOO	rukmæ	bamboo	OLD	r u k m æ	952	952	r u k m æ
31412	Zhaba_Daofu_County	BAMBOO	mɛ	bamboo	OLD	m ɛ	3481	3481	m ɛ
31521	Darang_Taraon	BAMBOO	tɑliɑ	bamboo	OLD	t ɑ l i ɑ	2222	2222	t ɑ l iɑ
32169	Tibetan_Xiahe	BAMBOO	hȵɯxma	bamboo	OLD	h ȵ ɯ x m a	952	952	h ȵ ɯ x m a
33290	Lisu	BAMBOO	mdɑ	bamboo	OLD	m d ɑ	2631	2631	m d ɑ
33357	Bokar	BAMBOO	jlɯ	bamboo (thin, fine)	OLD	j l ɯ	3066	3066	j l ɯ
